Time(s),CHAN1(V),CHAN2(V)
0.000958,4.733859,-0.000029
0.000958,4.733859,-0.000029
0.000958,4.733859,-0.000029
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.001637
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000833
0.000958,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000029
0.000959,4.733859,-0.000833
0.000959,4.733859,-0.000833
0.000959,4.733859,-0.000833
0.000959,4.733859,-0.000833
0.000959,4.733859,-0.000833
0.000959,4.733859,-0.000833
0.000959,4.733859,-0.000833
0.000959,4.733859,-0.000833
0.000959,4.733859,-0.000833
0.000959,4.733859,-0.000833
0.000959,4.733859,-0.000833
0.000959,4.733859,-0.001637
0.000959,4.733859,-0.001637
0.000959,4.733859,-0.001637
0.000959,4.733859,-0.001637
0.000959,4.733859,-0.001637
0.000959,4.733859,-0.001637
0.000960,4.733859,-0.001637
0.000960,4.733859,-0.001637
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000960,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000961,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000029
0.000962,4.733859,-0.000029
0.000962,4.733859,-0.000029
0.000962,4.733859,-0.000029
0.000962,4.733859,-0.000029
0.000962,4.733859,-0.000029
0.000962,4.733859,-0.000029
0.000962,4.733859,-0.000029
0.000962,4.733859,-0.000029
0.000962,4.733859,-0.000029
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.000833
0.000962,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.001637
0.000963,4.733859,-0.000833
0.000963,4.733859,-0.000833
0.000963,4.733859,-0.000833
0.000963,4.733859,-0.000833
0.000963,4.733859,-0.000833
0.000963,4.733859,-0.000833
0.000963,4.733859,-0.000833
0.000963,4.733859,-0.000029
0.000963,4.733859,-0.000029
0.000963,4.733859,-0.000029
0.000963,4.733859,-0.000029
0.000963,4.733859,-0.000029
0.000963,4.733859,-0.000029
0.000963,4.733859,-0.000029
0.000963,4.733859,-0.000029
0.000963,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000029
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.000833
0.000964,4.733859,-0.001637
0.000964,4.733859,-0.001637
0.000964,4.733859,-0.001637
0.000964,4.733859,-0.001637
0.000964,4.733859,-0.001637
0.000964,4.733859,-0.001637
0.000964,4.733859,-0.001637
0.000964,4.733859,-0.001637
0.000964,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.001637
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000965,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
0.000966,4.733859,-0.000833
