Time(s),CHAN1(V),CHAN2(V)
0.001007,2.683608,-0.057114
0.001008,2.683608,-0.056310
0.001008,2.683608,-0.056310
0.001008,2.683608,-0.056310
0.001008,2.683608,-0.056310
0.001008,2.683608,-0.056310
0.001008,2.643407,-0.055506
0.001008,2.643407,-0.055506
0.001008,2.643407,-0.055506
0.001008,2.643407,-0.055506
0.001008,2.643407,-0.055506
0.001008,2.643407,-0.055506
0.001008,2.643407,-0.054702
0.001008,2.643407,-0.054702
0.001008,2.643407,-0.054702
0.001008,2.603206,-0.054702
0.001008,2.603206,-0.054702
0.001008,2.603206,-0.054702
0.001008,2.603206,-0.054702
0.001008,2.603206,-0.054702
0.001008,2.603206,-0.054702
0.001008,2.603206,-0.053898
0.001008,2.603206,-0.053898
0.001008,2.563005,-0.053898
0.001008,2.563005,-0.053898
0.001008,2.563005,-0.053898
0.001008,2.563005,-0.053094
0.001008,2.563005,-0.053094
0.001008,2.563005,-0.053094
0.001008,2.563005,-0.053094
0.001008,2.563005,-0.053094
0.001008,2.522804,-0.053094
0.001008,2.522804,-0.052290
0.001008,2.522804,-0.052290
0.001008,2.522804,-0.052290
0.001008,2.522804,-0.052290
0.001008,2.522804,-0.052290
0.001008,2.522804,-0.052290
0.001008,2.522804,-0.052290
0.001009,2.482603,-0.052290
0.001009,2.482603,-0.052290
0.001009,2.482603,-0.052290
0.001009,2.482603,-0.052290
0.001009,2.482603,-0.052290
0.001009,2.482603,-0.052290
0.001009,2.482603,-0.052290
0.001009,2.482603,-0.052290
0.001009,2.442402,-0.052290
0.001009,2.442402,-0.052290
0.001009,2.442402,-0.052290
0.001009,2.442402,-0.052290
0.001009,2.442402,-0.052290
0.001009,2.442402,-0.052290
0.001009,2.442402,-0.052290
0.001009,2.442402,-0.051486
0.001009,2.442402,-0.051486
0.001009,2.402201,-0.051486
0.001009,2.402201,-0.051486
0.001009,2.402201,-0.051486
0.001009,2.402201,-0.051486
0.001009,2.402201,-0.051486
0.001009,2.402201,-0.050682
0.001009,2.402201,-0.050682
0.001009,2.402201,-0.050682
0.001009,2.402201,-0.050682
0.001009,2.362000,-0.050682
0.001009,2.362000,-0.050682
0.001009,2.362000,-0.050682
0.001009,2.362000,-0.049878
0.001009,2.362000,-0.049878
0.001009,2.362000,-0.049878
0.001009,2.362000,-0.049878
0.001009,2.362000,-0.049878
0.001009,2.362000,-0.049878
0.001009,2.362000,-0.049878
0.001009,2.362000,-0.049878
0.001009,2.362000,-0.049074
0.001010,2.362000,-0.049074
0.001010,2.362000,-0.049074
0.001010,2.362000,-0.049074
0.001010,2.362000,-0.049074
0.001010,2.362000,-0.049074
0.001010,2.321799,-0.049074
0.001010,2.321799,-0.048270
0.001010,2.321799,-0.048270
0.001010,2.321799,-0.048270
0.001010,2.321799,-0.048270
0.001010,2.321799,-0.048270
0.001010,2.321799,-0.048270
0.001010,2.321799,-0.047466
0.001010,2.321799,-0.047466
0.001010,2.321799,-0.047466
0.001010,2.281598,-0.047466
0.001010,2.281598,-0.047466
0.001010,2.281598,-0.047466
0.001010,2.281598,-0.047466
0.001010,2.281598,-0.047466
0.001010,2.281598,-0.047466
0.001010,2.281598,-0.047466
0.001010,2.281598,-0.047466
0.001010,2.281598,-0.046662
0.001010,2.241397,-0.046662
0.001010,2.241397,-0.046662
0.001010,2.241397,-0.046662
0.001010,2.241397,-0.046662
0.001010,2.241397,-0.046662
0.001010,2.241397,-0.046662
0.001010,2.241397,-0.046662
0.001010,2.241397,-0.046662
0.001010,2.241397,-0.046662
0.001010,2.241397,-0.046662
0.001010,2.201196,-0.046662
0.001010,2.201196,-0.046662
0.001010,2.201196,-0.045858
0.001010,2.201196,-0.045858
0.001010,2.201196,-0.045858
0.001011,2.201196,-0.045858
0.001011,2.201196,-0.045858
0.001011,2.201196,-0.045858
0.001011,2.201196,-0.045858
0.001011,2.201196,-0.045858
0.001011,2.160995,-0.045858
0.001011,2.160995,-0.045858
0.001011,2.160995,-0.045858
0.001011,2.160995,-0.045054
0.001011,2.160995,-0.045054
0.001011,2.160995,-0.045054
0.001011,2.160995,-0.045054
0.001011,2.160995,-0.045054
0.001011,2.160995,-0.045054
0.001011,2.160995,-0.044250
0.001011,2.120794,-0.044250
0.001011,2.120794,-0.044250
0.001011,2.120794,-0.044250
0.001011,2.120794,-0.044250
0.001011,2.120794,-0.044250
0.001011,2.120794,-0.044250
0.001011,2.120794,-0.044250
0.001011,2.120794,-0.044250
0.001011,2.120794,-0.044250
0.001011,2.120794,-0.044250
0.001011,2.080593,-0.044250
0.001011,2.080593,-0.044250
0.001011,2.080593,-0.044250
0.001011,2.080593,-0.044250
0.001011,2.080593,-0.044250
0.001011,2.080593,-0.044250
0.001011,2.080593,-0.044250
0.001011,2.080593,-0.044250
0.001011,2.080593,-0.044250
0.001011,2.080593,-0.044250
0.001011,2.080593,-0.044250
0.001011,2.040392,-0.044250
0.001011,2.040392,-0.044250
0.001012,2.040392,-0.044250
0.001012,2.040392,-0.043446
0.001012,2.040392,-0.043446
0.001012,2.040392,-0.043446
0.001012,2.040392,-0.043446
0.001012,2.040392,-0.043446
0.001012,2.040392,-0.043446
0.001012,2.040392,-0.043446
0.001012,2.000191,-0.043446
0.001012,2.000191,-0.043446
0.001012,2.000191,-0.042642
0.001012,2.000191,-0.042642
0.001012,2.000191,-0.042642
0.001012,2.000191,-0.042642
0.001012,2.000191,-0.042642
0.001012,2.000191,-0.042642
0.001012,2.000191,-0.042642
0.001012,2.000191,-0.042642
0.001012,2.000191,-0.042642
0.001012,1.959990,-0.042642
0.001012,1.959990,-0.042642
0.001012,1.959990,-0.042642
0.001012,1.959990,-0.042642
0.001012,1.959990,-0.042642
0.001012,1.959990,-0.041838
0.001012,1.959990,-0.041838
0.001012,1.959990,-0.041838
0.001012,1.959990,-0.041838
0.001012,1.959990,-0.041838
0.001012,1.959990,-0.041838
0.001012,1.919789,-0.041838
0.001012,1.919789,-0.041034
0.001012,1.919789,-0.041034
0.001012,1.919789,-0.041034
0.001012,1.919789,-0.041034
0.001012,1.919789,-0.041034
0.001012,1.919789,-0.041034
0.001012,1.919789,-0.041034
0.001012,1.919789,-0.040230
0.001013,1.919789,-0.040230
0.001013,1.879588,-0.040230
0.001013,1.879588,-0.040230
0.001013,1.879588,-0.040230
0.001013,1.879588,-0.040230
0.001013,1.879588,-0.040230
0.001013,1.879588,-0.040230
0.001013,1.879588,-0.040230
0.001013,1.879588,-0.040230
0.001013,1.879588,-0.040230
0.001013,1.879588,-0.040230
0.001013,1.879588,-0.040230
0.001013,1.839387,-0.039426
0.001013,1.839387,-0.039426
0.001013,1.839387,-0.039426
0.001013,1.839387,-0.039426
0.001013,1.839387,-0.039426
0.001013,1.839387,-0.039426
0.001013,1.839387,-0.039426
0.001013,1.839387,-0.039426
0.001013,1.839387,-0.039426
0.001013,1.839387,-0.039426
0.001013,1.839387,-0.039426
0.001013,1.839387,-0.039426
0.001013,1.799186,-0.039426
0.001013,1.799186,-0.039426
0.001013,1.799186,-0.039426
0.001013,1.799186,-0.039426
0.001013,1.799186,-0.039426
0.001013,1.799186,-0.039426
0.001013,1.799186,-0.039426
0.001013,1.799186,-0.039426
0.001013,1.799186,-0.039426
0.001013,1.799186,-0.038622
0.001013,1.799186,-0.038622
0.001013,1.799186,-0.038622
0.001013,1.758985,-0.038622
0.001013,1.758985,-0.038622
0.001014,1.758985,-0.038622
0.001014,1.758985,-0.038622
0.001014,1.758985,-0.038622
0.001014,1.758985,-0.037818
0.001014,1.758985,-0.037818
0.001014,1.758985,-0.037818
0.001014,1.758985,-0.037818
0.001014,1.758985,-0.037818
0.001014,1.758985,-0.037818
0.001014,1.758985,-0.037818
0.001014,1.718784,-0.037818
0.001014,1.718784,-0.037818
0.001014,1.718784,-0.037818
0.001014,1.718784,-0.037014
0.001014,1.718784,-0.037014
0.001014,1.718784,-0.037014
0.001014,1.718784,-0.037014
0.001014,1.718784,-0.037014
0.001014,1.718784,-0.037014
0.001014,1.718784,-0.037014
0.001014,1.718784,-0.037014
0.001014,1.718784,-0.037014
0.001014,1.678583,-0.036210
0.001014,1.678583,-0.036210
0.001014,1.678583,-0.036210
0.001014,1.678583,-0.036210
0.001014,1.678583,-0.036210
0.001014,1.678583,-0.036210
0.001014,1.678583,-0.036210
0.001014,1.678583,-0.036210
0.001014,1.678583,-0.036210
0.001014,1.678583,-0.036210
0.001014,1.678583,-0.036210
0.001014,1.678583,-0.036210
0.001014,1.678583,-0.036210
0.001014,1.638382,-0.036210
0.001014,1.638382,-0.036210
0.001014,1.638382,-0.036210
0.001015,1.638382,-0.036210
0.001015,1.638382,-0.036210
0.001015,1.638382,-0.036210
0.001015,1.638382,-0.036210
0.001015,1.638382,-0.036210
0.001015,1.638382,-0.036210
0.001015,1.638382,-0.036210
0.001015,1.638382,-0.036210
0.001015,1.638382,-0.036210
0.001015,1.638382,-0.036210
0.001015,1.598181,-0.036210
0.001015,1.598181,-0.036210
0.001015,1.598181,-0.036210
0.001015,1.598181,-0.036210
0.001015,1.598181,-0.035406
0.001015,1.598181,-0.035406
0.001015,1.598181,-0.035406
0.001015,1.598181,-0.035406
0.001015,1.598181,-0.035406
0.001015,1.598181,-0.035406
0.001015,1.598181,-0.035406
0.001015,1.598181,-0.035406
0.001015,1.557980,-0.035406
0.001015,1.557980,-0.035406
0.001015,1.557980,-0.034602
0.001015,1.557980,-0.034602
0.001015,1.557980,-0.034602
0.001015,1.557980,-0.034602
0.001015,1.557980,-0.034602
0.001015,1.557980,-0.034602
0.001015,1.557980,-0.034602
0.001015,1.557980,-0.033798
0.001015,1.557980,-0.033798
0.001015,1.557980,-0.033798
0.001015,1.557980,-0.033798
0.001015,1.517779,-0.033798
0.001015,1.517779,-0.033798
0.001015,1.517779,-0.032994
0.001015,1.517779,-0.032994
0.001016,1.517779,-0.032994
0.001016,1.517779,-0.032994
0.001016,1.517779,-0.032994
0.001016,1.517779,-0.032994
0.001016,1.517779,-0.032190
0.001016,1.517779,-0.032190
0.001016,1.517779,-0.032190
0.001016,1.517779,-0.032190
0.001016,1.517779,-0.032190
0.001016,1.517779,-0.032190
0.001016,1.477578,-0.032190
0.001016,1.477578,-0.032190
0.001016,1.477578,-0.032190
0.001016,1.477578,-0.032190
0.001016,1.477578,-0.032994
0.001016,1.477578,-0.032994
0.001016,1.477578,-0.032994
0.001016,1.477578,-0.032994
0.001016,1.477578,-0.032994
0.001016,1.477578,-0.032994
0.001016,1.477578,-0.032190
0.001016,1.477578,-0.032190
0.001016,1.477578,-0.032190
0.001016,1.477578,-0.032190
0.001016,1.477578,-0.032190
0.001016,1.437377,-0.032190
0.001016,1.437377,-0.032190
0.001016,1.437377,-0.031386
0.001016,1.437377,-0.031386
0.001016,1.437377,-0.031386
0.001016,1.437377,-0.031386
