Time(s),CH1(V),CH2(V)
0.003993,-0.040261,-0.001271
0.003993,-0.040261,-0.002236
0.003993,-0.040261,-0.003201
0.003993,-0.040261,-0.003201
0.003993,-0.040261,-0.002236
0.003994,-0.040261,-0.000306
0.003994,-0.040261,0.000659
0.003994,-0.040261,0.001624
0.003994,-0.040261,0.001624
0.003994,-0.040261,0.000659
0.003994,-0.040261,-0.001271
0.003994,-0.040261,-0.002236
0.003994,-0.040261,-0.003201
0.003995,-0.040261,-0.004165
0.003995,-0.040261,-0.002236
0.003995,-0.040261,-0.001271
0.003995,-0.040261,0.000659
0.003995,-0.040261,0.001624
0.003995,-0.040261,0.001624
0.003995,-0.040261,0.001624
0.003995,-0.040261,0.000659
0.003996,-0.040261,-0.001271
0.003996,-0.040261,-0.002236
0.003996,-0.040261,-0.003201
0.003996,-0.040261,-0.003201
0.003996,-0.040261,-0.002236
0.003996,-0.040261,-0.000306
0.003996,-0.040261,0.000659
0.003996,-0.040261,0.001624
0.003996,-0.040261,0.001624
0.003997,-0.040261,0.000659
0.003997,-0.040261,-0.000306
0.003997,-0.040261,-0.001271
0.003997,-0.040261,-0.002236
0.003997,-0.040261,-0.002236
0.003997,-0.040261,-0.002236
0.003997,-0.040261,-0.002236
0.003997,-0.040261,-0.001271
0.003998,-0.040261,-0.000306
0.003998,-0.040261,0.000659
0.003998,-0.040261,0.000659
0.003998,-0.040261,0.000659
0.003998,-0.040261,-0.000306
0.003998,-0.040261,-0.001271
0.003998,-0.040261,-0.002236
0.003998,-0.040261,-0.002236
0.003999,-0.040261,-0.002236
0.003999,-0.040261,-0.001271
0.003999,-0.040261,-0.000306
0.003999,-0.040261,0.000659
0.003999,-0.040261,0.001624
0.003999,-0.040261,0.000659
0.003999,-0.040261,0.000659
0.003999,-0.040261,-0.000306
0.003999,-0.040261,-0.001271
0.004000,-0.040261,-0.002236
0.004000,-0.040261,-0.002236
0.004000,-0.040261,-0.003201
0.004000,-0.040261,-0.003201
0.004000,-0.040261,0.004518
0.004000,-0.000060,0.016096
0.004000,0.040141,0.025744
0.004000,0.080342,0.034428
0.004001,0.080342,0.042146
0.004001,0.120543,0.047935
0.004001,0.160744,0.051794
0.004001,0.200945,0.056619
0.004001,0.200945,0.060478
0.004001,0.241146,0.063372
0.004001,0.241146,0.066267
0.004001,0.281347,0.069161
0.004002,0.321548,0.072056
0.004002,0.321548,0.074950
0.004002,0.361749,0.077845
0.004002,0.361749,0.079774
0.004002,0.401950,0.081704
0.004002,0.442151,0.082669
0.004002,0.442151,0.083634
0.004002,0.482352,0.084598
0.004002,0.482352,0.084598
0.004003,0.522553,0.085563
0.004003,0.522553,0.085563
0.004003,0.562754,0.084598
0.004003,0.562754,0.084598
0.004003,0.602955,0.085563
0.004003,0.602955,0.087493
0.004003,0.643156,0.088458
0.004003,0.643156,0.088458
0.004004,0.683357,0.088458
0.004004,0.683357,0.088458
0.004004,0.723558,0.087493
0.004004,0.763759,0.087493
0.004004,0.763759,0.087493
0.004004,0.763759,0.086528
0.004004,0.803960,0.085563
0.004004,0.803960,0.085563
0.004005,0.844161,0.085563
0.004005,0.844161,0.085563
0.004005,0.884362,0.085563
0.004005,0.884362,0.085563
0.004005,0.924563,0.086528
0.004005,0.924563,0.086528
0.004005,0.964764,0.085563
0.004005,0.964764,0.085563
0.004005,1.004965,0.084598
0.004006,1.004965,0.084598
0.004006,1.045166,0.084598
0.004006,1.045166,0.083634
0.004006,1.045166,0.082669
0.004006,1.085367,0.081704
0.004006,1.085367,0.080739
0.004006,1.125568,0.079774
0.004006,1.125568,0.080739
0.004007,1.165769,0.080739
0.004007,1.165769,0.080739
0.004007,1.205970,0.080739
0.004007,1.205970,0.080739
0.004007,1.246171,0.079774
0.004007,1.246171,0.078810
0.004007,1.246171,0.077845
0.004007,1.286372,0.077845
0.004008,1.286372,0.077845
0.004008,1.326573,0.077845
0.004008,1.326573,0.077845
0.004008,1.326573,0.078810
0.004008,1.366774,0.078810
0.004008,1.366774,0.078810
0.004008,1.406975,0.077845
0.004008,1.406975,0.076880
0.004008,1.406975,0.074950
0.004009,1.447176,0.073021
0.004009,1.447176,0.071091
0.004009,1.487377,0.071091
0.004009,1.487377,0.071091
0.004009,1.527578,0.072056
0.004009,1.527578,0.073021
0.004009,1.527578,0.073985
0.004009,1.567779,0.073985
