Time(s),CH1(V),CH2(V)
0.003994,-0.040261,-0.000363
0.003994,-0.040261,0.000963
0.003994,-0.040261,0.002290
0.003994,-0.040261,0.001405
0.003994,-0.040261,-0.000806
0.003995,-0.040261,-0.003017
0.003995,-0.040261,-0.003901
0.003995,-0.040261,-0.002574
0.003995,-0.040261,-0.000363
0.003995,-0.040261,0.001848
0.003995,-0.040261,0.002290
0.003996,-0.040261,0.001848
0.003996,-0.040261,0.000079
0.003996,-0.040261,-0.001690
0.003996,-0.040261,-0.003459
0.003996,-0.040261,-0.004343
0.003996,-0.040261,-0.003459
0.003996,-0.040261,-0.001248
0.003997,-0.040261,0.002290
0.003997,-0.040261,0.003616
0.003997,-0.040261,0.002732
0.003997,-0.040261,0.000521
0.003997,-0.040261,-0.001248
0.003997,-0.040261,-0.002574
0.003997,-0.040261,-0.003017
0.003998,-0.040261,-0.002574
0.003998,-0.040261,-0.001248
0.003998,-0.040261,0.000079
0.003998,-0.040261,0.001848
0.003998,-0.040261,0.002290
0.003998,-0.040261,0.000963
0.003999,-0.040261,-0.000806
0.003999,-0.040261,-0.002574
0.003999,-0.040261,-0.003017
0.003999,-0.040261,-0.002132
0.003999,-0.040261,0.000079
0.003999,-0.040261,0.002290
0.003999,-0.040261,0.003174
0.004000,-0.040261,0.002732
0.004000,-0.040261,0.000963
0.004000,-0.040261,-0.000806
0.004000,-0.040261,-0.000806
0.004000,-0.040261,0.004943
0.004000,-0.000060,0.011134
0.004000,0.040141,0.017325
0.004001,0.040141,0.023074
0.004001,0.040141,0.027938
0.004001,0.080342,0.031476
0.004001,0.080342,0.033687
0.004001,0.120543,0.035456
0.004001,0.120543,0.036340
0.004002,0.120543,0.037224
0.004002,0.160744,0.037667
0.004002,0.160744,0.038993
0.004002,0.200945,0.040320
0.004002,0.200945,0.041647
0.004002,0.200945,0.042531
0.004002,0.241146,0.043415
0.004003,0.241146,0.044742
0.004003,0.241146,0.046069
0.004003,0.281347,0.046511
0.004003,0.281347,0.046511
0.004003,0.281347,0.045627
0.004003,0.321548,0.044300
0.004004,0.321548,0.044300
0.004004,0.361749,0.044742
0.004004,0.361749,0.045184
0.004004,0.361749,0.046511
0.004004,0.401950,0.047395
0.004004,0.401950,0.048280
0.004004,0.401950,0.047395
0.004005,0.442151,0.046069
0.004005,0.442151,0.045184
0.004005,0.442151,0.044742
0.004005,0.482352,0.044742
0.004005,0.482352,0.045627
0.004005,0.482352,0.046511
0.004005,0.522553,0.047395
0.004006,0.522553,0.048280
0.004006,0.522553,0.047395
0.004006,0.562754,0.046069
0.004006,0.562754,0.043858
0.004006,0.562754,0.042531
0.004006,0.602955,0.042531
0.004007,0.602955,0.043858
0.004007,0.602955,0.045627
0.004007,0.643156,0.047395
0.004007,0.643156,0.047838
0.004007,0.643156,0.047395
0.004007,0.643156,0.045627
0.004007,0.683357,0.042973
0.004008,0.683357,0.041204
0.004008,0.683357,0.041204
0.004008,0.723558,0.042531
0.004008,0.723558,0.044300
0.004008,0.723558,0.046069
0.004008,0.763759,0.046511
0.004008,0.763759,0.046069
0.004009,0.763759,0.044300
0.004009,0.803960,0.042531
0.004009,0.803960,0.041204
0.004009,0.803960,0.041647
0.004009,0.803960,0.042973
0.004009,0.844161,0.044300
0.004010,0.844161,0.043858
0.004010,0.844161,0.042089
0.004010,0.884362,0.040762
0.004010,0.884362,0.040320
0.004010,0.884362,0.040762
0.004010,0.924563,0.042089
0.004010,0.924563,0.043415
0.004011,0.924563,0.044300
0.004011,0.924563,0.043858
0.004011,0.964764,0.042973
0.004011,0.964764,0.041204
0.004011,0.964764,0.038993
0.004011,1.004965,0.038109
0.004012,1.004965,0.038109
0.004012,1.004965,0.039436
0.004012,1.045166,0.040320
0.004012,1.045166,0.041647
0.004012,1.045166,0.042089
0.004012,1.045166,0.042089
0.004012,1.085367,0.040320
0.004013,1.085367,0.039436
0.004013,1.085367,0.038993
0.004013,1.125568,0.038993
0.004013,1.125568,0.039436
0.004013,1.125568,0.039878
0.004013,1.125568,0.039878
0.004013,1.165769,0.038993
0.004014,1.165769,0.037667
0.004014,1.165769,0.036782
0.004014,1.205970,0.036340
0.004014,1.205970,0.037224
0.004014,1.205970,0.038551
0.004014,1.205970,0.040320
0.004015,1.246171,0.040762
0.004015,1.246171,0.040320
0.004015,1.246171,0.038551
0.004015,1.246171,0.036782
0.004015,1.286372,0.035456
0.004015,1.286372,0.034571
0.004015,1.286372,0.035898
0.004016,1.286372,0.037224
0.004016,1.326573,0.038551
0.004016,1.326573,0.038993
0.004016,1.326573,0.038551
0.004016,1.366774,0.036782
0.004016,1.366774,0.035898
0.004016,1.366774,0.035898
0.004017,1.366774,0.036340
0.004017,1.366774,0.036782
0.004017,1.406975,0.036782
0.004017,1.406975,0.036782
0.004017,1.406975,0.036782
0.004017,1.447176,0.036340
0.004018,1.447176,0.036340
0.004018,1.447176,0.035013
0.004018,1.447176,0.034129
0.004018,1.487377,0.034129
0.004018,1.487377,0.034571
0.004018,1.487377,0.035898
0.004018,1.487377,0.036340
0.004019,1.527578,0.037224
0.004019,1.527578,0.037224
0.004019,1.527578,0.035898
0.004019,1.527578,0.034571
0.004019,1.567779,0.033245
0.004019,1.567779,0.032360
0.004020,1.567779,0.032360
0.004020,1.567779,0.033687
0.004020,1.567779,0.035013
0.004020,1.607980,0.036340
0.004020,1.607980,0.036340
0.004020,1.607980,0.035013
0.004020,1.648181,0.033687
0.004021,1.648181,0.032802
0.004021,1.648181,0.031476
0.004021,1.648181,0.031034
0.004021,1.688382,0.032360
0.004021,1.688382,0.033687
0.004021,1.688382,0.035013
0.004021,1.688382,0.034571
0.004022,1.728583,0.033687
0.004022,1.728583,0.031918
0.004022,1.728583,0.030591
0.004022,1.728583,0.030591
0.004022,1.728583,0.031034
0.004022,1.768784,0.032360
0.004023,1.768784,0.033687
0.004023,1.768784,0.034129
0.004023,1.768784,0.033245
0.004023,1.808985,0.031476
0.004023,1.808985,0.030591
0.004023,1.808985,0.029707
0.004023,1.808985,0.029707
0.004024,1.808985,0.030149
0.004024,1.849186,0.031476
0.004024,1.849186,0.032360
0.004024,1.849186,0.032802
0.004024,1.849186,0.032360
0.004024,1.849186,0.031476
0.004025,1.889387,0.030591
0.004025,1.889387,0.030591
0.004025,1.889387,0.030591
0.004025,1.929588,0.030591
0.004025,1.929588,0.030591
0.004025,1.929588,0.030591
0.004025,1.929588,0.030149
0.004026,1.929588,0.029707
0.004026,1.969789,0.029707
0.004026,1.969789,0.030149
0.004026,1.969789,0.030149
0.004026,1.969789,0.030149
0.004026,1.969789,0.030149
0.004026,2.009990,0.030149
0.004027,2.009990,0.030591
0.004027,2.009990,0.030149
0.004027,2.009990,0.029707
0.004027,2.050191,0.029265
0.004027,2.050191,0.029265
0.004027,2.050191,0.028822
0.004028,2.050191,0.029265
0.004028,2.050191,0.028822
0.004028,2.050191,0.027496
0.004028,2.090392,0.026611
0.004028,2.090392,0.027054
0.004028,2.090392,0.028822
0.004028,2.090392,0.029707
0.004029,2.090392,0.030149
0.004029,2.130593,0.029707
0.004029,2.130593,0.028822
0.004029,2.130593,0.028380
0.004029,2.130593,0.027496
0.004029,2.170794,0.026611
0.004029,2.170794,0.025727
0.004030,2.170794,0.026169
0.004030,2.170794,0.026611
0.004030,2.170794,0.027054
0.004030,2.170794,0.027496
0.004030,2.210995,0.027938
0.004030,2.210995,0.027938
0.004031,2.210995,0.027938
0.004031,2.210995,0.027938
0.004031,2.210995,0.027054
0.004031,2.251196,0.026611
0.004031,2.251196,0.026169
0.004031,2.251196,0.025285
0.004031,2.251196,0.024843
0.004032,2.251196,0.024843
0.004032,2.251196,0.025727
0.004032,2.291397,0.027054
0.004032,2.291397,0.027496
0.004032,2.291397,0.027496
0.004032,2.291397,0.027496
0.004033,2.291397,0.026611
0.004033,2.331598,0.025285
0.004033,2.331598,0.024400
0.004033,2.331598,0.023958
0.004033,2.331598,0.023516
0.004033,2.331598,0.024843
0.004033,2.331598,0.026169
0.004034,2.371799,0.027054
0.004034,2.371799,0.027054
0.004034,2.371799,0.025727
0.004034,2.371799,0.024400
0.004034,2.371799,0.023958
0.004034,2.371799,0.023958
0.004034,2.412000,0.024843
0.004035,2.412000,0.025285
0.004035,2.412000,0.025285
0.004035,2.412000,0.025285
0.004035,2.412000,0.025285
0.004035,2.412000,0.024843
0.004035,2.412000,0.023958
0.004036,2.412000,0.023516
0.004036,2.412000,0.023516
0.004036,2.412000,0.023958
0.004036,2.412000,0.025285
0.004036,2.452201,0.025285
0.004036,2.452201,0.024843
0.004036,2.452201,0.023958
0.004037,2.452201,0.023516
0.004037,2.452201,0.023958
0.004037,2.452201,0.023958
0.004037,2.492402,0.023958
0.004037,2.492402,0.023074
0.004037,2.492402,0.022189
0.004037,2.492402,0.022189
0.004038,2.492402,0.022189
0.004038,2.492402,0.022189
0.004038,2.532603,0.022632
0.004038,2.532603,0.023074
0.004038,2.532603,0.023516
0.004038,2.532603,0.023958
0.004039,2.532603,0.023958
0.004039,2.572804,0.023516
0.004039,2.572804,0.022632
0.004039,2.572804,0.021305
0.004039,2.572804,0.019978
0.004039,2.572804,0.019978
0.004039,2.572804,0.021305
0.004040,2.572804,0.023074
0.004040,2.613005,0.024400
0.004040,2.613005,0.024400
0.004040,2.613005,0.023074
0.004040,2.613005,0.021305
0.004040,2.613005,0.019536
0.004041,2.613005,0.019094
