Time(s),CH1(V),CH2(V)
0.004988,4.582854,0.001140
0.004989,4.582854,0.000256
0.004989,4.582854,-0.001513
0.004989,4.582854,-0.003282
0.004989,4.582854,-0.002840
0.004989,4.582854,-0.001955
0.004989,4.582854,-0.001071
0.004990,4.582854,-0.001071
0.004990,4.582854,-0.000187
0.004990,4.582854,0.000698
0.004990,4.582854,0.000256
0.004990,4.582854,-0.001071
0.004990,4.582854,-0.002398
0.004990,4.582854,-0.001513
0.004991,4.582854,-0.000629
0.004991,4.582854,0.000256
0.004991,4.582854,-0.000187
0.004991,4.582854,-0.001513
0.004991,4.582854,-0.001955
0.004991,4.582854,-0.001955
0.004992,4.582854,-0.001071
0.004992,4.582854,-0.001071
0.004992,4.582854,-0.000629
0.004992,4.582854,0.000256
0.004992,4.582854,0.000698
0.004992,4.582854,0.000256
0.004992,4.582854,-0.001071
0.004993,4.582854,-0.002398
0.004993,4.582854,-0.003282
0.004993,4.582854,-0.003282
0.004993,4.582854,-0.001955
0.004993,4.582854,-0.000187
0.004993,4.582854,0.001582
0.004994,4.582854,0.001140
0.004994,4.582854,0.000698
0.004994,4.582854,-0.000629
0.004994,4.582854,-0.002398
0.004994,4.582854,-0.003724
0.004994,4.582854,-0.003724
0.004995,4.582854,-0.002398
0.004995,4.582854,-0.001071
0.004995,4.582854,0.000698
0.004995,4.582854,0.002024
0.004995,4.582854,0.001582
0.004995,4.582854,-0.001071
0.004995,4.582854,-0.003282
0.004996,4.582854,-0.004166
0.004996,4.582854,-0.003282
0.004996,4.582854,-0.001513
0.004996,4.582854,0.000698
0.004996,4.582854,0.001582
0.004996,4.582854,0.000698
0.004997,4.582854,-0.001071
0.004997,4.582854,-0.003282
0.004997,4.582854,-0.005051
0.004997,4.582854,-0.005051
0.004997,4.582854,-0.001955
0.004997,4.582854,0.001582
0.004998,4.582854,0.002909
0.004998,4.582854,0.002467
0.004998,4.582854,0.000698
0.004998,4.582854,-0.001071
0.004998,4.582854,-0.002840
0.004998,4.582854,-0.004166
0.004998,4.582854,-0.004166
0.004999,4.582854,-0.003282
0.004999,4.582854,-0.001513
0.004999,4.582854,0.000698
0.004999,4.582854,0.002024
0.004999,4.582854,0.001140
0.004999,4.582854,-0.000187
0.005000,4.582854,-0.001071
0.005000,4.582854,-0.001071
0.005000,4.582854,-0.001955
0.005000,4.582854,-0.002840
0.005000,4.542653,-0.009915
0.005000,4.542653,-0.014780
0.005000,4.502452,-0.018317
0.005001,4.502452,-0.021855
0.005001,4.462251,-0.025835
0.005001,4.462251,-0.029372
0.005001,4.422050,-0.033795
0.005001,4.422050,-0.038217
0.005001,4.422050,-0.040428
0.005002,4.381849,-0.039986
0.005002,4.381849,-0.039101
0.005002,4.381849,-0.039543
0.005002,4.341648,-0.040870
0.005002,4.341648,-0.043081
0.005002,4.301447,-0.044408
0.005003,4.301447,-0.047061
0.005003,4.261246,-0.048388
0.005003,4.261246,-0.048388
0.005003,4.261246,-0.047503
0.005003,4.261246,-0.045292
0.005003,4.221045,-0.043965
0.005003,4.221045,-0.044408
0.005004,4.180844,-0.045734
0.005004,4.180844,-0.048388
0.005004,4.180844,-0.049714
0.005004,4.140643,-0.050156
0.005004,4.140643,-0.049714
0.005004,4.140643,-0.047945
0.005005,4.100442,-0.045734
0.005005,4.100442,-0.044408
0.005005,4.100442,-0.044408
0.005005,4.060241,-0.044850
0.005005,4.060241,-0.047061
0.005005,4.020040,-0.049272
0.005005,4.020040,-0.050599
0.005006,4.020040,-0.050156
0.005006,4.020040,-0.048388
0.005006,3.979839,-0.046619
0.005006,3.979839,-0.045734
0.005006,3.979839,-0.045292
0.005006,3.939638,-0.045292
0.005007,3.939638,-0.046177
0.005007,3.899437,-0.047061
0.005007,3.899437,-0.047061
0.005007,3.899437,-0.046619
0.005007,3.899437,-0.045734
0.005007,3.859236,-0.044850
0.005007,3.859236,-0.044850
0.005008,3.859236,-0.045292
0.005008,3.819035,-0.045734
0.005008,3.819035,-0.045734
0.005008,3.819035,-0.046619
0.005008,3.778834,-0.046619
0.005008,3.778834,-0.045734
0.005009,3.778834,-0.045292
0.005009,3.738633,-0.044408
0.005009,3.738633,-0.043081
0.005009,3.738633,-0.042197
0.005009,3.698432,-0.042197
0.005009,3.698432,-0.042197
0.005010,3.698432,-0.042639
0.005010,3.698432,-0.043965
0.005010,3.658231,-0.044850
0.005010,3.658231,-0.045292
0.005010,3.658231,-0.045292
0.005010,3.618030,-0.044408
0.005010,3.618030,-0.042639
0.005011,3.618030,-0.040870
0.005011,3.577829,-0.040428
0.005011,3.577829,-0.041312
0.005011,3.577829,-0.043081
0.005011,3.537628,-0.043965
0.005011,3.537628,-0.043523
0.005012,3.537628,-0.042639
0.005012,3.497427,-0.041312
0.005012,3.497427,-0.040428
0.005012,3.497427,-0.039986
0.005012,3.497427,-0.039543
0.005012,3.457226,-0.040428
0.005012,3.457226,-0.041312
0.005013,3.457226,-0.043523
0.005013,3.417025,-0.044408
0.005013,3.417025,-0.043523
0.005013,3.417025,-0.040870
0.005013,3.417025,-0.039101
0.005013,3.376824,-0.037774
0.005014,3.376824,-0.037332
0.005014,3.376824,-0.037774
0.005014,3.336623,-0.038659
0.005014,3.336623,-0.040428
0.005014,3.336623,-0.042639
0.005014,3.336623,-0.043523
0.005015,3.296422,-0.042639
0.005015,3.296422,-0.039986
0.005015,3.296422,-0.037332
0.005015,3.256221,-0.036448
0.005015,3.256221,-0.038217
0.005015,3.256221,-0.039543
0.005015,3.256221,-0.039986
0.005016,3.216020,-0.040428
0.005016,3.216020,-0.040428
0.005016,3.216020,-0.039986
0.005016,3.216020,-0.038217
0.005016,3.175819,-0.036890
0.005016,3.175819,-0.036448
0.005017,3.175819,-0.037332
0.005017,3.175819,-0.037774
0.005017,3.135618,-0.038659
0.005017,3.135618,-0.039986
0.005017,3.135618,-0.040428
0.005017,3.095417,-0.038659
0.005017,3.095417,-0.036448
0.005018,3.095417,-0.036006
0.005018,3.095417,-0.036448
0.005018,3.055216,-0.036890
0.005018,3.055216,-0.036890
0.005018,3.055216,-0.036890
0.005018,3.055216,-0.036890
0.005019,3.015015,-0.036890
0.005019,3.015015,-0.035563
0.005019,3.015015,-0.034679
0.005019,3.015015,-0.034679
0.005019,2.974814,-0.035563
0.005019,2.974814,-0.037332
0.005020,2.974814,-0.037774
0.005020,2.974814,-0.036448
0.005020,2.934613,-0.035121
0.005020,2.934613,-0.033795
0.005020,2.934613,-0.034237
0.005020,2.934613,-0.035563
0.005020,2.894412,-0.036006
0.005021,2.894412,-0.036448
0.005021,2.894412,-0.036006
0.005021,2.894412,-0.035121
0.005021,2.854211,-0.033352
0.005021,2.854211,-0.031584
0.005021,2.854211,-0.031141
0.005022,2.854211,-0.032468
0.005022,2.814010,-0.035121
0.005022,2.814010,-0.036448
0.005022,2.814010,-0.036448
0.005022,2.814010,-0.036448
0.005022,2.773809,-0.034679
0.005023,2.773809,-0.032468
0.005023,2.773809,-0.030699
0.005023,2.773809,-0.030257
0.005023,2.773809,-0.031141
0.005023,2.733608,-0.032910
0.005023,2.733608,-0.034679
