Address:,USB0::0x0957::0x179B::MY59127610::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127610,,0.0009809375,4.76627179607749,-0.000452266562206205,
Firmware Version:,02.50.2019022736,,0.0009811458325,4.76878435933031,-0.000402015313738957,
Start Time:,2023-04-19 07:53:34.629,,0.000981354165,4.76627179607749,-0.000351764065271709,
,,,0.0009815624975,4.76627179607749,-0.000351764065271709,
Analog Sample Count:,959,,0.00098177083,4.76878435933031,-0.000351764065271709,
Function Sample Count:,0,,0.0009819791625,4.76627179607749,-0.000402015313738957,
Waveform Memory Sample Count:,0,,0.000982187495,4.76627179607749,-0.000402015313738957,
Digital Sample Count:,0,,0.0009823958275,4.76878435933031,-0.000251261568337213,
,,,0.00098260416,4.76878435933031,-0.000150759071402717,
Setup Text Information:,,,0.0009828124925,4.76878435933031,-0.000201010319869965,
ANALOG,,,0.000983020825,4.76878435933031,-0.000351764065271709,
Channel 1,,,0.0009832291575,4.76627179607749,-0.000502517810673453,
Scale,1 V/,,0.00098343749,4.76627179607749,-0.000502517810673453,
Pos,1.912 V,,0.0009836458225,4.76878435933031,-0.000452266562206205,
Coup,,,0.000983854155,4.76627179607749,-0.000301512816804461,
BW,Off,,0.0009840624875,4.76878435933031,-0.000251261568337213,
Inv,Off,,0.00098427082,4.76627179607749,-0.000351764065271709,
Imp,1M Ohm,,0.0009844791525,4.76627179607749,-0.000402015313738957,
Trace Label,1,,0.000984687485,4.76627179607749,-0.000402015313738957,
Probe,1,,0.0009848958175,4.76627179607749,-0.000301512816804461,
Skew,0 s,,0.00098510415,4.76878435933031,-0.000100507822935469,
,,,0.0009853124825,4.76878435933031,0.000100497170933522,
Channel 2,,,0.000985520815,4.76878435933031,-5.32600097358227E-09,
Scale,20 mV/,,0.0009857291475,4.76878435933031,-0.000351764065271709,
Pos,-40 mV,,0.00098593748,4.76627179607749,-0.000603020307607949,
Coup,,,0.0009861458125,4.76878435933031,-0.000402015313738957,
BW,Off,,0.000986354145,4.76878435933031,-5.02565744682215E-05,
Inv,Off,,0.0009865624775,4.76878435933031,5.02459224662744E-05,
Imp,1M Ohm,,0.00098677081,4.76878435933031,-5.02565744682215E-05,
Trace Label,2,,0.0009869791425,4.76878435933031,-0.000351764065271709,
Probe,1,,0.000987187475,4.76627179607749,-0.000653271556075197,
Skew,0 s,,0.0009873958075,4.76627179607749,-0.000552769059140701,
,,,0.00098760414,4.76878435933031,-0.000251261568337213,
MATH,,,0.0009878124725,4.76878435933031,0.000100497170933522,
REFERENCE WAVEFORM,,,0.000988020805,4.76878435933031,5.02459224662744E-05,
TRIGGER,,,0.0009882291375,4.76878435933031,-0.000301512816804461,
Sweep Mode,AUTO,,0.00098843747,4.76878435933031,-0.000603020307607949,
Coup,DC,,0.0009886458025,4.76627179607749,-0.000804025301476941,
Noise Rej,Off,,0.000988854135,4.76627179607749,-0.000502517810673453,
HF Rej,Off,,0.0009890624675,4.76878435933031,-5.02565744682215E-05,
Holdoff,40.0 ns,,0.0009892708,4.76878435933031,0.00015074841940077,
Mode,EDGE,,0.0009894791325,4.76878435933031,-5.32600097358227E-09,
Source,WGEN,,0.000989687465,4.76627179607749,-0.000502517810673453,
Slope,POS,,0.0009898957975,4.76627179607749,-0.000854276549944188,
Level,0 V V,,0.00099010413,4.76627179607749,-0.000854276549944188,
,,,0.0009903124625,4.76627179607749,-0.000502517810673453,
HORIZONTAL,,,0.000990520795,4.76878435933031,-5.32600097358227E-09,
Mode,MAIN,,0.0009907291275,4.76878435933031,0.000100497170933522,
Ref,CENT,,0.00099093746,4.76878435933031,-0.000150759071402717,
Main Scale,20 µs/,,0.0009911457925,4.76627179607749,-0.000452266562206205,
Main Delay,1.081 ms,,0.000991354125,4.76627179607749,-0.000552769059140701,
,,,0.0009915624575,4.76878435933031,-0.000251261568337213,
ACQUISITION,,,0.00099177079,4.76878435933031,-5.32600097358227E-09,
Mode,AVER,,0.0009919791225,4.76878435933031,-5.32600097358227E-09,
RealTime,On,,0.000992187455,4.76627179607749,-0.000251261568337213,
Vectors,On,,0.0009923957875,4.76627179607749,-0.000653271556075197,
Persistence,Off,,0.00099260412,4.76627179607749,-0.000753774053009693,
,,,0.0009928124525,4.76627179607749,-0.000552769059140701,
MEASUREMENTS,,,0.000993020785,4.76878435933031,-0.000301512816804461,
Frequency(1),,,0.0009932291175,4.76878435933031,-0.000100507822935469,
Cur,No signal,,0.00099343745,4.76878435933031,-0.000100507822935469,
,,,0.0009936457825,4.76878435933031,-0.000301512816804461,
Pk-Pk(1),,,0.000993854115,4.76627179607749,-0.000402015313738957,
Cur,4.827 V,,0.0009940624475,4.76627179607749,-0.000552769059140701,
,,,0.00099427078,4.76878435933031,-0.000402015313738957,
Average - Full Screen(1),,,0.0009944791125,4.76878435933031,-0.000351764065271709,
Cur,0.89912 V,,0.000994687445,4.76627179607749,-0.000452266562206205,
,,,0.0009948957775,4.76627179607749,-0.000452266562206205,
,,,0.00099510411,4.76627179607749,-0.000402015313738957,
,,,0.0009953124425,4.76627179607749,-0.000251261568337213,
,,,0.000995520775,4.76878435933031,-5.02565744682215E-05,
,,,0.0009957291075,4.76878435933031,-0.000100507822935469,
,,,0.00099593744,4.76878435933031,-0.000251261568337213,
,,,0.0009961457725,4.76627179607749,-0.000402015313738957,
,,,0.000996354105,4.76627179607749,-0.000402015313738957,
,,,0.0009965624375,4.76878435933031,-0.000351764065271709,
,,,0.00099677077,4.76878435933031,-0.000301512816804461,
,,,0.0009969791025,4.76627179607749,-0.000351764065271709,
,,,0.000997187435,4.76627179607749,-0.000452266562206205,
,,,0.0009973957675,4.76627179607749,-0.000351764065271709,
,,,0.0009976041,4.76878435933031,-0.000251261568337213,
,,,0.0009978124325,4.76878435933031,-0.000201010319869965,
,,,0.000998020765,4.76878435933031,-0.000201010319869965,
,,,0.0009982290975,4.76878435933031,-0.000251261568337213,
,,,0.00099843743,4.76878435933031,-0.000201010319869965,
,,,0.0009986457625,4.76627179607749,-0.000251261568337213,
,,,0.000998854095,4.76878435933031,-0.000351764065271709,
,,,0.0009990624275,4.76878435933031,-0.000402015313738957,
,,,0.00099927076,4.76627179607749,-0.000502517810673453,
,,,0.0009994790925,4.76627179607749,-0.000452266562206205,
,,,0.000999687425,4.76878435933031,-0.000201010319869965,
,,,0.0009998957575,4.76878435933031,-0.000100507822935469,
,,,0.00100010409,4.74617129005492,-0.00718593385681743,
,,,0.0010003124225,4.68084464548156,-0.0219095496577211,
,,,0.001000520755,4.62054312741384,-0.0342211055321968,
,,,0.0010007290875,4.56526673585176,-0.0445226114679826,
,,,0.00100093742,4.50747778103687,-0.052914569962013,
,,,0.0010011457525,4.45471395272762,-0.0594472322627553,
,,,0.001001354085,4.40446268767118,-0.065075372091087,
,,,0.0010015624175,4.35169885936193,-0.0695477332046721,
,,,0.00100177075,4.3014475943055,-0.072964818100445,
,,,0.0010019790825,4.25370889250189,-0.0756281342692091,
,,,0.001002187415,4.20597019069828,-0.0775879329594318,
,,,0.0010023957475,4.16074405214749,-0.079246224158851,
,,,0.00100260408,4.1155179135967,-0.0803015003766632,
,,,0.0010028124125,4.07280433829874,-0.0811055203521391,
,,,0.001003020745,4.03009076300077,-0.0818090378306806,
,,,0.0010032290775,3.9873771877028,-0.0822110478184186,
,,,0.00100343741,3.94466361240484,-0.0822612990668858,
,,,0.0010036457425,3.90195003710687,-0.0821607965699513,
,,,0.001003854075,3.85923646180891,-0.0820100428245496,
,,,0.0010040624075,3.82154801301658,-0.0816080328368116,
,,,0.00100427074,3.78134700097144,-0.0811557716006064,
,,,0.0010044790725,3.74114598892629,-0.0807035103644012,
,,,0.001004687405,3.70345754013397,-0.0801507466312614,
,,,0.0010048957375,3.66576909134164,-0.0795477316496545,
,,,0.00100510407,3.6255680792965,-0.0787437116741785,
,,,0.0010053124025,3.58787963050418,-0.078241199189506,
,,,0.001005520735,3.55019118171185,-0.0775879329594318,
,,,0.0010057290675,3.51501529617235,-0.0769849179778248,
,,,0.0010059374,3.47732684738003,-0.0763819029962178,
,,,0.0010061457325,3.4396383985877,-0.0755778830207419,
,,,0.001006354065,3.4044625130482,-0.0747738630452659,
,,,0.0010065623975,3.37179919076152,-0.0739698430697899,
,,,0.00100677073,3.33662330522202,-0.0731155718458467,
,,,0.0010069790625,3.2989348564297,-0.0724120543673052,
,,,0.001007187395,3.26375897089019,-0.0718090393856983,
,,,0.0010073957275,3.23109564860351,-0.071155773155624,
