0	x	y
	7.8672	-1.8229
	7.5712	-1.698
	7.2753	-1.5731
	6.9794	-1.4482
	6.6834	-1.3325
	6.3875	-1.2176
	6.0915	-1.1027
	5.7956	-1.0015
	5.4997	-0.9077
	5.2037	-0.8139
	4.9078	-0.723
	4.6119	-0.643
	4.3159	-0.5631
	4.02	-0.4866
	3.724	-0.4231
	3.4281	-0.3595
	3.1322	-0.296
	2.8362	-0.2558
	2.5403	-0.2226
	2.2443	-0.1894
	1.9484	-0.1562
1	x	y
	7.7881	-2.3125
	7.4962	-2.1409
	7.2042	-1.9694
	6.9122	-1.7978
	6.6202	-1.6526
	6.3282	-1.5148
	6.0362	-1.377
	5.7442	-1.2545
	5.4523	-1.1351
	5.1603	-1.0156
	4.8683	-0.9038
	4.5763	-0.8063
	4.2843	-0.7087
	3.9923	-0.6145
	3.7003	-0.5302
	3.4083	-0.4458
	3.1164	-0.3615
	2.8244	-0.3047
	2.5324	-0.2552
	2.2404	-0.2057
	1.9484	-0.1562
2	x	y
	7.6037	-2.5104
	7.321	-2.3528
	7.0382	-2.1951
	6.7554	-2.0375
	6.4727	-1.8932
	6.1899	-1.7504
	5.9071	-1.6077
	5.6244	-1.4714
	5.3416	-1.3352
	5.0588	-1.1991
	4.7761	-1.0807
	4.4933	-0.9658
	4.2105	-0.8509
	3.9278	-0.7436
	3.645	-0.6445
	3.3622	-0.5453
	3.0795	-0.4461
	2.7967	-0.3719
	2.5139	-0.3
	2.2312	-0.2281
	1.9484	-0.1562
3	x	y
	6.9978	-2.5312
	6.7427	-2.3123
	6.4876	-2.1246
	6.2325	-1.9874
	5.9774	-1.8502
	5.7223	-1.7083
	5.4672	-1.5601
	5.2121	-1.4119
	4.957	-1.2655
	4.7019	-1.1555
	4.4468	-1.0455
	4.1917	-0.9354
	3.9366	-0.8308
	3.6814	-0.7417
	3.4263	-0.6525
	3.1712	-0.5634
	2.9161	-0.4787
	2.661	-0.4007
	2.4059	-0.3227
	2.1508	-0.2447
	1.8957	-0.1667
4	x	y
	6.1723	-2.5729
	5.9484	-2.3737
	5.7245	-2.1854
	5.5005	-2.026
	5.2766	-1.8667
	5.0527	-1.7301
	4.8288	-1.5955
	4.6048	-1.4613
	4.3809	-1.3347
	4.157	-1.208
	3.933	-1.0814
	3.7091	-0.9727
	3.4852	-0.8722
	3.2613	-0.7717
	3.0373	-0.6712
	2.8134	-0.5794
	2.5895	-0.5052
	2.3655	-0.431
	2.1416	-0.3568
	1.9177	-0.2826
	1.6937	-0.2083
5	x	y
	5.5137	-2.4167
	5.3227	-2.2572
	5.1317	-2.1156
	4.9407	-1.9797
	4.7497	-1.8437
	4.5587	-1.7179
	4.3677	-1.592
	4.1767	-1.4681
	3.9857	-1.3462
	3.7947	-1.2242
	3.6037	-1.1022
	3.4127	-0.9956
	3.2217	-0.8903
	3.0307	-0.7849
	2.8397	-0.6795
	2.6487	-0.6005
	2.4577	-0.522
	2.2667	-0.4436
	2.0757	-0.3652
	1.8847	-0.2868
	1.6937	-0.2083
6	x	y
	5.1537	-2.4375
	4.978	-2.287
	4.8024	-2.1366
	4.6268	-1.9896
	4.4512	-1.8507
	4.2755	-1.7128
	4.0999	-1.5945
	3.9243	-1.4761
	3.7486	-1.3548
	3.573	-1.233
	3.3974	-1.1112
	3.2217	-1
	3.0461	-0.8958
	2.8705	-0.7917
	2.6948	-0.6935
	2.5192	-0.6196
	2.3436	-0.5457
	2.1679	-0.4718
	1.9923	-0.3978
	1.8167	-0.3239
	1.6411	-0.25
7	x	y
	4.9429	-2.4271
	4.7778	-2.2965
	4.6127	-2.166
	4.4476	-2.0379
	4.2825	-1.9129
	4.1175	-1.7879
	3.9524	-1.6563
	3.7873	-1.5243
	3.6222	-1.3965
	3.4571	-1.2728
	3.292	-1.1491
	3.1269	-1.0328
	2.9618	-0.9247
	2.7967	-0.8167
	2.6316	-0.72
	2.4665	-0.6417
	2.3014	-0.5633
	2.1363	-0.485
	1.9712	-0.4067
	1.8061	-0.3283
	1.6411	-0.25
8	x	y
	4.7322	-2.4479
	4.5745	-2.3044
	4.4169	-2.1609
	4.2593	-2.0259
	4.1016	-1.8965
	3.944	-1.7587
	3.7864	-1.61
	3.6288	-1.4612
	3.4711	-1.3397
	3.3135	-1.2187
	3.1559	-1.0998
	2.9982	-0.9934
	2.8406	-0.887
	2.683	-0.7806
	2.5254	-0.7065
	2.3677	-0.6356
	2.2101	-0.5647
	2.0525	-0.4939
	1.8948	-0.423
	1.7372	-0.3521
	1.5796	-0.2812
9	x	y
	4.5565	-2.4583
	4.3993	-2.3037
