Num	Ua	Up	I
0	0.5	-0.400000006	0
1	0.5	-0.600000024	0
2	0.5	-0.800000012	0
3	0.5	-1	0
4	0.5	-1.5	0
5	0.5	-2	0
6	0.5	-2.5	0
7	0.5	-3	0
8	0.5	-3.5	0
9	0.5	-4	0
10	0.5	-4.5	0
11	0.5	-5	0
12	0.5	-6	0
13	0.5	-7	0
14	0.5	-8	0
15	0.5	-9	0
16	1	-1	0
17	1	-1.5	0
18	1	-2	0
19	1	-2.5	0
20	1	-3	0
21	1	-3.5	0
22	1	-4	0
23	1	-4.5	0
24	1	-5	0
25	1	-6	0
26	1	-7	0
27	1	-8	0
28	1	-9	0
29	1.5	0	0
30	1.5	-0.200000003	0
31	1.5	-0.400000006	0
32	1.5	-0.600000024	0
33	1.5	-0.800000012	0
34	1.5	-1	0
35	1.5	-1.5	0
36	1.5	-2	0
37	1.5	-2.5	0
38	1.5	-3	0
39	1.5	-3.5	0
40	1.5	-4	0
41	1.5	-4.5	0
42	1.5	-5	0
43	1.5	-6	0
44	1.5	-7	0
45	1.5	-8	0
46	1.5	-9	0
47	2	0	0
48	2	-0.5	0
49	2	-1	0
50	2	-1.5	0
51	2	-2	0
52	2	-2.5	0
53	2	-3	0
54	2	-3.5	0
55	2	-4	0
56	2	-4.5	0
57	2	-5	0
58	2	-6	0
59	2	-7	0
60	2	-8	0
61	2	-9	0
62	3	0	0
63	3	-0.5	0
64	3	-1	0
65	3	-1.5	0
66	3	-2	0
67	3	-2.5	0
68	3	-3	0
69	3	-3.5	0
70	3	-4	0
72	3	-4.5	0
73	3	-5	0
74	3	-6	0
75	3	-7	0
76	3	-8	0
77	3	-9	0
78	4	0	0
79	4	-0.5	0
80	4	-0.899999976	0
81	4	-1.5	0
82	4	-2	0
83	4	-2.5	0
84	4	-3	0
85	4	-3.5	0
86	4	-4	0
87	4	-4.5	0
88	4	-5	0
89	4	-5.9	0
90	4	-7	0
91	4	-8	0
92	4	-9	0
93	0.5	0.400000006	0
94	0.5	0.600000024	0
95	0.5	0.800000012	0
96	0.5	1	0
97	0.5	1.5	0
98	0.5	2	0
99	0.5	2.5	0
100	0.5	3	0
101	0.5	3.5	0
102	0.5	4	0
103	0.5	4.5	0
104	0.5	5	0
105	0.5	6	0
106	0.5	7	0
107	0.5	8	0
108	0.5	9	0
109	1	0.200000003	0
110	1	0.400000006	0
111	1	0.600000024	0
112	1	0.800000012	0
113	1	1	0
114	1	1.5	0
115	1	2	0
116	1	2.5	0
117	1	3	0
118	1	3.5	0
119	1	4	0
120	1	4.5	0
121	1	5	0
122	1	6	0
123	1	7	0
124	1	8	0
125	1	9	0
126	1.5	0	0
127	1.5	0.200000003	0
128	1.5	0.400000006	0
129	1.5	0.600000024	0
130	1.5	0.800000012	0
131	1.5	1	0
132	1.5	1.5	0
133	1.5	2	0
134	1.5	2.5	0
135	1.5	3	0
136	1.5	3.5	0
137	1.5	4	0
138	1.5	4.5	0
139	1.5	5	0
140	1.5	6	0
141	1.5	7	0
142	1.5	8	0
143	1.5	9	0
144	2	0	0
145	2	0.5	0
146	2	1	0
147	2	2	0
148	2	3	0
149	2	4	0
150	2	5	0
151	2	6	0
152	2	7	0
153	2	8	0
154	2	9	0
155	2.5	0	0
156	2.5	0.5	0
157	2.5	1	0
158	2.5	2	0
159	2.5	3	0
160	2.5	4	0
161	2.5	5	0
162	2.5	6	0
163	2.5	7	0
164	2.5	8	0
165	2.5	9	0
166	3	0	0
167	3	1	0
168	3	2	0
169	3	3	0
170	3	4	0
171	3	5	0
172	3	7	0
173	3	8	0
174	3	9	0
175	4	0	0
176	4	1	0
178	4	2	0
179	4	3	0
180	4	4	0
181	4	5	0
182	4	6	0
183	4	7	0
184	4	8	0
185	4	9	0
200	1	0	0.050000001
201	1	0	0.100000001
202	1	0	0.150000006
203	1	0	0.200000003
204	1	0	0.25
205	2	0	0.050000001
206	2	0	0.100000001
207	2	0	0.150000006
208	2	0	0.200000003
209	2	0	0.25
210	3	0	0.050000001
211	3	0	0.100000001
212	3	0	0.150000006
213	3	0	0.200000003
214	3	0	0.25
215	4	0	0.052999999
216	4	0	0.100000001
217	4	0	0.150000006
218	4	0	0.254999995
219	4	0	0.300000012
220	1	0	-0.054000001
221	1	0	-0.100000001
222	1	0	-0.156000003
223	1	0	-0.209999993
224	2	0	-0.050000001
225	2	0	-0.100000001
226	2	0	-0.158000007
227	2	0	-0.209999993
228	2	0	-0.252999991
229	3	0	-0.050000001
230	3	0	-0.100000001
231	3	0	-0.100000001
232	3	0	-0.155000001
233	3	0	-0.206
234	3	0	-0.256999999
235	4	0	-0.055
236	4	0	-0.157000005
237	4	0	-0.25999999
238	4	0	-0.300000012
300	1	1	-0.151999995
301	1	1.5	-0.25
302	2	1	-0.109999999
303	2	1.5	-0.160999998
304	2	2	-0.214000002
305	2	3	-0.335999995
306	3	1.5	-0.120999999
307	3	3.200000048	-0.293000013
308	4	1	-0.081
309	4	1.899999976	-0.150000006
310	4	3	-0.241999999
311	4	4	-0.326999992
312	1	-1	0.174999997
313	1	-2	0.331999987
314	2	-1	0.128999993
315	2	-2	0.239999995
316	2	-3	0.361000001
317	3	-1	0.109999999
318	3	-2	0.201000005
319	3	-3	0.303000003
320	4	-1	0.100000001
321	4	-3	0.256999999
322	4	-4	0.342999995
