Time(s),CHAN1(V)
-0.011328,0.000151
-0.011322,0.000151
-0.011315,0.000151
-0.011309,0.000151
-0.011302,0.000151
-0.011296,0.000151
-0.011289,0.000151
-0.011283,0.000151
-0.011276,0.000151
-0.011270,0.000151
-0.011263,0.000151
-0.011257,0.000151
-0.011250,0.000151
-0.011243,0.000151
-0.011237,0.000151
-0.011230,0.000151
-0.011224,0.000151
-0.011217,0.000151
-0.011211,0.000151
-0.011204,0.000151
-0.011198,0.000151
-0.011191,0.000151
-0.011185,0.000151
-0.011178,0.000151
-0.011172,0.000151
-0.011165,0.000151
-0.011159,0.000151
-0.011152,0.000151
-0.011146,0.000151
-0.011139,0.000151
-0.011133,0.000151
-0.011126,0.000151
-0.011120,0.000151
-0.011113,0.000151
-0.011107,0.000151
-0.011100,0.000151
-0.011094,0.000151
-0.011087,0.000151
-0.011081,0.000151
-0.011074,0.000151
-0.011068,0.000151
-0.011061,0.000151
-0.011055,0.000151
-0.011048,0.000151
-0.011042,0.000151
-0.011035,0.000151
-0.011029,0.000151
-0.011022,0.000151
-0.011016,0.000151
-0.011009,0.000151
-0.011003,0.000151
-0.010996,0.000151
-0.010990,0.000151
-0.010983,0.000151
-0.010977,0.000151
-0.010970,0.000151
-0.010964,0.000151
-0.010957,0.000151
-0.010951,0.000151
-0.010944,0.000151
-0.010938,0.000151
-0.010931,0.000151
-0.010924,0.000151
-0.010918,0.000151
-0.010911,0.000151
-0.010905,0.000151
-0.010898,0.000151
-0.010892,0.000151
-0.010885,0.000151
-0.010879,0.000151
-0.010872,0.000151
-0.010866,0.000151
-0.010859,0.000151
-0.010853,0.000151
-0.010846,0.000151
-0.010840,0.000151
-0.010833,0.000151
-0.010827,0.000151
-0.010820,0.000151
-0.010814,0.000151
-0.010807,0.000151
-0.010801,0.000151
-0.010794,0.000151
-0.010788,0.000151
-0.010781,0.000151
-0.010775,0.000151
-0.010768,0.000151
-0.010762,0.000151
-0.010755,0.000151
-0.010749,0.000151
-0.010742,0.000151
-0.010736,0.000151
-0.010729,0.000151
-0.010723,0.000151
-0.010716,0.000151
-0.010710,0.000151
-0.010703,0.000151
-0.010697,0.000151
-0.010690,0.000151
-0.010684,0.000151
-0.010677,0.000151
-0.010671,0.000151
-0.010664,0.000151
-0.010658,0.000151
-0.010651,0.000151
-0.010645,0.000151
-0.010638,0.000151
-0.010632,0.000151
-0.010625,0.000151
-0.010618,0.000151
-0.010612,0.000151
-0.010605,0.000151
-0.010599,0.000151
-0.010592,0.000151
-0.010586,0.000151
-0.010579,0.000151
-0.010573,0.000151
-0.010566,0.000151
-0.010560,0.000151
-0.010553,0.000151
-0.010547,0.000151
-0.010540,0.000151
-0.010534,0.000151
-0.010527,0.000151
-0.010521,0.000151
-0.010514,0.000151
-0.010508,0.000151
-0.010501,0.000151
-0.010495,0.000151
-0.010488,0.000151
-0.010482,0.000151
-0.010475,0.000151
-0.010469,0.000151
-0.010462,0.000151
-0.010456,0.000151
-0.010449,0.000151
-0.010443,0.000151
-0.010436,0.000151
-0.010430,0.000151
-0.010423,0.000151
-0.010417,0.000151
-0.010410,0.000151
-0.010404,0.000151
-0.010397,0.000151
-0.010391,0.000151
-0.010384,0.000151
-0.010378,0.000151
-0.010371,0.000151
-0.010365,0.000151
-0.010358,0.000151
-0.010352,0.000151
-0.010345,0.000151
-0.010339,0.000151
-0.010332,0.000151
-0.010326,0.000151
-0.010319,0.000151
-0.010313,0.000151
-0.010306,0.000151
-0.010299,0.000151
-0.010293,0.000151
-0.010286,0.000151
-0.010280,0.000151
-0.010273,0.000151
-0.010267,0.000151
-0.010260,0.000151
-0.010254,0.000151
-0.010247,0.000151
-0.010241,0.000151
-0.010234,0.000151
-0.010228,0.000151
-0.010221,0.000151
-0.010215,0.000151
-0.010208,0.000151
-0.010202,0.000151
-0.010195,0.000151
-0.010189,0.000151
-0.010182,0.000151
-0.010176,0.000151
-0.010169,0.000151
-0.010163,0.000151
-0.010156,0.000151
-0.010150,0.000151
-0.010143,0.000151
-0.010137,0.000151
-0.010130,0.000151
-0.010124,0.000151
-0.010117,0.000151
-0.010111,0.000151
-0.010104,0.000151
-0.010098,0.000151
-0.010091,0.000151
-0.010085,0.000151
-0.010078,0.000151
-0.010072,0.000151
-0.010065,0.000151
-0.010059,0.000151
-0.010052,0.000151
-0.010046,0.000151
-0.010039,0.000151
-0.010033,0.000151
-0.010026,0.000151
-0.010020,0.000151
-0.010013,0.000151
-0.010007,0.000151
-0.010000,0.000151
-0.009993,0.000151
-0.009987,0.000151
-0.009980,0.000151
-0.009974,0.000151
-0.009967,0.000151
-0.009961,0.000151
-0.009954,0.000151
-0.009948,0.000151
-0.009941,0.000151
-0.009935,0.000151
-0.009928,0.000151
-0.009922,0.000151
-0.009915,0.000151
-0.009909,0.000151
-0.009902,0.000151
-0.009896,0.000151
-0.009889,0.000151
-0.009883,0.000151
-0.009876,0.000151
-0.009870,0.000151
-0.009863,0.000151
-0.009857,0.000151
-0.009850,0.000151
-0.009844,0.000151
-0.009837,0.000151
-0.009831,0.000151
-0.009824,0.000151
-0.009818,0.000151
-0.009811,0.000151
-0.009805,0.000151
-0.009798,0.000151
-0.009792,0.000151
-0.009785,0.000151
-0.009779,0.000151
-0.009772,0.000151
-0.009766,0.000151
-0.009759,0.000151
-0.009753,0.000151
-0.009746,0.000151
-0.009740,0.000151
-0.009733,0.000151
-0.009727,0.000151
-0.009720,0.000151
-0.009714,0.000151
-0.009707,0.000151
-0.009701,0.000151
-0.009694,0.000151
-0.009688,0.000151
-0.009681,0.000151
-0.009674,0.000151
-0.009668,0.000151
-0.009661,0.000151
-0.009655,0.000151
-0.009648,0.000151
-0.009642,0.000151
-0.009635,0.000151
-0.009629,0.000151
-0.009622,0.000151
-0.009616,0.000151
-0.009609,0.000151
-0.009603,0.000151
-0.009596,0.000151
-0.009590,0.000151
-0.009583,0.000151
-0.009577,0.000151
-0.009570,0.000151
-0.009564,0.000151
-0.009557,0.000151
-0.009551,0.000151
-0.009544,0.000151
-0.009538,0.000151
-0.009531,0.000151
-0.009525,0.000151
-0.009518,0.000151
-0.009512,0.000151
-0.009505,0.000151
-0.009499,0.000151
-0.009492,0.000151
-0.009486,0.000151
-0.009479,0.000151
-0.009473,0.000151
-0.009466,0.000151
-0.009460,0.000151
-0.009453,0.000151
-0.009447,0.000151
-0.009440,0.000151
-0.009434,0.000151
-0.009427,0.000151
-0.009421,0.000151
-0.009414,0.000151
-0.009408,0.000151
-0.009401,0.000151
-0.009395,0.000151
-0.009388,0.000151
-0.009382,0.000151
-0.009375,0.000151
-0.009368,0.000151
-0.009362,0.000151
-0.009355,0.000151
-0.009349,0.000151
-0.009342,0.000151
-0.009336,0.000151
-0.009329,0.000151
-0.009323,0.000151
-0.009316,0.000151
-0.009310,0.000151
-0.009303,0.000151
-0.009297,0.000151
-0.009290,0.000151
-0.009284,0.000151
-0.009277,0.000151
-0.009271,0.000151
-0.009264,0.000151
-0.009258,0.000151
-0.009251,0.000151
-0.009245,0.000151
-0.009238,0.000151
-0.009232,0.000151
-0.009225,0.000151
-0.009219,0.000151
-0.009212,0.000151
-0.009206,0.000151
-0.009199,0.000151
-0.009193,0.000151
-0.009186,0.000151
-0.009180,0.000151
-0.009173,0.000151
-0.009167,0.000151
-0.009160,0.000151
-0.009154,0.000151
-0.009147,0.000151
-0.009141,0.000151
-0.009134,0.000151
-0.009128,0.000151
-0.009121,0.000151
-0.009115,0.000151
-0.009108,0.000151
-0.009102,0.000151
-0.009095,0.000151
-0.009089,0.000151
-0.009082,0.000151
-0.009076,0.000151
-0.009069,0.000151
-0.009063,0.000151
-0.009056,0.000151
-0.009049,0.000151
-0.009043,0.000151
-0.009036,0.000151
-0.009030,0.000151
-0.009023,0.000151
-0.009017,0.000151
-0.009010,0.000151
-0.009004,0.000151
-0.008997,0.000151
-0.008991,0.000151
-0.008984,0.000151
-0.008978,0.000151
-0.008971,0.000151
-0.008965,0.000151
-0.008958,0.000151
-0.008952,0.000151
-0.008945,0.000151
-0.008939,0.000151
-0.008932,0.000151
-0.008926,0.000151
-0.008919,0.000151
-0.008913,0.000151
-0.008906,0.000151
-0.008900,0.000151
-0.008893,0.000151
-0.008887,0.000151
-0.008880,0.000151
-0.008874,0.000151
-0.008867,0.000151
-0.008861,0.000151
-0.008854,0.000151
-0.008848,0.000151
-0.008841,0.000151
-0.008835,0.000151
-0.008828,0.000151
-0.008822,0.000151
-0.008815,0.000151
-0.008809,0.000151
-0.008802,0.000151
-0.008796,0.000151
-0.008789,0.000151
-0.008783,0.000151
-0.008776,0.000151
-0.008770,0.000151
-0.008763,0.000151
-0.008757,0.000151
-0.008750,0.000151
-0.008743,0.000151
-0.008737,0.000151
-0.008730,0.000151
-0.008724,0.000151
-0.008717,0.000151
-0.008711,0.000151
-0.008704,0.000151
-0.008698,0.000151
-0.008691,0.000151
-0.008685,0.000151
-0.008678,0.000151
-0.008672,0.000151
-0.008665,0.000151
-0.008659,0.000151
-0.008652,0.000151
-0.008646,0.000151
-0.008639,0.000151
-0.008633,0.000151
-0.008626,0.000151
-0.008620,0.000151
-0.008613,0.000151
-0.008607,0.000151
-0.008600,0.000151
-0.008594,0.000151
-0.008587,0.000151
-0.008581,0.000151
-0.008574,0.000151
-0.008568,0.000151
-0.008561,0.000151
-0.008555,0.000151
-0.008548,0.000151
-0.008542,0.000151
-0.008535,0.000151
-0.008529,0.000151
-0.008522,0.000151
-0.008516,0.000151
-0.008509,0.000151
-0.008503,0.000151
-0.008496,0.000151
-0.008490,0.000151
-0.008483,0.000151
-0.008477,0.000151
-0.008470,0.000151
-0.008464,0.000151
-0.008457,0.000151
-0.008451,0.000151
-0.008444,0.000151
-0.008438,0.000151
-0.008431,0.000151
-0.008424,0.000151
-0.008418,0.000151
-0.008411,0.000151
-0.008405,0.000151
-0.008398,0.000151
-0.008392,0.000151
-0.008385,0.000151
-0.008379,0.000151
-0.008372,0.000151
-0.008366,0.000151
-0.008359,0.000151
-0.008353,0.000151
-0.008346,0.000151
-0.008340,0.000151
-0.008333,0.000151
-0.008327,0.000151
-0.008320,0.000151
-0.008314,0.000151
-0.008307,0.000151
-0.008301,0.000151
-0.008294,0.000151
-0.008288,0.000151
-0.008281,0.000151
-0.008275,0.000151
-0.008268,0.000151
-0.008262,0.000151
-0.008255,0.000151
-0.008249,0.000151
-0.008242,0.000151
-0.008236,0.000151
-0.008229,0.000151
-0.008223,0.000151
-0.008216,0.000151
-0.008210,0.000151
-0.008203,0.000151
-0.008197,0.000151
-0.008190,0.000151
-0.008184,0.000151
-0.008177,0.000151
-0.008171,0.000151
-0.008164,0.000151
-0.008158,0.000151
-0.008151,0.000151
-0.008145,0.000151
-0.008138,0.000151
-0.008132,0.000151
-0.008125,0.000151
-0.008118,0.000151
-0.008112,0.000151
-0.008105,0.000151
-0.008099,0.000151
-0.008092,0.000151
-0.008086,0.000151
-0.008079,0.000151
-0.008073,0.000151
-0.008066,0.000151
-0.008060,0.000151
-0.008053,0.000151
-0.008047,0.000151
-0.008040,0.000151
-0.008034,0.000151
-0.008027,0.000151
-0.008021,0.000151
-0.008014,0.000151
-0.008008,0.000151
-0.008001,0.000151
-0.007995,0.000151
-0.007988,0.000151
-0.007982,0.000151
-0.007975,0.000151
-0.007969,0.000151
-0.007962,0.000151
-0.007956,0.000151
-0.007949,0.000151
-0.007943,0.000151
-0.007936,0.000151
-0.007930,0.000151
-0.007923,0.000151
-0.007917,0.000151
-0.007910,0.000151
-0.007904,0.000151
-0.007897,0.000151
-0.007891,0.000151
-0.007884,0.000151
-0.007878,0.000151
-0.007871,0.000151
-0.007865,0.000151
-0.007858,0.000151
-0.007852,0.000151
-0.007845,0.000151
-0.007839,0.000151
-0.007832,0.000151
-0.007826,0.000151
-0.007819,0.000151
-0.007813,0.000151
-0.007806,0.000151
-0.007799,0.000151
-0.007793,0.000151
-0.007786,0.000151
-0.007780,0.000151
-0.007773,0.000151
-0.007767,0.000151
-0.007760,0.000151
-0.007754,0.000151
-0.007747,0.000151
-0.007741,0.000151
-0.007734,0.000151
-0.007728,0.000151
-0.007721,0.000151
-0.007715,0.000151
-0.007708,0.000151
-0.007702,0.000151
-0.007695,0.000151
-0.007689,0.000151
-0.007682,0.000151
-0.007676,0.000151
-0.007669,0.000151
-0.007663,0.000151
-0.007656,0.000151
-0.007650,0.000151
-0.007643,0.000151
-0.007637,0.000151
-0.007630,0.000151
-0.007624,0.000151
-0.007617,0.000151
-0.007611,0.000151
-0.007604,0.000151
-0.007598,0.000151
-0.007591,0.000151
-0.007585,0.000151
-0.007578,0.000151
-0.007572,0.000151
-0.007565,0.000151
-0.007559,0.000151
-0.007552,0.000151
-0.007546,0.000151
-0.007539,0.000151
-0.007533,0.000151
-0.007526,0.000151
-0.007520,0.000151
-0.007513,0.000151
-0.007507,0.000151
-0.007500,0.000151
-0.007493,0.000151
-0.007487,0.000151
-0.007480,0.000151
-0.007474,0.000151
-0.007467,0.000151
-0.007461,0.000151
-0.007454,0.000151
-0.007448,0.000151
-0.007441,0.000151
-0.007435,0.000151
-0.007428,0.000151
-0.007422,0.000151
-0.007415,0.000151
-0.007409,0.000151
-0.007402,0.000151
-0.007396,0.000151
-0.007389,0.000151
-0.007383,0.000151
-0.007376,0.000151
-0.007370,0.000151
-0.007363,0.000151
-0.007357,0.000151
-0.007350,0.000151
-0.007344,0.000151
-0.007337,0.000151
-0.007331,0.000151
-0.007324,0.000151
-0.007318,0.000151
-0.007311,0.000151
-0.007305,0.000151
-0.007298,0.000151
-0.007292,0.000151
-0.007285,0.000151
-0.007279,0.000151
-0.007272,0.000151
-0.007266,0.000151
-0.007259,0.000151
-0.007253,0.000151
-0.007246,0.000151
-0.007240,0.000151
-0.007233,0.000151
-0.007227,0.000151
-0.007220,0.000151
-0.007214,0.000151
-0.007207,0.000151
-0.007201,0.000151
-0.007194,0.000151
-0.007188,0.000151
-0.007181,0.000151
-0.007174,0.000151
-0.007168,0.000151
-0.007161,0.000151
-0.007155,0.000151
-0.007148,0.000151
-0.007142,0.000151
-0.007135,0.000151
-0.007129,0.000151
-0.007122,0.000151
-0.007116,0.000151
-0.007109,0.000151
-0.007103,0.000151
-0.007096,0.000151
-0.007090,0.000151
-0.007083,0.000151
-0.007077,0.000151
-0.007070,0.000151
-0.007064,0.000151
-0.007057,0.000151
-0.007051,0.000151
-0.007044,0.000151
-0.007038,0.000151
-0.007031,0.000151
-0.007025,0.000151
-0.007018,0.000151
-0.007012,0.000151
-0.007005,0.000151
-0.006999,0.000151
-0.006992,0.000151
-0.006986,0.000151
-0.006979,0.000151
-0.006973,0.000151
-0.006966,0.000151
-0.006960,0.000151
-0.006953,0.000151
-0.006947,0.000151
-0.006940,0.000151
-0.006934,0.000151
-0.006927,0.000151
-0.006921,0.000151
-0.006914,0.000151
-0.006908,0.000151
-0.006901,0.000151
-0.006895,0.000151
-0.006888,0.000151
-0.006882,0.000151
-0.006875,0.000151
-0.006868,0.000151
-0.006862,0.000151
-0.006855,0.000151
-0.006849,0.000151
-0.006842,0.000151
-0.006836,0.000151
-0.006829,0.000151
-0.006823,0.000151
-0.006816,0.000151
-0.006810,0.000151
-0.006803,0.000151
-0.006797,0.000151
-0.006790,0.000151
-0.006784,0.000151
-0.006777,0.000151
-0.006771,0.000151
-0.006764,0.000151
-0.006758,0.000151
-0.006751,0.000151
-0.006745,0.000151
-0.006738,0.000151
-0.006732,0.000151
-0.006725,0.000151
-0.006719,0.000151
-0.006712,0.000151
-0.006706,0.000151
-0.006699,0.000151
-0.006693,0.000151
-0.006686,0.000151
-0.006680,0.000151
-0.006673,0.000151
-0.006667,0.000151
-0.006660,0.000151
-0.006654,0.000151
-0.006647,0.000151
-0.006641,0.000151
-0.006634,0.000151
-0.006628,0.000151
-0.006621,0.000151
-0.006615,0.000151
-0.006608,0.000151
-0.006602,0.000151
-0.006595,0.000151
-0.006589,0.000151
-0.006582,0.000151
-0.006576,0.000151
-0.006569,0.000151
-0.006563,0.000151
-0.006556,0.000151
-0.006549,0.000151
-0.006543,0.000151
-0.006536,0.000151
-0.006530,0.000151
-0.006523,0.000151
-0.006517,0.000151
-0.006510,0.000151
-0.006504,0.000151
-0.006497,0.000151
-0.006491,0.000151
-0.006484,0.000151
-0.006478,0.000151
-0.006471,0.000151
-0.006465,0.000151
-0.006458,0.000151
-0.006452,0.000151
-0.006445,0.000151
-0.006439,0.000151
-0.006432,0.000151
-0.006426,0.000151
-0.006419,0.000151
-0.006413,0.000151
-0.006406,0.000151
-0.006400,0.000151
-0.006393,0.000151
-0.006387,0.000151
-0.006380,0.000151
-0.006374,0.000151
-0.006367,0.000151
-0.006361,0.000151
-0.006354,0.000151
-0.006348,0.000151
-0.006341,0.000151
-0.006335,0.000151
-0.006328,0.000151
-0.006322,0.000151
-0.006315,0.000151
-0.006309,0.000151
-0.006302,0.000151
-0.006296,0.000151
-0.006289,0.000151
-0.006283,0.000151
-0.006276,0.000151
-0.006270,0.000151
-0.006263,0.000151
-0.006257,0.000151
-0.006250,0.000151
-0.006243,0.000151
-0.006237,0.000151
-0.006230,0.000151
-0.006224,0.000151
-0.006217,0.000151
-0.006211,0.000151
-0.006204,0.000151
-0.006198,0.000151
-0.006191,0.000151
-0.006185,0.000151
-0.006178,0.000151
-0.006172,0.000151
-0.006165,0.000151
-0.006159,0.000151
-0.006152,0.000151
-0.006146,0.000151
-0.006139,0.000151
-0.006133,0.000151
-0.006126,0.000151
-0.006120,0.000151
-0.006113,0.000151
-0.006107,0.000151
-0.006100,0.000151
-0.006094,0.000151
-0.006087,0.000151
-0.006081,0.000151
-0.006074,0.000151
-0.006068,0.000151
-0.006061,0.000151
-0.006055,0.000151
-0.006048,0.000151
-0.006042,0.000151
-0.006035,0.000151
-0.006029,0.000151
-0.006022,0.000151
-0.006016,0.000151
