# System Information
# hostname: phlab4-Master
# platform: Windows-11-10.0.26100-SP0
# experiment_date: 2025-09-14 13:45:16
# frequency: 1000
# amplitude: 10.0

DateTime,Temp (C),RMS CH1 (V),RMS CH2 (V),Phase Shift (deg),Heater Voltage (V),Heater Current (A)
14/09/2025 13:13:20,19.29,0.8550,1.0700,-14.2,35.00,0.413
14/09/2025 13:13:21,19.29,0.8550,1.0700,-14.6,35.00,0.413
14/09/2025 13:13:22,19.29,0.8550,1.0700,-14.9,35.00,0.413
14/09/2025 13:13:23,19.30,0.8540,1.0700,-14.3,35.00,0.413
14/09/2025 13:13:24,19.29,0.8550,1.0700,-15.3,35.00,0.413
14/09/2025 13:13:25,19.31,0.8550,1.0700,-14.9,35.00,0.413
14/09/2025 13:13:26,19.30,0.8550,1.0700,-14.7,35.00,0.413
14/09/2025 13:13:27,19.32,0.8550,1.0700,-15.2,35.00,0.413
14/09/2025 13:13:28,19.33,0.8550,1.0700,-14.7,35.00,0.413
14/09/2025 13:13:29,19.36,0.8550,1.0700,-14.9,35.00,0.413
14/09/2025 13:13:30,19.40,0.8540,1.0700,-14.4,35.00,0.413
14/09/2025 13:13:31,19.44,0.8540,1.0700,-14.2,35.00,0.413
14/09/2025 13:13:32,19.48,0.8540,1.0700,-14.6,35.00,0.413
14/09/2025 13:13:33,19.53,0.8550,1.0700,-14.9,35.00,0.413
14/09/2025 13:13:34,19.58,0.8550,1.0700,-14.6,35.00,0.413
14/09/2025 13:13:35,19.64,0.8550,1.0710,-14.6,35.00,0.413
14/09/2025 13:13:36,19.70,0.8550,1.0700,-14.5,35.00,0.413
14/09/2025 13:13:37,19.78,0.8550,1.0700,-15.0,35.00,0.413
14/09/2025 13:13:38,19.85,0.8550,1.0700,-15.2,35.00,0.413
14/09/2025 13:13:39,19.92,0.8550,1.0700,-15.0,35.00,0.413
14/09/2025 13:13:40,20.01,0.8550,1.0700,-13.9,35.00,0.413
14/09/2025 13:13:41,20.10,0.8540,1.0700,-14.8,35.00,0.413
14/09/2025 13:13:42,20.19,0.8550,1.0700,-14.8,35.00,0.413
14/09/2025 13:13:43,20.28,0.8540,1.0700,-14.6,35.00,0.413
14/09/2025 13:13:44,20.37,0.8550,1.0700,-14.9,35.00,0.413
14/09/2025 13:13:45,20.47,0.8540,1.0700,-14.3,35.00,0.413
14/09/2025 13:13:46,20.58,0.8550,1.0700,-14.3,35.00,0.413
