# System Information
# hostname: PHLAB4-75
# platform: Windows-11-10.0.26100-SP0
# experiment_date: 2025-09-18 16:47:35
# frequency: 1000
# amplitude: 10.0

DateTime,Temp (C),RMS CH1 (V),RMS CH2 (V),Phase Shift (deg),Heater Voltage (V),Heater Current (A)
18/09/2025 15:56:44,194.91,1.8000,2.5000,-13.2,50.00,0.587
18/09/2025 15:56:45,194.86,1.7900,2.5000,-13.3,50.00,0.587
18/09/2025 15:56:46,194.80,1.7900,2.5000,-13.2,50.00,0.587
18/09/2025 15:56:47,194.69,1.7900,2.5000,-13.3,50.00,0.587
18/09/2025 15:56:48,194.60,1.7900,2.5000,-13.2,50.00,0.587
18/09/2025 15:56:49,194.52,1.7900,2.5000,-12.7,50.00,0.587
18/09/2025 15:56:50,194.44,1.7900,2.5000,-13.2,50.00,0.587
18/09/2025 15:56:51,194.37,1.7900,2.5000,-13.4,50.00,0.587
18/09/2025 15:56:52,194.32,1.7900,2.5000,-13.2,50.00,0.587
18/09/2025 15:56:53,194.28,1.8000,2.5000,-13.3,50.00,0.587
18/09/2025 15:56:54,194.25,1.8000,2.5000,-14.0,50.00,0.587
18/09/2025 15:56:55,194.22,1.7900,2.5000,-13.2,50.00,0.587
18/09/2025 15:56:56,194.20,1.8000,2.5000,-13.2,50.00,0.587
18/09/2025 15:56:57,194.20,1.7900,2.5000,-12.7,50.00,0.587
18/09/2025 15:56:58,194.20,1.8000,2.5000,-13.2,50.00,0.587
18/09/2025 15:56:59,194.22,1.7900,2.5000,-12.6,50.00,0.587
18/09/2025 15:57:00,194.24,1.7900,2.5000,-13.2,50.00,0.587
18/09/2025 15:57:01,194.27,1.7900,2.5000,-13.4,50.00,0.587
18/09/2025 15:57:02,194.30,1.7900,2.5000,-13.4,50.00,0.587
18/09/2025 15:57:03,194.34,1.7900,2.5000,-13.4,50.00,0.587
18/09/2025 15:57:04,194.38,1.7900,2.5000,-13.2,50.00,0.587
18/09/2025 15:57:05,194.44,1.8000,2.5000,-13.3,50.00,0.587
18/09/2025 15:57:06,194.51,1.7900,2.5000,-13.2,50.00,0.587
18/09/2025 15:57:07,194.57,1.7900,2.5000,-13.2,50.00,0.587
18/09/2025 15:57:08,194.65,1.7900,2.5000,-12.7,50.00,0.587
18/09/2025 15:57:09,194.72,1.7900,2.5000,-13.2,50.00,0.587
18/09/2025 15:57:10,194.80,1.8000,2.5000,-13.0,50.00,0.586
18/09/2025 15:57:11,194.89,1.7900,2.5000,-13.3,50.00,0.586
18/09/2025 15:57:12,194.99,1.7900,2.5000,-13.8,50.00,0.586
18/09/2025 15:57:13,195.09,1.8000,2.5000,-13.2,50.00,0.586
18/09/2025 15:57:14,195.18,1.7900,2.5000,-13.3,50.00,0.586
18/09/2025 15:57:15,195.30,1.8000,2.5000,-13.2,50.00,0.586
18/09/2025 15:57:16,195.41,1.8000,2.5000,-13.4,50.00,0.586
18/09/2025 15:57:17,195.54,1.7900,2.5000,-13.1,50.00,0.586
18/09/2025 15:57:18,195.65,1.8000,2.5000,-13.2,50.00,0.586
18/09/2025 15:57:19,195.77,1.8000,2.5000,-13.2,50.00,0.586
