# System Information
# hostname: PHLAB4-75
# platform: Windows-11-10.0.26100-SP0
# experiment_date: 2025-09-18 12:32:49
# frequency: 1000
# amplitude: 10.0

DateTime,Temp (C),RMS CH1 (V),RMS CH2 (V),Phase Shift (deg),Heater Voltage (V),Heater Current (A)
18/09/2025 12:04:18,41.46,1.8000,2.5100,168.0,50.00,0.593
18/09/2025 12:04:19,41.48,1.8000,2.5100,167.5,50.00,0.593
18/09/2025 12:04:20,41.50,1.8000,2.5100,168.1,50.00,0.593
18/09/2025 12:04:21,41.54,1.7900,2.5100,168.2,50.00,0.593
18/09/2025 12:04:22,41.60,1.8000,2.5100,168.1,50.00,0.593
18/09/2025 12:04:23,41.67,1.8000,2.5100,168.5,50.00,0.593
18/09/2025 12:04:24,41.75,1.8000,2.5100,167.6,50.00,0.593
18/09/2025 12:04:25,41.85,1.8000,2.5100,167.9,50.00,0.593
18/09/2025 12:04:26,41.95,1.7900,2.5100,168.1,50.00,0.593
18/09/2025 12:04:27,42.07,1.7900,2.5100,168.1,50.00,0.593
18/09/2025 12:04:28,42.20,1.8000,2.5100,167.4,50.00,0.593
18/09/2025 12:04:29,42.33,1.7900,2.5100,170.0,50.00,0.593
18/09/2025 12:04:30,42.48,1.8000,2.5100,168.4,50.00,0.593
18/09/2025 12:04:31,42.65,1.8000,2.5100,168.2,50.00,0.593
18/09/2025 12:04:32,42.82,1.7900,2.5100,168.1,50.00,0.593
18/09/2025 12:04:33,42.99,1.7900,2.5100,168.2,50.00,0.593
18/09/2025 12:04:34,43.17,1.8000,2.5100,168.1,50.00,0.593
18/09/2025 12:04:35,43.37,1.7900,2.5100,168.2,50.00,0.593
18/09/2025 12:04:36,43.57,1.8000,2.5100,168.0,50.00,0.593
18/09/2025 12:04:37,43.79,1.7900,2.5100,168.1,50.00,0.593
18/09/2025 12:04:38,44.00,1.7900,2.5100,168.0,50.00,0.593
18/09/2025 12:04:39,44.21,1.7900,2.5100,168.2,50.00,0.593
18/09/2025 12:04:40,44.45,1.7900,2.5100,167.9,50.00,0.593
18/09/2025 12:04:41,44.70,1.7900,2.5100,168.8,50.00,0.593
18/09/2025 12:04:42,44.96,1.7900,2.5100,167.6,50.00,0.593
18/09/2025 12:04:43,45.19,1.8000,2.5100,168.1,50.00,0.593
18/09/2025 12:04:44,45.46,1.8000,2.5100,168.2,50.00,0.593
18/09/2025 12:04:45,45.73,1.8000,2.5100,168.1,50.00,0.593
18/09/2025 12:04:46,46.01,1.8000,2.5100,168.2,50.00,0.593
18/09/2025 12:04:47,46.27,1.8000,2.5100,168.2,50.00,0.593
18/09/2025 12:04:48,46.54,1.7900,2.5100,168.9,50.00,0.593
18/09/2025 12:04:49,46.84,1.7900,2.5100,168.2,50.00,0.593
18/09/2025 12:04:50,47.13,1.8000,2.5100,167.9,50.00,0.593
18/09/2025 12:04:51,47.44,1.7900,2.5100,168.2,50.00,0.593
18/09/2025 12:04:52,47.72,1.7900,2.5100,165.6,50.00,0.593
18/09/2025 12:04:53,48.01,1.8000,2.5100,169.1,50.00,0.593
18/09/2025 12:04:54,48.33,1.7900,2.5100,167.6,50.00,0.593
18/09/2025 12:04:55,48.66,1.8000,2.5100,168.3,50.00,0.593
18/09/2025 12:04:56,48.98,1.7900,2.5100,169.0,50.00,0.593
18/09/2025 12:04:57,49.29,1.8000,2.5100,168.0,50.00,0.593
18/09/2025 12:04:58,49.60,1.7900,2.5100,168.0,50.00,0.593
18/09/2025 12:04:59,49.94,1.8000,2.5200,168.2,50.00,0.593
18/09/2025 12:05:00,50.28,1.8000,2.5200,-191.9,50.00,0.593
18/09/2025 12:05:01,50.63,1.7900,2.5200,168.3,50.00,0.593
18/09/2025 12:05:02,50.95,1.8000,2.5200,167.9,50.00,0.593
18/09/2025 12:05:03,51.30,1.7900,2.5100,168.3,50.00,0.593
18/09/2025 12:05:04,51.66,1.8000,2.5100,168.0,50.00,0.593
18/09/2025 12:05:05,52.01,1.8000,2.5100,167.9,50.00,0.593
18/09/2025 12:05:06,52.35,1.7900,2.5100,167.5,50.00,0.593
18/09/2025 12:05:07,52.69,1.7900,2.5200,168.3,50.00,0.593
18/09/2025 12:05:08,53.03,1.8000,2.5200,169.1,50.00,0.593
18/09/2025 12:05:09,53.40,1.7900,2.5200,168.2,50.00,0.593
18/09/2025 12:05:10,53.78,1.7900,2.5200,168.2,50.00,0.593
18/09/2025 12:05:11,54.15,1.8000,2.5200,168.1,50.00,0.593
18/09/2025 12:05:12,54.50,1.8000,2.5200,167.9,50.00,0.593
18/09/2025 12:05:13,54.85,1.7900,2.5200,167.9,50.00,0.593
18/09/2025 12:05:14,55.23,1.7900,2.5200,167.8,50.00,0.593
18/09/2025 12:05:15,55.62,1.7900,2.5200,167.1,50.00,0.593
18/09/2025 12:05:16,56.01,1.8000,2.5200,169.2,50.00,0.593
18/09/2025 12:05:17,56.36,1.7900,2.5200,167.3,50.00,0.593
18/09/2025 12:05:18,56.72,1.8000,2.5200,168.2,50.00,0.593
18/09/2025 12:05:19,57.12,1.8000,2.5200,168.8,50.00,0.593
18/09/2025 12:05:20,57.52,1.7900,2.5200,168.1,50.00,0.593
18/09/2025 12:05:21,57.92,1.7900,2.5200,167.9,50.00,0.593
18/09/2025 12:05:22,58.28,1.8000,2.5200,167.9,50.00,0.593
18/09/2025 12:05:23,58.65,1.7900,2.5200,169.2,50.00,0.593
18/09/2025 12:05:24,59.06,1.7900,2.5200,169.4,50.00,0.593
18/09/2025 12:05:25,59.46,1.8000,2.5200,168.0,50.00,0.593
18/09/2025 12:05:26,59.87,1.8000,2.5200,168.3,50.00,0.593
18/09/2025 12:05:27,60.24,1.8000,2.5200,167.9,50.00,0.593
18/09/2025 12:05:28,60.62,1.7900,2.5200,169.4,50.00,0.593
18/09/2025 12:05:29,61.03,1.8000,2.5200,168.0,50.00,0.593
18/09/2025 12:05:30,61.44,1.7900,2.5200,168.1,50.00,0.593
18/09/2025 12:05:31,61.85,1.8000,2.5200,168.0,50.00,0.593
18/09/2025 12:05:32,62.24,1.7900,2.5200,168.0,50.00,0.593
18/09/2025 12:05:33,62.62,1.7900,2.5200,167.9,50.00,0.593
18/09/2025 12:05:34,63.04,1.8000,2.5200,168.2,50.00,0.593
18/09/2025 12:05:35,63.45,1.7900,2.5200,168.0,50.00,0.593
18/09/2025 12:05:36,63.87,1.7900,2.5200,168.0,50.00,0.593
18/09/2025 12:05:37,64.26,1.8000,2.5200,167.4,50.00,0.593
18/09/2025 12:05:38,64.68,1.7900,2.5200,168.1,50.00,0.593
18/09/2025 12:05:39,65.10,1.8000,2.5200,168.1,50.00,0.592
18/09/2025 12:05:40,65.52,1.8000,2.5200,-191.9,50.00,0.592
18/09/2025 12:05:41,65.91,1.8000,2.5200,168.2,50.00,0.592
18/09/2025 12:05:42,66.30,1.7900,2.5200,168.1,50.00,0.592
18/09/2025 12:05:43,66.73,1.8000,2.5200,168.0,50.00,0.592
18/09/2025 12:05:44,67.15,1.7900,2.5200,168.0,50.00,0.592
18/09/2025 12:05:45,67.58,1.8000,2.5200,168.1,50.00,0.592
18/09/2025 12:05:46,67.98,1.8000,2.5200,168.3,50.00,0.592
18/09/2025 12:05:47,68.38,1.8000,2.5200,168.2,50.00,0.592
18/09/2025 12:05:48,68.80,1.8000,2.5200,167.9,50.00,0.592
18/09/2025 12:05:49,69.23,1.7900,2.5200,168.9,50.00,0.592
18/09/2025 12:05:50,69.66,1.8000,2.5200,168.1,50.00,0.592
18/09/2025 12:05:51,70.06,1.7900,2.5200,168.1,50.00,0.592
