Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
100,0.464,0.538,0.658
150,0.676,0.782,0.949
200,0.855,0.986,1.187
250,1.0,1.153,1.38
300,1.117,1.29,1.53
350,1.211,1.39,1.65
400,1.29,1.48,1.74
450,1.35,1.55,1.81
500,1.39,1.6,1.87
550,1.43,1.65,1.91
600,1.47,1.68,1.95
650,1.49,1.71,1.98
700,1.52,1.74,2.0
750,1.54,1.76,2.02
800,1.55,1.78,2.04
850,1.56,1.79,2.05
900,1.58,1.81,2.06
950,1.59,1.82,2.07
1000,1.59,1.83,2.07
1050,1.6,1.83,2.08
1100,1.61,1.84,2.08
1150,1.62,1.85,2.08
1200,1.62,1.85,2.09
1250,1.63,1.86,2.09
1300,1.63,1.86,2.09
1350,1.63,1.87,2.09
1400,1.64,1.87,2.09
1450,1.64,1.88,2.09
1500,1.64,1.88,2.09
1550,1.65,1.88,2.09
1600,1.65,1.88,2.09
1650,1.65,1.89,2.09
1700,1.65,1.89,2.09
1750,1.65,1.89,2.09
1800,1.66,1.89,2.09
1850,1.66,1.9,2.08
1900,1.66,1.9,2.08
1950,1.66,1.9,2.08
2000,1.66,1.9,2.08
2050,1.66,1.9,2.08
2100,1.66,1.9,2.08
2150,1.66,1.9,2.07
2200,1.67,1.9,2.07
2250,1.67,1.9,2.07
2300,1.67,1.91,2.07
2350,1.67,1.91,2.07
2400,1.67,1.91,2.07
2450,1.67,1.91,2.06
2500,1.67,1.91,2.06
2550,1.67,1.91,2.06
2600,1.67,1.91,2.06
2650,1.67,1.91,2.06
2700,1.67,1.91,2.06
2750,1.67,1.91,2.05
2800,1.67,1.91,2.05
2850,1.67,1.91,2.05
2900,1.68,1.91,2.05
2950,1.68,1.91,2.05
3000,1.68,1.91,2.04
3050,1.68,1.92,2.04
3100,1.68,1.92,2.04
3150,1.68,1.92,2.04
3200,1.68,1.92,2.04
3250,1.68,1.92,2.04
3300,1.68,1.92,2.03
3350,1.68,1.92,2.03
3400,1.68,1.92,2.03
3450,1.68,1.92,2.03
3500,1.68,1.92,2.03
3550,1.68,1.92,2.03
3600,1.68,1.92,2.02
3650,1.68,1.92,2.02
3700,1.68,1.92,2.02
3750,1.68,1.92,2.02
3800,1.68,1.92,2.02
3850,1.68,1.92,2.02
3900,1.68,1.92,2.01
3950,1.68,1.92,2.01
4000,1.69,1.92,2.01
4050,1.69,1.92,2.01
4100,1.69,1.92,2.01
4150,1.69,1.92,2.01
4200,1.69,1.92,2.0
4250,1.69,1.92,2.0
4300,1.69,1.92,2.0
4350,1.69,1.93,2.0
4400,1.69,1.93,2.0
4450,1.69,1.93,2.0
4500,1.69,1.93,2.0
4550,1.69,1.93,1.99
4600,1.69,1.93,1.99
4650,1.69,1.93,1.99
4700,1.69,1.93,1.99
4750,1.69,1.93,1.99
4800,1.69,1.93,1.99
4850,1.69,1.93,1.99
4900,1.69,1.93,1.99
4950,1.69,1.93,1.98
5000,1.69,1.93,1.98
5050,1.69,1.93,1.98
5100,1.69,1.93,1.98
5150,1.69,1.93,1.98
5200,1.69,1.93,1.98
5250,1.69,1.93,1.98
5300,1.69,1.93,1.97
5350,1.7,1.93,1.97
5400,1.7,1.93,1.97
5450,1.7,1.93,1.97
5500,1.7,1.93,1.97
5550,1.7,1.93,1.97
5600,1.7,1.93,1.97
5650,1.7,1.93,1.97
5700,1.7,1.93,1.96
5750,1.7,1.93,1.96
5800,1.7,1.93,1.96
5850,1.7,1.93,1.96
5900,1.7,1.93,1.96
5950,1.7,1.93,1.96
6000,1.7,1.93,1.96
6050,1.7,1.93,1.96
6100,1.7,1.93,1.96
6150,1.7,1.93,1.95
6200,1.7,1.93,1.95
6250,1.7,1.93,1.95
