Time (s),RMS CH2 (V),Heater Voltage (V),Heater Current (A),Temp Raw (C),Delta T Raw (C/s),DVM CH2 (V)
0.001553297,1.066,35,0.412,48.62885463,0,1.02
0.498939276,1.066,35,0.412,48.69652437,0.068025386,1.07
0.998151541,1.066,35,0.412,48.75742438,0.063256242,1.06
1.500462294,1.066,35,0.412,48.82170487,0.12797539,1.07
2.000512838,1.066,35,0.412,48.8825995,0.124037544,1.07
2.500916243,1.066,35,0.412,48.9705538,0.141971741,1.07
3.001430273,1.066,35,0.412,49.03820727,0.1441867,1.07
3.498105526,1.066,35,0.412,49.1024751,0.147564966,1.06
4.000300169,1.066,35,0.412,49.16674005,0.130219258,1.06
4.500309706,1.066,35,0.412,49.22423782,0.124018002,1.06
4.999002457,1.066,35,0.412,49.28849732,0.124339902,1.06
5.500772953,1.066,35,0.412,49.3493721,0.121325094,1.07
6.000645638,1.066,35,0.412,49.41024432,0.124035915,1.07
6.501711845,1.066,35,0.412,49.47449555,0.123734962,1.07
6.999154091,1.066,35,0.412,49.54212535,0.129162895,1.07
7.499946356,1.066,35,0.412,49.60298947,0.128293485,1.07
8.000644207,1.065,35,0.412,49.66385106,0.126061065,1.07
8.499877214,1.065,35,0.412,49.7652814,0.148999268,1.06
8.998008013,1.065,35,0.412,49.83289773,0.153847314,1.06
9.501349211,1.065,35,0.412,49.89374976,0.152248417,1.06
9.999675751,1.065,35,0.412,49.95797973,0.128896961,1.07
10.5007937,1.065,35,0.412,50.02220691,0.125924565,1.09
11.00147414,1.066,35,0.412,50.08981145,0.130530151,1.09
11.5006237,1.065,35,0.412,50.1574129,0.13318197,1.07
12.00137424,1.066,35,0.412,50.22501128,0.135000266,1.06
12.50117636,1.066,35,0.412,50.29260659,0.135250289,1.06
13.00013828,1.066,35,0.412,50.35343975,0.130956449,1.07
13.50038862,1.066,35,0.412,50.43792614,0.141872212,1.07
14.00169921,1.066,35,0.412,50.50213262,0.139318846,1.07
14.49998331,1.066,35,0.412,50.56971543,0.144680303,1.07
15.00099254,1.066,35,0.412,50.6744628,0.157373451,1.06
15.50054932,1.066,35,0.412,50.74879524,0.164587639,1.06
16.00129366,1.066,35,0.412,50.75124052,0.12083684,1.07
16.51237226,1.066,35,0.412,50.89069252,0.141028357,1.07
17.00079751,1.065,35,0.412,50.97177075,0.152173072,1.07
17.50085807,1.066,35,0.412,50.97759384,0.150883937,1.06
18.01116872,1.066,35,0.412,51.05191149,0.105307734,1.06
18.50070786,1.066,35,0.412,51.1845807,0.144904958,1.06
19.00073028,1.066,35,0.412,51.25888836,0.187521272,1.07
19.50066853,1.066,35,0.412,51.33994718,0.192047509,1.07
20.00011969,1.066,35,0.412,51.40749297,0.148771481,1.07
20.50186348,1.066,35,0.412,51.42682316,0.111567438,1.06
21.00120902,1.066,35,0.412,51.60335918,0.175838159,1.06
21.50044179,1.066,35,0.412,51.68102348,0.18263392,1.07
22.00169826,1.066,35,0.412,51.76543684,0.225176597,1.07
22.51043487,1.066,35,0.412,51.83971686,0.154865781,1.07
23.00059962,1.066,35,0.412,51.92074563,0.163021479,1.06
