Time (s),RMS CH2 (V),Heater Voltage (V),Heater Current (A),Temp Raw (C),Delta T Raw (C/s),DVM CH2 (V)
0.000487804,1.184,50,0.591,38.76600534,0,1.14
0.335918903,1.184,50,0.591,38.9672137,0.299925023,1.19
0.841132879,1.184,50,0.591,39.15133903,0.187860671,1.18
1.338809013,1.184,50,0.591,39.34566102,0.38824156,1.18
1.838784218,1.184,50,0.591,39.53654142,0.379570633,1.18
2.336367607,1.184,50,0.591,39.7307975,0.388181814,1.18
2.842150688,1.184,50,0.591,39.93183475,0.386314315,1.19
3.337731838,1.184,50,0.591,40.12261711,0.394200958,1.19
3.84055829,1.184,50,0.591,40.32358567,0.392970685,1.18
4.337406874,1.184,50,0.591,40.51430306,0.390775195,1.18
4.841854334,1.184,50,0.591,40.71520342,0.391574517,1.18
5.340772152,1.184,50,0.591,41.0113829,0.459526072,1.18
5.836778879,1.184,50,0.591,41.20879409,0.466721511,1.19
6.335640192,1.184,50,0.591,41.4027692,0.459423463,1.18
6.841482878,1.184,50,0.591,41.61032113,0.394680166,1.18
7.342774868,1.184,50,0.591,41.80082845,0.393672336,1.18
7.842485905,1.184,50,0.591,42.00831049,0.403927634,1.18
8.336628437,1.184,50,0.591,42.2055549,0.401526373,1.18
8.841575861,1.184,50,0.591,42.40616665,0.399604769,1.18
9.341880083,1.185,50,0.591,42.61014416,0.400978476,1.18
9.841506004,1.184,50,0.591,42.81748586,0.408259415,1.19
10.33753395,1.184,50,0.591,43.01459745,0.408868632,1.19
10.84196138,1.184,50,0.591,43.22526756,0.406482918,1.19
11.33844161,1.184,50,0.591,43.53101432,0.479057992,1.19
11.8423214,1.184,50,0.591,43.73819937,0.478686876,1.18
12.33650136,1.184,50,0.591,43.94195401,0.483417986,1.18
12.84210992,1.184,50,0.591,44.14228009,0.402990121,1.18
13.33935094,1.184,50,0.591,44.349363,0.409703145,1.18
13.83567381,1.184,50,0.591,44.56998743,0.421790906,1.18
14.33621836,1.184,50,0.591,44.76681965,0.415906746,1.19
14.84298921,1.184,50,0.591,44.97719263,0.412960891,1.19
15.34229231,1.184,50,0.591,45.12557415,0.370908114,1.18
15.84290147,1.184,50,0.591,45.39783435,0.42016457,1.19
16.33652878,1.184,50,0.591,45.60132114,0.421457309,1.19
16.8388598,1.184,50,0.591,45.81494778,0.457449774,1.18
17.34249067,1.184,50,0.591,46.12684745,0.482504907,1.18
17.84048271,1.184,50,0.591,46.33699879,0.492429326,1.18
18.33785105,1.184,50,0.591,46.55389406,0.495237448,1.18
18.84264922,1.184,50,0.591,46.7639775,0.42071603,1.19
19.34193134,1.184,50,0.591,46.91554361,0.386251107,1.18
19.84203959,1.185,50,0.591,47.12895747,0.383292632,1.18
