Time (sec) ,  Temperature (C) ,measured,,   ,   ,   ,   ,   ,   ,   ,   ,   ,  
0,23.4,2.1,,,,,,,,,,,
1,23.5,2.11,,,,,,,,,,,
2,23.5,2.11,,,,,,,,,,,
3,23.6,2.11,,,,,,,,,,,
4,23.6,2.11,,,,,,,,,,,
5,23.7,2.11,,,,,,,,,,,
6,23.7,2.11,,,,,,,,,,,
7,23.8,2.11,,,,,,,,,,,
8,23.9,2.11,,,,,,,,,,,
9,24,2.11,,,,,,,,,,,
10,24,2.11,,,,,,,,,,,
11,24.1,2.11,,,,,,,,,,,
12,24.2,2.12,,,,,,,,,,,
13,24.3,2.12,,,,,,,,,,,
14,24.4,2.12,,,,,,,,,,,
15,24.5,2.12,,,,,,,,,,,
16,24.6,2.12,,,,,,,,,,,
17,24.7,2.12,,,,,,,,,,,
18,24.9,2.12,,,,,,,,,,,
19,25,2.12,,,,,,,,,,,
20,25.1,2.12,,,,,,,,,,,
21,25.2,2.12,,,,,,,,,,,
22,25.4,2.12,,,,,,,,,,,
23,25.5,2.12,,,,,,,,,,,
24,25.7,2.12,,,,,,,,,,,
25,25.8,2.12,,,,,,,,,,,
26,25.9,2.12,,,,,,,,,,,
27,26.1,2.12,,,,,,,,,,,
28,26.2,2.12,,,,,,,,,,,
29,26.4,2.12,,,,,,,,,,,
30,26.6,2.12,,,,,,,,,,,
31,26.7,2.12,,,,,,,,,,,
32,26.9,2.12,,,,,,,,,,,
33,27,2.12,,,,,,,,,,,
34,27.2,2.12,,,,,,,,,,,
35,27.3,2.12,,,,,,,,,,,
36,27.5,2.12,,,,,,,,,,,
37,27.7,2.12,,,,,,,,,,,
38,27.9,2.13,,,,,,,,,,,
39,28,2.12,,,,,,,,,,,
40,28.2,2.12,,,,,,,,,,,
41,28.4,2.12,,,,,,,,,,,
42,28.6,2.12,,,,,,,,,,,
43,28.8,2.12,,,,,,,,,,,
44,29,2.12,,,,,,,,,,,
45,29.2,2.11,,,,,,,,,,,
46,29.3,2.11,,,,,,,,,,,
47,29.5,2.11,,,,,,,,,,,
48,29.7,2.11,,,,,,,,,,,
49,29.9,2.11,,,,,,,,,,,
50,30.1,2.11,,,,,,,,,,,
51,30.3,2.11,,,,,,,,,,,
52,30.5,2.11,,,,,,,,,,,
53,30.7,2.11,,,,,,,,,,,
54,30.9,2.11,,,,,,,,,,,
55,31.1,2.11,,,,,,,,,,,
56,31.3,2.11,,,,,,,,,,,
57,31.5,2.11,,,,,,,,,,,
58,31.7,2.11,,,,,,,,,,,
59,31.9,2.11,,,,,,,,,,,
60,32.2,2.11,,,,,,,,,,,
61,32.4,2.11,,,,,,,,,,,
62,32.6,2.11,,,,,,,,,,,
63,32.9,2.11,,,,,,,,,,,
64,33.1,2.11,,,,,,,,,,,
65,33.3,2.11,,,,,,,,,,,
66,33.6,2.11,,,,,,,,,,,
67,33.8,2.11,,,,,,,,,,,
68,34,2.11,,,,,,,,,,,
69,34.3,2.11,,,,,,,,,,,
70,34.5,2.11,,,,,,,,,,,
71,34.7,2.11,,,,,,,,,,,
72,35,2.11,,,,,,,,,,,
73,35.2,2.11,,,,,,,,,,,
74,35.5,2.11,,,,,,,,,,,
75,35.7,2.11,,,,,,,,,,,
76,35.9,2.11,,,,,,,,,,,
77,36.1,2.11,,,,,,,,,,,
78,36.4,2.11,,,,,,,,,,,
79,36.6,2.12,,,,,,,,,,,
80,36.9,2.12,,,,,,,,,,,
81,37.1,2.12,,,,,,,,,,,
82,37.3,2.12,,,,,,,,,,,
83,37.6,2.12,,,,,,,,,,,
84,37.9,2.12,,,,,,,,,,,
85,38.1,2.12,,,,,,,,,,,
86,38.3,2.13,,,,,,,,,,,
87,38.5,2.12,,,,,,,,,,,
88,38.8,2.12,,,,,,,,,,,
89,39,2.12,,,,,,,,,,,
90,39.3,2.11,,,,,,,,,,,
91,39.5,2.11,,,,,,,,,,,
92,39.8,2.11,,,,,,,,,,,
93,40,2.11,,,,,,,,,,,
94,40.2,2.11,,,,,,,,,,,
95,40.4,2.11,,,,,,,,,,,
96,40.7,2.11,,,,,,,,,,,
97,41,2.11,,,,,,,,,,,
98,41.2,2.11,,,,,,,,,,,
99,41.4,2.11,,,,,,,,,,,
100,41.7,2.11,,,,,,,,,,,
101,41.9,2.11,,,,,,,,,,,
102,42.2,2.11,,,,,,,,,,,
103,42.4,2.11,,,,,,,,,,,
104,42.7,2.11,,,,,,,,,,,
105,42.9,2.11,,,,,,,,,,,
106,43.1,2.11,,,,,,,,,,,
107,43.4,2.11,,,,,,,,,,,
108,43.7,2.11,,,,,,,,,,,
109,43.9,2.11,,,,,,,,,,,
110,44.1,2.11,,,,,,,,,,,
111,44.4,2.12,,,,,,,,,,,
112,44.6,2.12,,,,,,,,,,,
113,44.8,2.12,,,,,,,,,,,
