# B/mT, VmV
# part1
140 -60.74
138 -61.65
136 -63.46
134 -64.55
132 -66.56
130 -68.88
128 -70.20
126 -72.63
124 -75.73
122 -76.79
119 -80.06
114 -87.41
107 -97.91
102 -104.78
97 -11.97
91 -123.19
85 -130.50
73 -145.55
70 -148.68
65 -153.08
60 -156.83
55 -160.24
51 -162.19
46 -164.23
43 -165.43
41 -166.33
#
140 -53.20
138 -54.13
136 -55.02
134 -56.11
132 -51.66
130 -59.25
128 -60.60
126 -62.34
124 -69.78
121 -65.57
120 -66.64
119 -67.39
115 -71.38
109 -75.95
102 -82.44
97 -85.99
91 -90.89
85 -95.98
80 -98.56
75 -100.38
71 -103.29
65 -106.21
60 -108.08
55 -109.82
50 -112.13
45 -113.67
40 -114.98
