Description	
Number of Runs	60
Preset Time	10
Pause Time	0
Alarm Level	1000
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	2	10	12/14/23 11:01:28 AM	
2	900	1	10	12/14/23 11:01:38 AM	
3	900	3	10	12/14/23 11:01:48 AM	
4	900	1	10	12/14/23 11:01:58 AM	
5	900	1	10	12/14/23 11:02:08 AM	
6	900	1	10	12/14/23 11:02:19 AM	
7	900	4	10	12/14/23 11:02:29 AM	
8	900	2	10	12/14/23 11:02:39 AM	
9	900	2	10	12/14/23 11:02:49 AM	
10	900	2	10	12/14/23 11:02:59 AM	
11	900	2	10	12/14/23 11:03:10 AM	
12	900	2	10	12/14/23 11:03:20 AM	
13	900	2	10	12/14/23 11:03:30 AM	
14	900	2	10	12/14/23 11:03:40 AM	
15	900	3	10	12/14/23 11:03:51 AM	
16	900	0	10	12/14/23 11:04:01 AM	
17	900	0	10	12/14/23 11:04:11 AM	
18	900	5	10	12/14/23 11:04:21 AM	
19	900	2	10	12/14/23 11:04:31 AM	
20	900	3	10	12/14/23 11:04:42 AM	
21	900	0	10	12/14/23 11:04:52 AM	
22	900	5	10	12/14/23 11:05:02 AM	
23	900	0	10	12/14/23 11:05:12 AM	
24	900	3	10	12/14/23 11:05:22 AM	
25	900	1	10	12/14/23 11:05:33 AM	
26	900	3	10	12/14/23 11:05:43 AM	
27	900	2	10	12/14/23 11:05:53 AM	
28	900	3	10	12/14/23 11:06:03 AM	
29	900	2	10	12/14/23 11:06:13 AM	
30	900	2	10	12/14/23 11:06:24 AM	
31	900	2	10	12/14/23 11:06:34 AM	
32	900	2	10	12/14/23 11:06:44 AM	
33	900	3	10	12/14/23 11:06:54 AM	
34	900	3	10	12/14/23 11:07:05 AM	
35	900	1	10	12/14/23 11:07:15 AM	
36	900	2	10	12/14/23 11:07:25 AM	
37	900	1	10	12/14/23 11:07:35 AM	
38	900	1	10	12/14/23 11:07:46 AM	
39	900	3	10	12/14/23 11:07:56 AM	
40	900	0	10	12/14/23 11:08:06 AM	
41	900	2	10	12/14/23 11:08:16 AM	
42	900	2	10	12/14/23 11:08:26 AM	
43	900	0	10	12/14/23 11:08:37 AM	
44	900	1	10	12/14/23 11:08:47 AM	
45	900	2	10	12/14/23 11:08:57 AM	
46	900	1	10	12/14/23 11:09:07 AM	
47	900	3	10	12/14/23 11:09:18 AM	
48	900	2	10	12/14/23 11:09:28 AM	
49	900	5	10	12/14/23 11:09:38 AM	
50	900	2	10	12/14/23 11:09:48 AM	
51	900	3	10	12/14/23 11:09:59 AM	
52	900	4	10	12/14/23 11:10:09 AM	
53	900	4	10	12/14/23 11:10:19 AM	
54	900	3	10	12/14/23 11:10:29 AM	
55	900	3	10	12/14/23 11:10:39 AM	
56	900	3	10	12/14/23 11:10:50 AM	
57	900	3	10	12/14/23 11:11:00 AM	
58	900	1	10	12/14/23 11:11:10 AM	
59	900	3	10	12/14/23 11:11:20 AM	
60	900	2	10	12/14/23 11:11:31 AM	
