Description	
Number of Runs	4000
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	2	5	12/17/23 08:07:09 AM	
2	900	0	5	12/17/23 08:07:14 AM	
3	900	0	5	12/17/23 08:07:19 AM	
4	900	0	5	12/17/23 08:07:24 AM	
5	900	2	5	12/17/23 08:07:29 AM	
6	900	0	5	12/17/23 08:07:35 AM	
7	900	1	5	12/17/23 08:07:40 AM	
8	900	1	5	12/17/23 08:07:45 AM	
9	900	0	5	12/17/23 08:07:50 AM	
10	900	4	5	12/17/23 08:07:55 AM	
11	900	2	5	12/17/23 08:08:00 AM	
12	900	1	5	12/17/23 08:08:06 AM	
13	900	2	5	12/17/23 08:08:11 AM	
14	900	8	5	12/17/23 08:08:16 AM	
15	900	3	5	12/17/23 08:08:21 AM	
16	900	2	5	12/17/23 08:08:26 AM	
17	900	0	5	12/17/23 08:08:31 AM	
18	900	0	5	12/17/23 08:08:37 AM	
19	900	0	5	12/17/23 08:08:42 AM	
20	900	1	5	12/17/23 08:08:47 AM	
21	900	1	5	12/17/23 08:08:52 AM	
22	900	3	5	12/17/23 08:08:58 AM	
23	900	0	5	12/17/23 08:09:03 AM	
24	900	2	5	12/17/23 08:09:08 AM	
25	900	1	5	12/17/23 08:09:13 AM	
26	900	1	5	12/17/23 08:09:18 AM	
27	900	2	5	12/17/23 08:09:24 AM	
28	900	2	5	12/17/23 08:09:29 AM	
29	900	3	5	12/17/23 08:09:34 AM	
30	900	0	5	12/17/23 08:09:39 AM	
31	900	3	5	12/17/23 08:09:44 AM	
32	900	1	5	12/17/23 08:09:49 AM	
33	900	0	5	12/17/23 08:09:55 AM	
34	900	2	5	12/17/23 08:10:00 AM	
35	900	0	5	12/17/23 08:10:05 AM	
36	900	1	5	12/17/23 08:10:10 AM	
37	900	2	5	12/17/23 08:10:15 AM	
38	900	1	5	12/17/23 08:10:21 AM	
39	900	1	5	12/17/23 08:10:26 AM	
40	900	4	5	12/17/23 08:10:31 AM	
41	900	1	5	12/17/23 08:10:36 AM	
42	900	1	5	12/17/23 08:10:41 AM	
43	900	0	5	12/17/23 08:10:46 AM	
44	900	2	5	12/17/23 08:10:51 AM	
45	900	1	5	12/17/23 08:10:57 AM	
46	900	4	5	12/17/23 08:11:02 AM	
47	900	0	5	12/17/23 08:11:07 AM	
48	900	1	5	12/17/23 08:11:12 AM	
49	900	1	5	12/17/23 08:11:17 AM	
50	900	2	5	12/17/23 08:11:22 AM	
51	900	2	5	12/17/23 08:11:28 AM	
52	900	2	5	12/17/23 08:11:33 AM	
53	900	0	5	12/17/23 08:11:38 AM	
54	900	2	5	12/17/23 08:11:43 AM	
55	900	1	5	12/17/23 08:11:48 AM	
56	900	1	5	12/17/23 08:11:54 AM	
57	900	0	5	12/17/23 08:11:59 AM	
58	900	3	5	12/17/23 08:12:04 AM	
59	900	0	5	12/17/23 08:12:09 AM	
60	900	0	5	12/17/23 08:12:14 AM	
61	900	3	5	12/17/23 08:12:19 AM	
62	900	2	5	12/17/23 08:12:25 AM	
63	900	3	5	12/17/23 08:12:30 AM	
64	900	2	5	12/17/23 08:12:35 AM	
65	900	3	5	12/17/23 08:12:40 AM	
66	900	0	5	12/17/23 08:12:45 AM	
67	900	5	5	12/17/23 08:12:51 AM	
68	900	0	5	12/17/23 08:12:56 AM	
69	900	1	5	12/17/23 08:13:01 AM	
70	900	0	5	12/17/23 08:13:06 AM	
71	900	1	5	12/17/23 08:13:11 AM	
72	900	2	5	12/17/23 08:13:17 AM	
73	900	2	5	12/17/23 08:13:22 AM	
74	900	0	5	12/17/23 08:13:27 AM	
75	900	0	5	12/17/23 08:13:32 AM	
76	900	1	5	12/17/23 08:13:37 AM	
77	900	1	5	12/17/23 08:13:42 AM	
78	900	1	5	12/17/23 08:13:48 AM	
79	900	3	5	12/17/23 08:13:53 AM	
80	900	0	5	12/17/23 08:13:58 AM	
81	900	1	5	12/17/23 08:14:03 AM	
82	900	0	5	12/17/23 08:14:08 AM	
83	900	2	5	12/17/23 08:14:14 AM	
84	900	1	5	12/17/23 08:14:19 AM	
85	900	3	5	12/17/23 08:14:24 AM	
86	900	1	5	12/17/23 08:14:29 AM	
87	900	1	5	12/17/23 08:14:34 AM	
88	900	0	5	12/17/23 08:14:39 AM	
89	900	1	5	12/17/23 08:14:45 AM	
90	900	2	5	12/17/23 08:14:50 AM	
91	900	3	5	12/17/23 08:14:55 AM	
92	900	1	5	12/17/23 08:15:00 AM	
93	900	2	5	12/17/23 08:15:05 AM	
94	900	3	5	12/17/23 08:15:11 AM	
95	900	0	5	12/17/23 08:15:16 AM	
96	900	4	5	12/17/23 08:15:21 AM	
97	900	3	5	12/17/23 08:15:26 AM	
98	900	1	5	12/17/23 08:15:31 AM	
99	900	2	5	12/17/23 08:15:36 AM	
100	900	2	5	12/17/23 08:15:42 AM	
