
Integration time [ms]: 100.000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 173.88;  -10.272;   -5.894;  -53.992;-4.37712
 174.48;   -3.544;   -3.546;   42.005; 0.00214
 175.09;    6.597;   -3.599;  -28.998;10.19522
 175.69;    6.710;    5.554;  -26.995; 1.15639
 176.30;    4.520;    1.806;   46.008; 2.71437
 176.90;  -12.329;   -7.298;  -38.997;-5.03138
 177.51;   -7.448;  -16.099;  -62.998; 8.65053
 178.11;    0.587;    2.304;   -2.994;-1.71754
 178.72;    0.659;   -8.048;  -27.997; 8.70692
 179.32;  -10.989;    0.155;    7.007;-11.14414
 179.93;    3.219;  -11.195;  -41.994;14.41490
 180.54;  -19.901;   14.551;   14.002;-34.45266
 181.14;   -8.525;   -5.944;  -41.992;-2.58031
 181.75;  -10.914;    0.102;   -7.998;-11.01595
 182.35;   -5.247;  -18.299;  -18.998;13.05213
 182.96;   -3.399;   14.902;  -32.997;-18.30106
 183.56;   -1.040;   -8.944;   -4.992; 7.90374
 184.17;   18.368;    8.803;  -28.995; 9.56490
 184.77;   -5.649;   -9.999;  -21.998; 4.34947
 185.38;   -9.247;   -4.646;   16.005;-4.60106
 185.98;    6.595;    4.454;  -18.995; 2.14150
 186.59;    0.911;    4.552;  -20.997;-3.64148
 187.19;   -8.973;   -4.347;  -32.996;-4.62659
 187.80;    0.690;    5.505;  -32.993;-4.81541
 188.40;   -3.117;   -7.642;  -43.989; 4.52448
 189.01;   -7.854;    8.354;   -7.995;-16.20797
 189.61;   -6.900;   -6.047;  -28.996;-0.85212
 190.21;   -6.112;  -10.495;   13.007; 4.38299
 190.82;  -11.688;    1.855;   19.007;-13.54254
 191.42;  -14.640;   -0.894;   44.008;-13.74573
 192.03;   -6.003;  -12.144;  -25.991; 6.14097
 192.63;  -21.684;    4.757;   -2.990;-26.44147
 193.24;   -7.371;    5.502;   32.002;-12.87234
 193.84;   -4.641;   -8.391;  -38.988; 3.75002
 194.45;   -5.838;   -8.293;  -45.990; 2.45480
 195.05;   -1.839;   -4.995;   13.007; 3.15639
 195.66;    0.634;   -5.143;  -35.991; 5.77767
 196.26;  -13.652;   -9.441;  -25.988;-4.21115
 196.87;   -3.010;   -4.342;  -51.989; 1.33193
 197.47;   -8.852;   -3.894;   13.009;-4.95850
 198.07;   -8.492;   -8.691;  -25.988; 0.19895
 198.68;   -8.863;   -6.591;  116.013;-2.27179
 199.28;  -11.112;   -2.545;   -2.992;-8.56754
 199.89;  -10.051;    0.261;  -25.984;-10.31221
 200.49;    2.755;   -7.091;   16.012; 9.84629
 201.10;    4.681;   -1.443;  -18.990; 6.12395
 201.70;    7.179;    2.109;  -35.987; 5.06970
 202.31;  -15.512;   -4.196;   36.006;-11.31648
 202.91;    7.384;    7.554;   55.006;-0.17020
 203.51;  -17.675;    3.957;   -5.990;-21.63190
 204.12;    4.612;   -4.299;   28.001; 8.91064
 204.72;   13.401;    4.452;    0.003; 8.94894
 205.33;   -7.163;   -0.746;  -19.994;-6.41701
 205.93;  -12.601;  -11.895;   -6.993;-0.70637
 206.53;   -0.775;   -7.594;  -32.992; 6.81969
 207.14;  -10.766;  -11.245;  -39.992; 0.47820
 207.74;  -19.005;    3.255;  -15.993;-22.26063
 208.35;  -11.604;  -10.894;  -33.991;-0.71063
 208.95;   -5.363;  -14.645;   -1.992; 9.28139
 209.55;   25.033;   15.955;  -12.992; 9.07767
 210.16;   -5.254;   -6.044;  -17.991; 0.78991
 210.76;   -0.140;    4.256;  -33.992;-4.39573
 211.37;  -11.529;  -11.244;   -8.992;-0.28510
 211.97;  -10.849;    3.354;  -76.995;-14.20265
 212.57;    5.115;   -6.142;  -72.988;11.25640
 213.18;    9.481;  -10.043;  -20.990;19.52395
 213.78;  -12.652;  -11.092;  -56.989;-1.56009
 214.38;   -1.261;    0.605;   -0.993;-1.86595
 214.99;    5.031;    1.157;  -90.990; 3.87395
