Ar
Integration time [ms]:  10.000
Averaging Nr. [scans]: 60
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

173.876;   -6.838;   -0.614;    0.000
174.482;   -2.335;    0.785;    0.000
175.087;   -0.119;    0.751;    0.000
175.693;    5.729;    1.668;    0.000
176.298;    2.817;   -3.981;    0.000
176.903;   -5.976;    5.667;    0.000
177.509;   -5.551;   -0.033;    0.000
178.114;    2.415;   -1.165;    0.000
178.719;    0.501;  -11.049;    0.000
179.325;   -8.492;   -5.865;    0.000
179.930;   -5.712;   -2.065;    0.000
180.535;   -0.362;   -6.266;    0.000
181.140;   -2.265;    1.002;    0.000
181.745;   -0.374;    5.817;    0.000
182.351;    1.671;   -0.633;    0.000
182.956;   -8.160;    6.618;    0.000
183.561;   -0.169;   -1.281;    0.000
184.166;    0.525;   -1.615;    0.000
184.771;   -8.405;   -0.583;    0.000
185.376;   -3.696;   -0.032;    0.000
185.981;   -3.121;    0.918;    0.000
186.586;   -1.277;    2.368;    0.000
187.191;   -7.046;    2.235;    0.000
187.796;   -1.748;   -2.765;    0.000
188.400;   -1.571;   -2.713;    0.000
189.005;    3.664;   -4.082;    0.000
189.610;  -10.997;   -0.682;    0.000
190.215;  -10.220;    2.552;    0.000
190.820;   -3.087;    3.752;    0.000
191.424;  -10.084;   -0.948;    0.000
192.029;   -2.496;   -0.797;    0.000
192.634;  -14.289;    4.203;    0.000
193.238;    0.221;    2.517;    0.000
193.843;   -7.438;   -0.213;    0.000
194.448;   -1.419;   -0.980;    0.000
195.052;   -7.907;   -0.448;    0.000
195.657;  -10.108;    4.353;    0.000
196.261;    3.691;    1.187;    0.000
196.866;   -2.863;   -3.980;    0.000
197.470;    1.523;   -0.814;    0.000
198.075;   -5.208;   -0.813;    0.000
198.679;   -8.262;   -8.346;    0.000
199.284;  -11.672;   -3.815;    0.000
199.888;    3.281;   -7.679;    0.000
200.492;   -3.934;   -4.447;    0.000
201.097;   -7.287;    3.053;    0.000
201.701;  -11.757;   -2.496;    0.000
202.305;   -6.432;    2.252;    0.000
202.909;    2.622;   -0.098;    0.000
203.514;   -0.457;   -6.464;    0.000
