Ar
Integration time [ms]:   5.000
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

173.876;    1.750;   -2.780;   -2.798
174.482;    1.149;   -5.410;  -59.165
175.087;   -1.178;    6.450;  -23.712
175.693;    5.292;    0.490;   32.370
176.298;    0.635;    8.660;   69.717
176.903;    5.740;   -6.900;  -49.284
177.509;    2.100;    1.210;   11.406
178.114;    4.269;   -3.120;    6.531
178.719;   -0.753;   -8.520;  -62.420
179.325;    1.697;   -7.780;  -47.591
179.930;   -1.480;   -6.940;  -35.173
180.535;    7.253;   -1.100;  -24.761
181.140;   -3.357;    0.600;   27.185
181.745;    2.047;    7.490;   85.469
182.351;    0.964;   -3.660;  -38.660
182.956;    2.320;    2.420;   66.529
183.561;   -3.862;   -3.700;    7.015
184.166;    0.907;   21.560;  194.655
184.771;    6.445;   -6.410;  -22.411
185.376;   -0.938;   -7.710;  -43.265
185.981;   -0.238;    7.870;   65.116
186.586;    1.261;    1.790;  -37.836
187.191;    2.473;   -4.840;   -9.027
187.796;   -1.137;    6.600;   29.804
188.400;   -0.751;   -3.370;   15.448
189.005;    2.580;    3.960;    5.133
189.610;   -0.786;   -7.320;  -59.172
190.215;    2.209;  -10.760;  -55.463
190.820;    3.240;  -12.010;  -74.141
191.424;   -0.134;   -9.750;  -41.935
192.029;   -2.980;   -6.750;  -49.172
192.634;   -3.969;  -10.000;  -36.678
193.238;   -2.217;    0.370;   36.335
193.843;   -4.352;   -6.830;  -59.907
194.448;   -2.674;   -4.830;  -21.429
195.052;    1.855;   -5.060;  -19.141
195.657;   -2.156;   -8.490;   -4.174
196.261;   -0.297;   -5.450;   -8.043
196.866;   -2.141;  -10.220;  -55.167
197.470;    3.477;   -1.090;   14.862
198.075;   -7.497;  -14.920;  -66.541
198.679;   -3.703;   -7.320;  -78.662
199.284;    2.432;   -3.720;  -16.629
199.888;   -3.437;   -1.310;   -7.798
200.492;   -1.687;   -5.020;    2.708
201.097;    6.589;    0.640;   62.658
201.701;   -7.809;   -6.350;   -0.964
202.305;    5.995;  -10.130;  -71.285
202.909;   -0.570;    0.190;   21.447
