H
Integration time [ms]: 100.000
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

173.876;   -3.970;   -2.780;   -2.798
174.482;   -3.907;   -5.410;  -59.165
175.087;    4.808;    6.450;  -23.712
175.693;    8.214;    0.490;   32.370
176.298;    3.630;    8.660;   69.717
176.903;   -1.464;   -6.900;  -49.284
177.509;    0.508;    1.210;   11.406
178.114;    3.643;   -3.120;    6.531
178.719;   -2.334;   -8.520;  -62.420
179.325;   -2.949;   -7.780;  -47.591
179.930;   -4.658;   -6.940;  -35.173
180.535;    0.018;   -1.100;  -24.761
181.140;    2.640;    0.600;   27.185
181.745;   10.117;    7.490;   85.469
182.351;   -0.982;   -3.660;  -38.660
182.956;    1.086;    2.420;   66.529
183.561;    6.679;   -3.700;    7.015
184.166;   21.704;   21.560;  194.655
184.771;    4.188;   -6.410;  -22.411
185.376;   -5.607;   -7.710;  -43.265
185.981;    7.933;    7.870;   65.116
186.586;   -4.654;    1.790;  -37.836
187.191;    0.534;   -4.840;   -9.027
187.796;    5.320;    6.600;   29.804
188.400;    6.346;   -3.370;   15.448
189.005;   -1.517;    3.960;    5.133
189.610;   -7.405;   -7.320;  -59.172
190.215;   -2.110;  -10.760;  -55.463
190.820;   -6.339;  -12.010;  -74.141
191.424;   -4.351;   -9.750;  -41.935
192.029;   -7.241;   -6.750;  -49.172
192.634;  -10.053;  -10.000;  -36.678
193.238;    0.277;    0.370;   36.335
193.843;   -8.036;   -6.830;  -59.907
194.448;   -2.443;   -4.830;  -21.429
195.052;   -3.969;   -5.060;  -19.141
195.657;   -3.332;   -8.490;   -4.174
196.261;   -9.686;   -5.450;   -8.043
196.866;   -3.804;  -10.220;  -55.167
197.470;    1.209;   -1.090;   14.862
198.075;   -6.256;  -14.920;  -66.541
198.679;   -8.056;   -7.320;  -78.662
199.284;   -6.220;   -3.720;  -16.629
199.888;   -1.170;   -1.310;   -7.798
200.492;   -1.176;   -5.020;    2.708
201.097;    6.628;    0.640;   62.658
201.701;   -4.327;   -6.350;   -0.964
202.305;  -10.527;  -10.130;  -71.285
202.909;   -7.038;    0.190;   21.447
