Ne
Integration time [ms]:  10.000
Averaging Nr. [scans]: 60
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

173.876;   -6.703;   -9.516;    0.000
174.482;    2.287;    2.584;    0.000
175.087;   -7.588;   -4.750;    0.000
175.693;   -3.596;   -1.833;    0.000
176.298;    0.979;   -0.099;    0.000
176.903;    0.793;   -2.250;    0.000
177.509;    1.246;   -3.666;    0.000
178.114;   -3.565;   -1.649;    0.000
178.719;    5.008;   -2.050;    0.000
179.325;   -3.101;    3.418;    0.000
179.930;    1.817;    4.134;    0.000
180.535;   -3.671;   -5.166;    0.000
181.140;   -5.704;   -6.399;    0.000
181.745;   -2.573;    1.700;    0.000
182.351;   -1.304;   -4.383;    0.000
182.956;   -3.742;   -0.500;    0.000
183.561;   -1.305;    9.551;    0.000
184.166;   -0.212;   -1.449;    0.000
184.771;    0.846;  -10.916;    0.000
185.376;   -2.897;    3.967;    0.000
185.981;   -6.097;   -2.949;    0.000
186.586;    3.925;   -0.716;    0.000
187.191;   -8.261;   -1.533;    0.000
187.796;   -4.519;    0.768;    0.000
188.400;    3.171;   -1.848;    0.000
189.005;   -6.181;    1.917;    0.000
189.610;   -4.876;  -10.649;    0.000
190.215;   -7.069;   -4.199;    0.000
190.820;   -4.350;    2.268;    0.000
191.424;  -12.538;    4.785;    0.000
192.029;   -6.373;   -4.532;    0.000
192.634;   -4.726;    5.385;    0.000
193.238;   -0.723;   -5.316;    0.000
193.843;   -7.181;  -13.082;    0.000
194.448;   -4.360;   -4.149;    0.000
195.052;   -0.451;    1.734;    0.000
195.657;   -7.357;   -1.549;    0.000
196.261;  -12.715;   -4.798;    0.000
196.866;   -2.612;    1.285;    0.000
197.470;   -6.723;   -0.565;    0.000
198.075;  -11.348;   -9.648;    0.000
198.679;   -8.333;    0.785;    0.000
199.284;   -6.969;   -7.332;    0.000
199.888;    1.909;    3.902;    0.000
200.492;   -9.865;   -3.798;    0.000
201.097;   -4.874;   -7.915;    0.000
201.701;   -0.767;   -5.465;    0.000
202.305;   -5.331;    5.351;    0.000
202.909;   -3.648;   -8.349;    0.000
203.514;   -2.875;   -4.415;    0.000
