
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 173.88;  -37.000;  -33.000;    0.000;-4.00000
 174.48;  -95.000;  -46.000;    0.000;-49.00000
 175.09;  -45.000;  -17.000;    0.000;-28.00000
 175.69;   33.000;    9.000;    0.000;24.00000
 176.30;   52.000;   12.000;    0.000;40.00000
 176.90;  -24.000;  -29.000;    0.000; 5.00000
 177.51;  -13.000;   -4.000;    0.000;-9.00000
 178.11;   -4.000;   27.000;    0.000;-31.00000
 178.72;  -49.000;  -75.000;    0.000;26.00000
 179.32; -112.000;  -41.000;    0.000;-71.00000
 179.93;   58.000;  -16.000;    0.000;74.00000
 180.54;  -36.000;  -23.000;    0.000;-13.00000
 181.14;    6.000;   46.000;    0.000;-40.00000
 181.75;   46.000;   34.000;    0.000;12.00000
 182.35;  -38.000;  -62.000;    0.000;24.00000
 182.96;  -37.000;   69.000;    0.000;-106.00000
 183.56;    2.000;  -51.000;    0.000;53.00000
 184.17;  145.000;   90.000;    0.000;55.00000
 184.77;  -35.000;  -12.000;    0.000;-23.00000
 185.38;   -7.000;   -8.000;    0.000; 1.00000
 185.98;   84.000;  -19.000;    0.000;103.00000
 186.59;    1.000;   28.000;    0.000;-27.00000
 187.19;   -3.000;  -46.000;    0.000;43.00000
 187.80;   55.000;    3.000;    0.000;52.00000
 188.40;   19.000;  -37.000;    0.000;56.00000
 189.01;  -66.000;  -12.000;    0.000;-54.00000
 189.61;  -55.000;  -25.000;    0.000;-30.00000
 190.21;  -85.000;  -74.000;    0.000;-11.00000
 190.82;  -42.000;  -22.000;    0.000;-20.00000
 191.42;   24.000;  -25.000;    0.000;49.00000
 192.03;  -13.000;   25.000;    0.000;-38.00000
 192.63;  -41.000;  -45.000;    0.000; 4.00000
 193.24;   38.000;   16.000;    0.000;22.00000
 193.84;  -53.000;  -50.000;    0.000;-3.00000
 194.45;   14.000;  -26.000;    0.000;40.00000
 195.05;  -20.000;  -30.000;    0.000;10.00000
 195.66;  -50.000;   -8.000;    0.000;-42.00000
 196.26;    1.000;   23.000;    0.000;-22.00000
 196.87;   40.000;   18.000;    0.000;22.00000
 197.47;   -5.000;  -52.000;    0.000;47.00000
 198.07;  -62.000; -122.000;    0.000;60.00000
 198.68;  -89.000;  -37.000;    0.000;-52.00000
 199.28;   13.000;  -42.000;    0.000;55.00000
 199.89;   12.000;    4.000;    0.000; 8.00000
 200.49;   12.000;    7.000;    0.000; 5.00000
 201.10;   39.000;   16.000;    0.000;23.00000
 201.70;   -2.000;   46.000;    0.000;-48.00000
 202.31;  -53.000;  -50.000;    0.000;-3.00000
 202.91;   58.000;   31.000;    0.000;27.00000
 203.51;  -12.000;   -5.000;    0.000;-7.00000
 204.12;  -52.000;   15.000;    0.000;-67.00000
 204.72;  -11.000;   34.000;    0.000;-45.00000
 205.33;   -4.000;  -26.000;    0.000;22.00000
 205.93;  -15.000;  -11.000;    0.000;-4.00000
 206.53;  -18.000; -100.000;    0.000;82.00000
 207.14;  -64.000;  -51.000;    0.000;-13.00000
 207.74;    5.000;  -34.000;    0.000;39.00000
 208.35;  -18.000;  -78.000;    0.000;60.00000
 208.95;  -27.000;    3.000;    0.000;-30.00000
 209.55;  211.000;  177.000;    0.000;34.00000
 210.16;  -44.000;  -79.000;    0.000;35.00000
 210.76;  -11.000;   28.000;    0.000;-39.00000
 211.37;  -53.000;  -54.000;    0.000; 1.00000
 211.97;    3.000;  -15.000;    0.000;18.00000
 212.57;  -22.000;  -33.000;    0.000;11.00000
 213.18;  -26.000;  -66.000;    0.000;40.00000
 213.78;  -29.000;  -21.000;    0.000;-8.00000
 214.38;  130.000;  102.000;    0.000;28.00000
 214.99;    6.000;   -9.000;    0.000;15.00000
 215.59;  -53.000;  -53.000;    0.000; 0.00000
 216.20;  -19.000;  -78.000;    0.000;59.00000
 216.80;  -98.000;  -39.000;    0.000;-59.00000
