
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 173.88;  -15.015;  -33.000;    0.000;17.98546
 174.48;   39.991;  -46.000;    0.000;85.99053
 175.09;  -12.004;  -17.000;    0.000; 4.99649
 175.69;    4.991;    9.000;    0.000;-4.00920
 176.30;   30.985;   12.000;    0.000;18.98491
 176.90;  -40.005;  -29.000;    0.000;-11.00521
 177.51;   -8.003;   -4.000;    0.000;-4.00317
 178.11;   25.989;   27.000;    0.000;-1.01073
 178.72;  -59.006;  -75.000;    0.000;15.99404
 179.32;  -13.012;  -41.000;    0.000;27.98757
 179.93;  -22.012;  -16.000;    0.000;-6.01185
 180.54;  -60.003;  -23.000;    0.000;-37.00337
 181.14;   12.985;   46.000;    0.000;-33.01475
 181.75;    1.996;   34.000;    0.000;-32.00422
 182.35;  -10.003;  -62.000;    0.000;51.99693
 182.96;   96.994;   69.000;    0.000;27.99353
 183.56;  -52.016;  -51.000;    0.000;-1.01577
 184.17;  207.991;   90.000;    0.000;117.99135
 184.77;  -23.003;  -12.000;    0.000;-11.00324
 185.38;    2.990;   -8.000;    0.000;10.99033
 185.98;   74.990;  -19.000;    0.000;93.98985
 186.59;   37.994;   28.000;    0.000; 9.99414
 187.19;  -38.008;  -46.000;    0.000; 7.99189
 187.80;   53.986;    3.000;    0.000;50.98620
 188.40;   -8.021;  -37.000;    0.000;28.97915
 189.01;   20.990;  -12.000;    0.000;32.98988
 189.61;  -63.007;  -25.000;    0.000;-38.00654
 190.21;  -89.014;  -74.000;    0.000;-15.01390
 190.82;  -87.012;  -22.000;    0.000;-65.01233
 191.42;  -16.016;  -25.000;    0.000; 8.98426
 192.03;  -29.017;   25.000;    0.000;-54.01659
 192.63;  -32.019;  -45.000;    0.000;12.98133
 193.24;    5.995;   16.000;    0.000;-10.00463
 193.84;   -8.022;  -50.000;    0.000;41.97759
 194.45;  -10.019;  -26.000;    0.000;15.98110
 195.05;  -45.012;  -30.000;    0.000;-15.01240
 195.66;  -24.017;   -8.000;    0.000;-16.01744
 196.26;   12.977;   23.000;    0.000;-10.02313
 196.87;  -52.020;   18.000;    0.000;-70.02037
 197.47;  -39.017;  -52.000;    0.000;12.98345
 198.07;  -20.022; -122.000;    0.000;101.97752
 198.68;  -36.024;  -37.000;    0.000; 0.97619
 199.28;  -19.014;  -42.000;    0.000;22.98607
 199.89;  -10.030;    4.000;    0.000;-14.02960
 200.49;   20.977;    7.000;    0.000;13.97735
 201.10;   27.982;   16.000;    0.000;11.98232
 201.70;  -48.024;   46.000;    0.000;-94.02435
 202.31;  -16.011;  -50.000;    0.000;33.98934
 202.91;  -27.011;   31.000;    0.000;-58.01090
 203.51;  -24.018;   -5.000;    0.000;-19.01805
 204.12;  -20.003;   15.000;    0.000;-35.00252
 204.72;  -28.006;   34.000;    0.000;-62.00647
 205.33;  -56.011;  -26.000;    0.000;-30.01070
 205.93;  -88.013;  -11.000;    0.000;-77.01322
 206.53;  -40.015; -100.000;    0.000;59.98525
 207.14;  -54.014;  -51.000;    0.000;-3.01420
 207.74;  -44.013;  -34.000;    0.000;-10.01349
 208.35;  -14.017;  -78.000;    0.000;63.98331
 208.95;  -54.014;    3.000;    0.000;-57.01400
 209.55;  211.986;  177.000;    0.000;34.98576
 210.16;  -65.017;  -79.000;    0.000;13.98334
 210.76;  -46.016;   28.000;    0.000;-74.01574
 211.37; -123.015;  -54.000;    0.000;-69.01506
 211.97;  -73.010;  -15.000;    0.000;-58.00978
 212.57;   -8.022;  -33.000;    0.000;24.97800
 213.18;  -27.018;  -66.000;    0.000;38.98232
 213.78;  -57.020;  -21.000;    0.000;-36.01986
 214.38;  199.986;  102.000;    0.000;97.98617
 214.99;   11.982;   -9.000;    0.000;20.98232
 215.59;   55.979;  -53.000;    0.000;108.97922
 216.20;   -5.023;  -78.000;    0.000;72.97718
 216.80;  -21.022;  -39.000;    0.000;17.97844
