
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 173.88;  -51.998;  -33.000;    0.000;-18.99776
 174.48;  -47.999;  -46.000;    0.000;-1.99854
 175.09;  -61.999;  -17.000;    0.000;-44.99946
 175.69;   39.001;    9.000;    0.000;30.00141
 176.30;   17.002;   12.000;    0.000; 5.00232
 176.90;  -55.999;  -29.000;    0.000;-26.99920
 177.51;  -32.000;   -4.000;    0.000;-27.99951
 178.11;    1.002;   27.000;    0.000;-25.99835
 178.72;    1.001;  -75.000;    0.000;76.00092
 179.32;  -58.998;  -41.000;    0.000;-17.99809
 179.93;  -61.998;  -16.000;    0.000;-45.99818
 180.54;  -15.999;  -23.000;    0.000; 7.00052
 181.14;  -35.998;   46.000;    0.000;-81.99773
 181.75;    5.001;   34.000;    0.000;-28.99935
 182.35;  -90.000;  -62.000;    0.000;-27.99953
 182.96;   -4.999;   69.000;    0.000;-73.99900
 183.56;  -49.998;  -51.000;    0.000; 1.00243
 184.17;  122.001;   90.000;    0.000;32.00133
 184.77;   36.000;  -12.000;    0.000;48.00050
 185.38;  -56.999;   -8.000;    0.000;-48.99851
 185.98;   57.002;  -19.000;    0.000;76.00156
 186.59;   -2.999;   28.000;    0.000;-30.99910
 187.19;  -24.999;  -46.000;    0.000;21.00125
 187.80;   36.002;    3.000;    0.000;33.00212
 188.40;    3.003;  -37.000;    0.000;40.00321
 189.01;    9.002;  -12.000;    0.000;21.00156
 189.61;  -45.999;  -25.000;    0.000;-20.99899
 190.21; -115.998;  -74.000;    0.000;-41.99786
 190.82;  -77.998;  -22.000;    0.000;-55.99810
 191.42;  -23.998;  -25.000;    0.000; 1.00242
 192.03;  -25.997;   25.000;    0.000;-50.99745
 192.63;  -68.997;  -45.000;    0.000;-23.99713
 193.24;   34.001;   16.000;    0.000;18.00071
 193.84;  -62.997;  -50.000;    0.000;-12.99655
 194.45;  -43.997;  -26.000;    0.000;-17.99709
 195.05;   49.002;  -30.000;    0.000;79.00191
 195.66;  -42.997;   -8.000;    0.000;-34.99732
 196.26;  -26.996;   23.000;    0.000;-49.99644
 196.87;  -17.997;   18.000;    0.000;-35.99687
 197.47;  -53.997;  -52.000;    0.000;-1.99745
 198.07;  -53.997; -122.000;    0.000;68.00346
 198.68; -104.996;  -37.000;    0.000;-67.99634
 199.28;   -7.998;  -42.000;    0.000;34.00214
 199.89;  -40.995;    4.000;    0.000;-44.99545
 200.49;   17.003;    7.000;    0.000;10.00348
 201.10;   61.003;   16.000;    0.000;45.00272
 201.70;   -0.996;   46.000;    0.000;-46.99625
 202.31;  -85.998;  -50.000;    0.000;-35.99836
 202.91;    1.002;   31.000;    0.000;-29.99832
 203.51;  -16.997;   -5.000;    0.000;-11.99722
 204.12;  -10.000;   15.000;    0.000;-24.99961
 204.72;   56.001;   34.000;    0.000;22.00100
 205.33;  -10.998;  -26.000;    0.000;15.00165
 205.93;  -52.998;  -11.000;    0.000;-41.99797
 206.53;  -26.998; -100.000;    0.000;73.00227
 207.14;  -78.998;  -51.000;    0.000;-27.99781
 207.74;   -5.998;  -34.000;    0.000;28.00208
 208.35;  -14.997;  -78.000;    0.000;63.00257
 208.95;   -2.998;    3.000;    0.000;-5.99785
 209.55;  167.002;  177.000;    0.000;-9.99781
 210.16;  -65.997;  -79.000;    0.000;13.00256
 210.76;    3.002;   28.000;    0.000;-24.99758
 211.37;  -73.998;  -54.000;    0.000;-19.99768
 211.97;  -40.998;  -15.000;    0.000;-25.99850
 212.57;  -26.997;  -33.000;    0.000; 6.00339
 213.18;  -68.997;  -66.000;    0.000;-2.99728
 213.78;  -44.997;  -21.000;    0.000;-23.99694
 214.38;  151.002;  102.000;    0.000;49.00213
 214.99;    5.003;   -9.000;    0.000;14.00272
 215.59;   -4.997;  -53.000;    0.000;48.00320
 216.20;  -18.996;  -78.000;    0.000;59.00351
 216.80;  -43.997;  -39.000;    0.000;-4.99668
