
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 173.88;   10.309;  -33.000;    0.000;43.30908
 174.48;  -48.403;  -46.000;    0.000;-2.40299
 175.09;  -11.890;  -17.000;    0.000; 5.10968
 175.69;   48.666;    9.000;    0.000;39.66616
 176.30;   33.171;   12.000;    0.000;21.17078
 176.90;   11.677;  -29.000;    0.000;40.67749
 177.51;   -7.804;   -4.000;    0.000;-3.80388
 178.11;   41.277;   27.000;    0.000;14.27719
 178.72;  -66.513;  -75.000;    0.000; 8.48733
 179.32;   54.845;  -41.000;    0.000;95.84500
 179.93;  -39.008;  -16.000;    0.000;-23.00806
 180.54;  -12.856;  -23.000;    0.000;10.14426
 181.14;   -5.743;   46.000;    0.000;-51.74278
 181.75;  105.928;   34.000;    0.000;71.92816
 182.35;  -59.778;  -62.000;    0.000; 2.22205
 182.96;   64.358;   69.000;    0.000;-4.64233
 183.56;   23.998;  -51.000;    0.000;74.99790
 184.17;  118.804;   90.000;    0.000;28.80447
 184.77;   30.179;  -12.000;    0.000;42.17884
 185.38;   33.545;   -8.000;    0.000;41.54515
 185.98;   70.424;  -19.000;    0.000;89.42414
 186.59;   -1.487;   28.000;    0.000;-29.48674
 187.19;   35.943;  -46.000;    0.000;81.94277
 187.80;   43.499;    3.000;    0.000;40.49925
 188.40;   30.710;  -37.000;    0.000;67.70997
 189.01;   31.433;  -12.000;    0.000;43.43278
 189.61;    2.340;  -25.000;    0.000;27.34038
 190.21;  -24.527;  -74.000;    0.000;49.47331
 190.82;  -30.129;  -22.000;    0.000;-8.12907
 191.42;   10.007;  -25.000;    0.000;35.00655
 192.03;  -11.210;   25.000;    0.000;-36.20955
 192.63;   31.263;  -45.000;    0.000;76.26318
 193.24;   61.824;   16.000;    0.000;45.82444
 193.84;   22.312;  -50.000;    0.000;72.31236
 194.45;   -1.797;  -26.000;    0.000;24.20267
 195.05;  -11.146;  -30.000;    0.000;18.85364
 195.66;   37.574;   -8.000;    0.000;45.57436
 196.26;   17.131;   23.000;    0.000;-5.86916
 196.87;  -45.169;   18.000;    0.000;-63.16901
 197.47;    6.799;  -52.000;    0.000;58.79910
 198.07;  -31.705; -122.000;    0.000;90.29507
 198.68;  -39.042;  -37.000;    0.000;-2.04204
 199.28;  -36.535;  -42.000;    0.000; 5.46467
 199.89;   -3.511;    4.000;    0.000;-7.51149
 200.49;   -4.748;    7.000;    0.000;-11.74815
 201.10;   76.514;   16.000;    0.000;60.51385
 201.70;   12.820;   46.000;    0.000;-33.18034
 202.31;  -83.706;  -50.000;    0.000;-33.70552
 202.91;  -10.766;   31.000;    0.000;-41.76603
 203.51;   -4.581;   -5.000;    0.000; 0.41877
 204.12;  -32.640;   15.000;    0.000;-47.63964
 204.72;   39.358;   34.000;    0.000; 5.35767
 205.33;  -61.714;  -26.000;    0.000;-35.71416
 205.93;  -29.354;  -11.000;    0.000;-18.35381
 206.53;   18.257; -100.000;    0.000;118.25722
 207.14;  -13.604;  -51.000;    0.000;37.39552
 207.74;  -19.423;  -34.000;    0.000;14.57704
 208.35;    7.765;  -78.000;    0.000;85.76452
 208.95;    5.447;    3.000;    0.000; 2.44738
 209.55;  203.387;  177.000;    0.000;26.38688
 210.16;   -5.227;  -79.000;    0.000;73.77316
 210.76;   30.007;   28.000;    0.000; 2.00655
 211.37;  -13.821;  -54.000;    0.000;40.17942
 211.97;   45.519;  -15.000;    0.000;60.51922
 212.57;    5.416;  -33.000;    0.000;38.41608
 213.18;    0.514;  -66.000;    0.000;66.51385
 213.78;  -16.039;  -21.000;    0.000; 4.96064
 214.38;  141.491;  102.000;    0.000;39.49060
 214.99;   23.514;   -9.000;    0.000;32.51385
 215.59;   55.727;  -53.000;    0.000;108.72726
 216.20;  -31.791;  -78.000;    0.000;46.20863
 216.80;  -61.472;  -39.000;    0.000;-22.47155
 217.40;   35.765;    0.000;    0.000;35.76452
