Wave   	Sample   	Dark     	Reference	Scope Corrected for Dark
[nm]   	[counts] 	[counts] 	[counts] 	[counts] 
				
173.88	-13.721	-33	0	19.27867
174.48	-77.074	-46	0	-31.07384
175.09	-15.139	-17	0	1.86113
175.69	40.015	9	0	31.01461
176.3	78.102	12	0	66.10176
176.9	-24.692	-29	0	4.30828
177.51	28.972	-4	0	32.9717
178.11	61.517	27	0	34.51705
178.72	-56.935	-75	0	18.06503
179.32	-41.036	-41	0	-0.0358
179.93	-37.848	-16	0	-21.84783
180.54	15.905	-23	0	38.90536
181.14	5.212	46	0	-40.78767
181.75	26.629	34	0	-7.37107
182.35	18.005	-62	0	80.00487
182.96	44.899	69	0	-24.10083
183.56	-61.119	-51	0	-10.11938
184.17	116.192	90	0	26.19153
184.77	3.95	-12	0	15.94959
185.38	-36.14	-8	0	-28.14018
185.98	43.705	-19	0	62.70502
186.59	-9.902	28	0	-37.9018
187.19	22.368	-46	0	68.36844
187.8	31.522	3	0	28.52192
188.4	28.233	-37	0	65.23313
189.01	21.716	-12	0	33.71608
189.61	-25.123	-25	0	-0.12294
190.21	-4.511	-74	0	69.48875
190.82	-77.003	-22	0	-55.00263
191.42	-30.108	-25	0	-5.10833
192.03	-3.385	25	0	-28.38475
192.63	-28.059	-45	0	16.94077
193.24	-4.504	16	0	-20.50375
193.84	5.725	-50	0	55.7245
194.45	4.863	-26	0	30.86337
195.05	-3.025	-30	0	26.97526
195.66	6.339	-8	0	14.33882
196.26	-25.508	23	0	-48.50769
196.87	-6.612	18	0	-24.61208
197.47	3.626	-52	0	55.62631
198.07	-23.298	-122	0	98.70239
198.68	16.271	-37	0	53.27117
199.28	1.478	-42	0	43.47769
199.89	-13.609	4	0	-17.60852
200.49	16.647	7	0	9.64711
201.1	32.261	16	0	16.26143
201.7	-16.906	46	0	-62.90574
202.31	-82.461	-50	0	-32.46084
202.91	-10.538	31	0	-41.53824
203.51	40.14	-5	0	45.1398
204.12	31.182	15	0	16.18178
204.72	68.899	34	0	34.89917
205.33	-45.472	-26	0	-19.47189
205.93	-44.29	-11	0	-33.29011
206.53	-44.788	-100	0	55.21233
207.14	-52.611	-51	0	-1.61076
207.74	-27.379	-34	0	6.62143
208.35	-52.418	-78	0	25.58208
208.95	30.456	3	0	27.45558
209.55	135.378	177	0	-41.62182
210.16	-26.407	-79	0	52.59314
210.76	-67.108	28	0	-95.10833
211.37	-30.887	-54	0	23.11281
211.97	23.827	-15	0	38.82665
212.57	5.857	-33	0	38.85719
213.18	-62.739	-66	0	3.26143
213.78	-22.446	-21	0	-1.44622
214.38	102.511	102	0	0.51086
214.99	-30.739	-9	0	-21.73857
215.59	-32.745	-53	0	20.25524
216.2	-48.408	-78	0	29.59182
216.8	-34.999	-39	0	4.00093
217.4	-14.418	0	0	-14.41792
218.01	3.127	-13	0	16.12743
218.61	-70.336	-50	0	-20.33565
219.21	-65.578	-44	0	-21.57759
219.82	128.179	59	0	69.17916
220.42	-0.031	-77	0	76.96907
221.02	-60.277	-40	0	-20.27681
221.63	-44.095	-46	0	1.90497
222.23	-43.756	-91	0	47.24418
222.83	-61.064	-45	0	-16.0641
223.44	-35.472	-82	0	46.52811
224.04	13.794	-39	0	52.7944
224.64	-49.596	-60	0	10.40385
225.25	-7.954	14	0	-21.95353
225.85	7.075	-50	0	57.07477
226.45	-16.778	-12	0	-4.77793
227.06	83.328	77	0	6.32777
227.66	86.268	79	0	7.26761
228.26	23.797	-12	0	35.79703
228.87	-29.314	-34	0	4.68646
229.47	80.637	37	0	43.63736
230.07	-20.678	-24	0	3.32158
230.68	89.937	88	0	1.93722
231.28	-50.143	-7	0	-43.14281
231.88	61.554	108	0	-46.44622
232.48	37.418	8	0	29.41754
233.09	15.876	7	0	8.87574
233.69	-75.197	-79	0	3.80322
234.29	62.936	37	0	25.9359
234.9	-16.999	35	0	-51.99907
235.5	-10.405	-67	0	56.59538
236.1	15.102	-81	0	96.10176
236.7	-16.656	21	0	-37.6563
237.31	-69.32	-38	0	-31.31972
237.91	-21.054	4	0	-25.05436
238.51	-46.18	-64	0	17.82046
