
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 173.88;  -84.140;  -33.000;    0.000;-51.14026
 174.48;   24.607;  -46.000;    0.000;70.60657
 175.09;  -62.516;  -17.000;    0.000;-45.51627
 175.69;   16.647;    9.000;    0.000; 7.64667
 176.30;   29.780;   12.000;    0.000;17.77954
 176.90;   26.233;  -29.000;    0.000;55.23311
 177.51;   46.534;   -4.000;    0.000;50.53385
 178.11;    5.421;   27.000;    0.000;-21.57888
 178.72; -101.877;  -75.000;    0.000;-26.87716
 179.32;  -93.829;  -41.000;    0.000;-52.82950
 179.93;  -49.744;  -16.000;    0.000;-33.74429
 180.54;    1.504;  -23.000;    0.000;24.50378
 181.14;   -2.170;   46.000;    0.000;-48.17034
 181.75;   55.378;   34.000;    0.000;21.37847
 182.35;    7.549;  -62.000;    0.000;69.54889
 182.96;   49.048;   69.000;    0.000;-19.95234
 183.56;   36.679;  -51.000;    0.000;87.67929
 184.17;  138.727;   90.000;    0.000;48.72687
 184.77;  -52.476;  -12.000;    0.000;-40.47617
 185.38;  -71.424;   -8.000;    0.000;-63.42350
 185.98;   77.506;  -19.000;    0.000;96.50633
 186.59;   15.138;   28.000;    0.000;-12.86212
 187.19;  -67.193;  -46.000;    0.000;-21.19293
 187.80;   55.970;    3.000;    0.000;52.97001
 188.40;   17.932;  -37.000;    0.000;54.93246
 189.01;   26.511;  -12.000;    0.000;38.51134
 189.61;  -62.962;  -25.000;    0.000;-37.96237
 190.21;  -45.045;  -74.000;    0.000;28.95497
 190.82; -116.814;  -22.000;    0.000;-94.81446
 191.42;  -47.316;  -25.000;    0.000;-22.31569
 192.03; -126.441;   25.000;    0.000;-151.44100
 192.63;  -31.747;  -45.000;    0.000;13.25325
 193.24;   14.318;   16.000;    0.000;-1.68168
 193.84;  -74.298;  -50.000;    0.000;-24.29811
 194.45; -106.782;  -26.000;    0.000;-80.78184
 195.05;  -33.824;  -30.000;    0.000;-3.82449
 195.66;   35.434;   -8.000;    0.000;43.43369
 196.26;  -65.403;   23.000;    0.000;-88.40337
 196.87;  -67.997;   18.000;    0.000;-85.99737
 197.47;   29.564;  -52.000;    0.000;81.56401
 198.07;  -81.308; -122.000;    0.000;40.69187
 198.68;  -22.504;  -37.000;    0.000;14.49639
 199.28;    0.950;  -42.000;    0.000;42.94996
 199.89;   19.644;    4.000;    0.000;15.64429
 200.49;  -11.333;    7.000;    0.000;-18.33320
 201.10;   46.399;   16.000;    0.000;30.39860
 201.70;  -22.584;   46.000;    0.000;-68.58381
 202.31; -119.569;  -50.000;    0.000;-69.56886
 202.91;  -29.604;   31.000;    0.000;-60.60394
 203.51;  -30.657;   -5.000;    0.000;-25.65653
 204.12;  -59.371;   15.000;    0.000;-74.37091
 204.72;   56.048;   34.000;    0.000;22.04766
 205.33;  -36.574;  -26.000;    0.000;-10.57387
 205.93;   -7.945;  -11.000;    0.000; 3.05522
 206.53;  -30.170; -100.000;    0.000;69.82966
 207.14;  -61.090;  -51.000;    0.000;-10.09014
 207.74;   -2.985;  -34.000;    0.000;31.01512
 208.35;  -31.456;  -78.000;    0.000;46.54396
 208.95;  -35.060;    3.000;    0.000;-38.06007
 209.55;  243.905;  177.000;    0.000;66.90485
 210.16; -119.451;  -79.000;    0.000;-40.45103
 210.76;  -36.316;   28.000;    0.000;-64.31569
 211.37;  -26.215;  -54.000;    0.000;27.78455
 211.97;  -15.439;  -15.000;    0.000;-0.43854
 212.57;  -28.238;  -33.000;    0.000; 4.76204
 213.18;  -76.601;  -66.000;    0.000;-10.60140
 213.78;  -57.922;  -21.000;    0.000;-36.92219
 214.38;  175.965;  102.000;    0.000;73.96500
 214.99;   34.399;   -9.000;    0.000;43.39860
 215.59;   -1.058;  -53.000;    0.000;51.94248
 216.20;  -62.358;  -78.000;    0.000;15.64174
 216.80;   -2.173;  -39.000;    0.000;36.82720
