
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 173.88;   -8.006;  -33.000;    0.000;24.99441
 174.48;   -0.004;  -46.000;    0.000;45.99636
 175.09;  -19.001;  -17.000;    0.000;-2.00135
 175.69;   13.996;    9.000;    0.000; 4.99646
 176.30;   65.994;   12.000;    0.000;53.99420
 176.90;  -32.002;  -29.000;    0.000;-3.00200
 177.51;   19.999;   -4.000;    0.000;23.99878
 178.11;   25.996;   27.000;    0.000;-1.00413
 178.72;  -59.002;  -75.000;    0.000;15.99771
 179.32;  -23.005;  -41.000;    0.000;17.99522
 179.93;  -52.005;  -16.000;    0.000;-36.00456
 180.54;  -22.001;  -23.000;    0.000; 0.99870
 181.14;   30.994;   46.000;    0.000;-15.00567
 181.75;  -14.002;   34.000;    0.000;-48.00162
 182.35;  -47.001;  -62.000;    0.000;14.99882
 182.96;   23.998;   69.000;    0.000;-45.00249
 183.56;   22.994;  -51.000;    0.000;73.99393
 184.17;  124.997;   90.000;    0.000;34.99667
 184.77;  -39.001;  -12.000;    0.000;-27.00124
 185.38;  -86.004;   -8.000;    0.000;-78.00372
 185.98;   29.996;  -19.000;    0.000;48.99610
 186.59;   18.998;   28.000;    0.000;-9.00225
 187.19;   40.997;  -46.000;    0.000;86.99688
 187.80;   55.995;    3.000;    0.000;52.99469
 188.40;  -17.008;  -37.000;    0.000;19.99198
 189.01;   56.996;  -12.000;    0.000;68.99611
 189.61;   -4.003;  -25.000;    0.000;20.99748
 190.21;  -48.005;  -74.000;    0.000;25.99465
 190.82;  -16.005;  -22.000;    0.000; 5.99526
 191.42;   -5.006;  -25.000;    0.000;19.99395
 192.03;  -53.006;   25.000;    0.000;-78.00638
 192.63;  -90.007;  -45.000;    0.000;-45.00718
 193.24;   35.998;   16.000;    0.000;19.99822
 193.84;  -50.009;  -50.000;    0.000;-0.00862
 194.45;  -50.007;  -26.000;    0.000;-24.00727
 195.05;  -71.005;  -30.000;    0.000;-41.00477
 195.66;  -31.007;   -8.000;    0.000;-23.00671
 196.26;   65.991;   23.000;    0.000;42.99110
 196.87;  -57.008;   18.000;    0.000;-75.00783
 197.47;  -11.006;  -52.000;    0.000;40.99363
 198.07;  -53.009; -122.000;    0.000;68.99135
 198.68;  -72.009;  -37.000;    0.000;-35.00916
 199.28;   18.995;  -42.000;    0.000;60.99464
 199.89;   -5.011;    4.000;    0.000;-9.01138
 200.49;  -59.009;    7.000;    0.000;-66.00871
 201.10;   28.993;   16.000;    0.000;12.99320
 201.70;   -0.009;   46.000;    0.000;-46.00937
 202.31;  -43.004;  -50.000;    0.000; 6.99590
 202.91;  -10.004;   31.000;    0.000;-41.00419
 203.51;    1.993;   -5.000;    0.000; 6.99306
 204.12;  -11.001;   15.000;    0.000;-26.00097
 204.72;  -12.002;   34.000;    0.000;-46.00249
 205.33;  -39.004;  -26.000;    0.000;-13.00411
 205.93;  -35.005;  -11.000;    0.000;-24.00508
 206.53;    2.994; -100.000;    0.000;102.99433
 207.14;  -60.005;  -51.000;    0.000;-9.00546
 207.74;  -46.005;  -34.000;    0.000;-12.00519
 208.35;  -34.006;  -78.000;    0.000;43.99358
 208.95;   20.995;    3.000;    0.000;17.99462
 209.55;  210.995;  177.000;    0.000;33.99452
 210.16;  -62.006;  -79.000;    0.000;16.99359
 210.76;  -23.006;   28.000;    0.000;-51.00605
 211.37;  -45.006;  -54.000;    0.000; 8.99421
 211.97;  -70.004;  -15.000;    0.000;-55.00376
 212.57;  -18.008;  -33.000;    0.000;14.99154
 213.18;  -39.007;  -66.000;    0.000;26.99320
 213.78;  -57.008;  -21.000;    0.000;-36.00764
 214.38;  186.995;  102.000;    0.000;84.99468
 214.99;   34.993;   -9.000;    0.000;43.99320
 215.59;    4.992;  -53.000;    0.000;57.99201
 216.20;  -25.009;  -78.000;    0.000;52.99122
 216.80;   -3.008;  -39.000;    0.000;35.99171
