
Integration time [ms]: 100.000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 173.88;   -9.603;   -5.894;  -53.992;-3.70895
 174.48;   -4.752;   -3.546;   42.005;-1.20583
 175.09;    6.049;   -3.599;  -28.998; 9.64784
 175.69;    0.298;    5.554;  -26.995;-5.25566
 176.30;    5.647;    1.806;   46.008; 3.84071
 176.90;   -0.451;   -7.298;  -38.997; 6.84679
 177.51;   -1.601;  -16.099;  -62.998;14.49805
 178.11;   -2.652;    2.304;   -2.994;-4.95660
 178.72;  -10.701;   -8.048;  -27.997;-2.65367
 179.32;   -2.953;    0.155;    7.007;-3.10765
 179.93;    4.447;  -11.195;  -41.994;15.64271
 180.54;    3.949;   14.551;   14.002;-10.60208
 181.14;   -5.903;   -5.944;  -41.992; 0.04092
 181.75;    3.899;    0.102;   -7.998; 3.79740
 182.35;   -0.451;  -18.299;  -18.998;17.84811
 182.96;    2.599;   14.902;  -32.997;-12.30398
 183.56;   -0.204;   -8.944;   -4.992; 8.74030
 184.17;   22.098;    8.803;  -28.995;13.29468
 184.77;    4.799;   -9.999;  -21.998;14.79801
 185.38;   -6.152;   -4.646;   16.005;-1.50595
 185.98;    1.548;    4.454;  -18.995;-2.90625
 186.59;  -10.051;    4.552;  -20.997;-14.60360
 187.19;    1.548;   -4.347;  -32.996; 5.89501
 187.80;    2.197;    5.505;  -32.993;-3.30849
 188.40;   -5.705;   -7.642;  -43.989; 1.93717
 189.01;   16.248;    8.354;   -7.995; 7.89377
 189.61;   -7.502;   -6.047;  -28.996;-1.45402
 190.21;  -13.153;  -10.495;   13.007;-2.65855
 190.82;    3.697;    1.855;   19.007; 1.84241
 191.42;    1.546;   -0.894;   44.008; 2.44032
 192.03;   -5.754;  -12.144;  -25.991; 6.38979
 192.63;   -3.604;    4.757;   -2.990;-8.36149
 193.24;    1.499;    5.502;   32.002;-4.00285
 193.84;    1.295;   -8.391;  -38.988; 9.68621
 194.45;   -3.254;   -8.293;  -45.990; 5.03837
 195.05;   -8.503;   -4.995;   13.007;-3.50763
 195.66;  -13.904;   -5.143;  -35.991;-8.76073
 196.26;  -16.555;   -9.441;  -25.988;-7.11423
 196.87;   -8.905;   -4.342;  -51.989;-4.56253
 197.47;   -0.004;   -3.894;   13.009; 3.88981
 198.07;    1.095;   -8.691;  -25.988; 9.78617
 198.68;   -3.505;   -6.591;  116.013; 3.08535
 199.28;  -10.853;   -2.545;   -2.992;-8.30857
 199.89;   -7.407;    0.261;  -25.984;-7.66822
 200.49;   -1.505;   -7.091;   16.012; 5.58606
 201.10;    0.996;   -1.443;  -18.990; 2.43912
 201.70;   -7.456;    2.109;  -35.987;-9.56499
 202.31;  -15.152;   -4.196;   36.006;-10.95656
 202.91;   -8.103;    7.554;   55.006;-15.65671
 203.51;  -11.404;    3.957;   -5.990;-15.36111
 204.12;   -9.051;   -4.299;   28.001;-4.75155
 204.72;    2.799;    4.452;    0.003;-1.65398
 205.33;   -9.602;   -0.746;  -19.994;-8.85658
 205.93;   -1.753;  -11.895;   -6.993;10.14187
 206.53;  -16.253;   -7.594;  -32.992;-8.65908
 207.14;   -9.603;  -11.245;  -39.992; 1.64126
 207.74;   -6.953;    3.255;  -15.993;-10.20830
 208.35;   -0.154;  -10.894;  -33.991;10.73973
 208.95;   -2.703;  -14.645;   -1.992;11.94138
 209.55;   28.547;   15.955;  -12.992;12.59124
 210.16;  -10.404;   -6.044;  -17.991;-4.36025
 210.76;   -6.754;    4.256;  -33.992;-11.00968
 211.37;  -10.053;  -11.244;   -8.992; 1.19073
 211.97;   -1.352;    3.354;  -76.995;-4.70602
 212.57;   -0.955;   -6.142;  -72.988; 5.18646
 213.18;   -0.954;  -10.043;  -20.990; 9.08912
 213.78;   -6.305;  -11.092;  -56.989; 4.78778
 214.38;   -3.003;    0.605;   -0.993;-3.60851
 214.99;   -4.954;    1.157;  -90.990;-6.11088
