
Integration time [ms]: 100.000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 173.88;  -11.875;   -5.894;  -53.992;-5.98047
 174.48;   -2.096;   -3.546;   42.005; 1.44995
 175.09;   -9.804;   -3.599;  -28.998;-6.20559
 175.69;   -7.592;    5.554;  -26.995;-13.14573
 176.30;    4.717;    1.806;   46.008; 2.91089
 176.90;    3.269;   -7.298;  -38.997;10.56742
 177.51;  -10.299;  -16.099;  -62.998; 5.79980
 178.11;   11.834;    2.304;   -2.994; 9.52998
 178.72;  -13.042;   -8.048;  -27.997;-4.99446
 179.32;    2.458;    0.155;    7.007; 2.30299
 179.93;   -7.583;  -11.195;  -41.994; 3.61217
 180.54;    8.598;   14.551;   14.002;-5.95343
 181.14;  -11.328;   -5.944;  -41.992;-5.38371
 181.75;    3.835;    0.102;   -7.998; 3.73307
 182.35;   -3.847;  -18.299;  -18.998;14.45142
 182.96;    4.450;   14.902;  -32.997;-10.45255
 183.56;   -5.244;   -8.944;   -4.992; 3.70010
 184.17;   17.666;    8.803;  -28.995; 8.86290
 184.77;   -6.750;   -9.999;  -21.998; 3.24872
 185.38;  -11.850;   -4.646;   16.005;-7.20329
 185.98;    0.193;    4.454;  -18.995;-4.26085
 186.59;   -4.941;    4.552;  -20.997;-9.49284
 187.19;    7.125;   -4.347;  -32.996;11.47154
 187.80;   -0.563;    5.505;  -32.993;-6.06860
 188.40;    0.078;   -7.642;  -43.989; 7.71967
 189.01;    2.494;    8.354;   -7.995;-5.86031
 189.61;  -19.451;   -6.047;  -28.996;-13.40363
 190.21;   -8.765;  -10.495;   13.007; 1.72978
 190.82;   -3.241;    1.855;   19.007;-5.09539
 191.42;    9.857;   -0.894;   44.008;10.75064
 192.03;   -4.806;  -12.144;  -25.991; 7.33714
 192.63;   11.261;    4.757;   -2.990; 6.50422
 193.24;    6.578;    5.502;   32.002; 1.07659
 193.84;    0.503;   -8.391;  -38.988; 8.89485
 194.45;  -10.592;   -8.293;  -45.990;-2.29956
 195.05;   13.958;   -4.995;   13.007;18.95353
 195.66;   -0.970;   -5.143;  -35.991; 4.17365
 196.26;   10.342;   -9.441;  -25.988;19.78351
 196.87;    5.735;   -4.342;  -51.989;10.07723
 197.47;    4.794;   -3.894;   13.009; 8.68768
 198.07;   -8.648;   -8.691;  -25.988; 0.04377
 198.68;    4.582;   -6.591;  116.013;11.17272
 199.28;   -8.915;   -2.545;   -2.992;-6.37076
 199.89;    8.242;    0.261;  -25.984; 7.98096
 200.49;   -6.650;   -7.091;   16.012; 0.44107
 201.10;   11.377;   -1.443;  -18.990;12.81987
 201.70;    5.323;    2.109;  -35.987; 3.21408
 202.31;    6.885;   -4.196;   36.006;11.08106
 202.91;   -0.419;    7.554;   55.006;-7.97272
 203.51;   -0.479;    3.957;   -5.990;-4.43607
 204.12;  -15.189;   -4.299;   28.001;-10.88994
 204.72;   -3.800;    4.452;    0.003;-8.25255
 205.33;  -12.815;   -0.746;  -19.994;-12.06948
 205.93;    3.746;  -11.895;   -6.993;15.64058
 206.53;   -3.428;   -7.594;  -32.992; 4.16629
 207.14;   -5.570;  -11.245;  -39.992; 5.67493
 207.74;   -6.309;    3.255;  -15.993;-9.56374
 208.35;   -7.708;  -10.894;  -33.991; 3.18552
 208.95;  -14.716;  -14.645;   -1.992;-0.07184
 209.55;   30.530;   15.955;  -12.992;14.57439
 210.16;  -11.508;   -6.044;  -17.991;-5.46394
 210.76;   -0.143;    4.256;  -33.992;-4.39936
 211.37;  -19.383;  -11.244;   -8.992;-8.13857
 211.97;    0.999;    3.354;  -76.995;-2.35491
 212.57;  -13.040;   -6.142;  -72.988;-6.89868
 213.18;    4.077;  -10.043;  -20.990;14.11987
 213.78;   -4.107;  -11.092;  -56.989; 6.98533
 214.38;    0.486;    0.605;   -0.993;-0.11914
 214.99;   -9.123;    1.157;  -90.990;-10.28013
 215.59;    8.479;    6.608;   11.011; 1.87075
