Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	1
73	1
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	1
96	0
97	1
98	1
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	1
109	0
110	0
111	1
112	0
113	0
114	0
115	0
116	0
117	1
118	0
119	1
120	0
121	1
122	1
123	0
124	0
125	0
126	1
127	3
128	1
129	1
130	1
131	2
132	1
133	1
134	1
135	0
136	0
137	2
138	0
139	0
140	0
141	1
142	0
143	0
144	1
145	0
146	1
147	0
148	0
149	1
150	0
151	0
152	2
153	0
154	2
155	0
156	0
157	3
158	1
159	0
160	1
161	0
162	1
163	0
164	3
165	2
166	0
167	0
168	0
169	1
170	0
171	0
172	0
173	0
174	0
175	3
176	0
177	0
178	1
179	0
180	0
181	1
182	0
183	2
184	0
185	0
186	2
187	0
188	0
189	0
190	0
191	1
192	1
193	2
194	0
195	0
196	1
197	0
198	1
199	0
200	0
201	1
202	0
203	1
204	0
205	1
206	1
207	1
208	0
209	1
210	0
211	0
212	2
213	1
214	0
215	0
216	1
217	2
218	1
219	1
220	1
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	1
237	0
238	0
239	0
240	2
241	0
242	4
243	0
244	1
245	0
246	0
247	0
248	1
249	0
250	0
251	0
252	2
253	0
254	0
255	1
256	0
257	0
258	0
259	1
260	1
261	0
262	2
263	1
264	0
265	0
266	1
267	1
268	0
269	1
270	1
271	0
272	1
273	1
274	0
275	0
276	0
277	1
278	4
279	0
280	0
281	0
282	0
283	0
284	1
285	0
286	0
287	1
288	0
289	0
290	0
291	0
292	1
293	0
294	0
295	1
296	0
297	1
298	2
299	0
300	1
301	0
302	0
303	0
304	0
305	1
306	2
307	0
308	0
309	1
310	0
311	1
312	0
313	0
314	0
315	1
316	0
317	0
318	1
319	0
320	0
321	0
322	1
323	0
324	0
325	0
326	0
327	1
328	0
329	0
330	0
331	0
332	1
333	0
334	1
335	0
336	0
337	0
338	0
339	0
340	1
341	0
342	1
343	0
344	0
345	2
346	0
347	1
348	1
349	0
350	0
351	1
352	0
353	0
354	0
355	2
356	2
357	0
358	1
359	0
360	0
361	0
362	0
363	1
364	0
365	2
366	1
367	0
368	0
369	1
370	0
371	0
372	0
373	1
374	1
375	1
376	0
377	0
378	0
379	0
380	2
381	1
382	0
383	1
384	0
385	0
386	1
387	1
388	0
389	1
390	1
391	1
392	0
393	0
394	0
395	2
396	0
397	1
398	0
399	2
400	0
401	0
402	1
403	1
404	0
405	0
406	2
407	1
408	2
409	0
410	1
411	2
412	1
413	1
414	0
415	1
416	1
417	2
418	0
419	0
420	0
421	1
422	1
423	0
424	0
425	1
426	0
427	0
428	1
429	0
430	1
431	0
432	0
433	0
434	3
435	1
436	0
437	1
438	0
439	1
440	0
441	1
442	0
443	0
444	1
445	0
446	0
447	0
448	2
449	1
450	1
451	2
452	0
453	1
454	0
455	0
456	0
457	1
458	0
459	0
460	0
461	1
462	0
463	1
464	2
465	3
466	0
467	1
468	2
469	1
470	0
471	0
472	1
473	0
474	1
475	0
476	0
477	1
478	2
479	0
480	0
481	0
482	0
483	0
484	3
485	0
486	2
487	0
488	0
489	0
490	1
491	1
492	2
493	0
494	2
495	0
496	1
497	1
498	2
499	1
500	1
501	2
502	0
503	2
504	2
505	1
506	0
507	1
508	1
509	0
510	0
511	2
512	0
513	1
514	1
515	1
516	1
517	1
518	1
519	0
520	1
521	0
522	3
523	1
524	1
525	1
526	1
527	0
528	2
529	3
530	0
531	2
532	1
533	0
534	0
535	2
536	1
537	1
538	1
539	1
540	3
541	1
542	1
543	1
544	0
545	1
546	2
547	1
548	0
549	0
550	0
551	0
552	0
553	1
554	0
555	2
556	1
557	3
558	1
559	0
560	2
561	0
562	1
563	2
564	1
565	0
566	1
567	2
568	1
569	0
570	2
571	0
572	1
573	1
574	1
575	1
576	0
577	1
578	0
579	2
580	0
581	2
582	2
583	2
584	0
585	1
586	0
587	0
588	1
589	2
590	0
591	1
592	0
593	0
594	1
595	0
596	0
597	0
598	0
599	1
600	1
601	2
602	2
603	0
604	1
605	0
606	1
607	0
608	2
609	1
610	1
611	1
612	1
613	1
614	0
615	1
616	0
617	2
618	3
619	2
620	0
621	0
622	1
623	2
624	3
625	0
626	2
627	1
628	1
629	2
630	0
631	0
632	1
633	1
634	2
635	0
636	1
637	2
638	1
639	3
640	0
641	2
642	2
643	2
644	0
645	1
646	0
647	2
648	1
649	1
650	1
651	0
652	1
653	0
654	0
655	2
656	1
657	0
658	1
659	0
660	2
661	0
662	2
663	2
664	2
665	1
666	2
667	1
668	2
669	2
670	1
671	2
672	1
673	1
674	2
675	0
676	0
677	0
678	2
679	2
680	0
681	2
682	0
683	0
684	1
685	1
686	0
687	1
688	0
689	2
690	1
691	0
692	3
693	0
694	1
695	0
696	1
697	1
698	0
699	3
700	2
701	0
702	1
703	0
704	1
705	1
706	1
707	3
708	0
709	1
710	5
711	1
712	2
713	2
714	0
715	0
716	0
717	0
718	1
719	0
720	1
721	0
722	1
723	1
724	1
725	1
726	2
727	2
728	0
729	1
730	1
731	0
732	1
733	0
734	1
735	1
736	0
737	1
738	0
739	2
740	2
741	1
742	2
743	0
744	0
745	2
746	0
747	0
748	3
749	1
750	1
751	1
752	2
753	1
754	0
755	1
756	0
757	1
758	2
759	0
760	0
761	0
762	0
763	1
764	0
765	0
766	1
767	0
768	2
769	1
770	0
771	1
772	1
773	0
774	0
775	0
776	2
777	2
778	0
779	1
780	0
781	1
782	0
783	1
784	1
785	0
786	0
787	0
788	0
789	0
790	2
791	0
792	3
793	0
794	1
795	1
796	0
797	2
798	0
799	1
800	1
801	0
802	1
803	0
804	2
805	1
806	1
807	1
808	0
809	1
810	0
811	0
812	2
813	0
814	0
815	0
816	0
817	2
818	2
819	0
820	0
821	0
822	1
823	1
824	1
825	1
826	0
827	1
828	0
829	1
830	1
831	0
832	1
833	0
834	2
835	0
836	1
837	0
838	1
839	0
840	0
841	1
842	0
843	2
844	1
845	1
846	1
847	1
848	1
849	0
850	2
851	0
852	0
853	0
854	1
855	0
856	1
857	1
858	0
859	0
860	2
861	1
862	2
863	0
864	0
865	1
866	0
867	2
868	2
869	0
870	0
871	0
872	3
873	0
874	1
875	0
876	2
877	0
878	0
879	0
880	1
881	0
882	0
883	2
884	1
885	1
886	1
887	3
888	0
889	4
890	0
891	0
892	0
893	0
894	0
895	2
896	2
897	0
898	1
899	1
900	2
901	0
902	0
903	0
904	1
905	1
906	1
907	0
908	2
909	1
910	0
911	1
912	0
913	0
914	0
915	0
916	1
917	0
918	1
919	1
920	1
921	1
922	0
923	1
924	0
925	0
926	1
927	0
928	0
929	0
930	1
931	1
932	0
933	2
934	0
935	1
936	0
937	1
938	2
939	1
940	2
941	0
942	2
943	1
944	0
945	0
946	1
947	0
948	0
949	0
950	2
951	1
952	1
953	1
954	3
955	2
956	1
957	1
958	0
959	0
960	0
961	0
962	2
963	0
964	0
965	1
966	0
967	3
968	0
969	0
970	1
971	1
972	0
973	0
974	0
975	1
976	0
977	0
978	0
979	0
980	0
981	1
982	2
983	0
984	1
985	1
986	1
987	1
988	0
989	1
990	1
991	0
992	1
993	1
994	0
995	0
996	0
997	1
998	1
999	0
1000	0
1001	2
1002	0
1003	1
1004	1
1005	1
1006	0
1007	2
1008	0
1009	1
1010	1
1011	2
1012	1
1013	0
1014	1
1015	0
1016	0
1017	2
1018	1
1019	1
1020	0
1021	2
1022	0
1023	1
1024	0
1025	0
1026	0
1027	0
1028	0
1029	1
1030	0
1031	1
1032	0
1033	1
1034	2
1035	0
1036	1
1037	1
1038	1
1039	2
1040	0
1041	0
1042	0
1043	0
1044	0
1045	2
1046	1
1047	0
1048	2
1049	1
1050	0
1051	0
1052	2
1053	1
1054	1
1055	1
1056	0
1057	1
1058	1
1059	0
1060	0
1061	2
1062	2
1063	4
1064	1
1065	1
1066	0
1067	0
1068	1
1069	0
1070	0
1071	0
1072	0
1073	1
1074	0
1075	0
1076	2
1077	1
1078	2
1079	3
1080	2
1081	4
1082	0
1083	0
1084	0
1085	1
1086	5
1087	0
1088	0
1089	0
1090	2
1091	3
1092	0
1093	0
1094	4
1095	0
1096	2
1097	2
1098	1
1099	0
1100	0
1101	0
1102	0
1103	3
1104	1
1105	0
1106	2
1107	1
1108	1
1109	0
1110	1
1111	1
1112	1
1113	1
1114	0
1115	2
1116	0
1117	1
1118	0
1119	1
1120	0
1121	1
1122	0
1123	1
1124	0
1125	2
1126	0
1127	0
1128	3
1129	2
1130	1
1131	1
1132	0
1133	1
1134	0
1135	0
1136	0
1137	1
1138	0
1139	0
1140	1
1141	1
1142	0
1143	0
1144	2
1145	0
1146	0
1147	1
1148	1
1149	1
1150	0
1151	1
1152	0
1153	1
1154	0
1155	3
1156	0
1157	0
1158	1
1159	1
1160	1
1161	4
1162	0
1163	2
1164	0
1165	0
1166	1
1167	1
1168	0
1169	1
1170	1
1171	1
1172	0
1173	1
1174	1
1175	0
1176	0
1177	2
1178	2
1179	0
1180	2
1181	0
1182	0
1183	0
1184	1
1185	2
1186	2
1187	0
1188	0
1189	0
1190	1
1191	1
1192	0
1193	0
1194	0
1195	1
1196	1
1197	1
1198	0
1199	0
1200	1
1201	1
1202	2
1203	1
1204	1
1205	2
1206	2
1207	0
1208	0
1209	1
1210	1
1211	0
1212	0
1213	0
1214	0
1215	3
1216	0
1217	0
1218	1
1219	0
1220	1
1221	0
1222	0
1223	1
1224	0
1225	0
1226	0
1227	2
1228	0
1229	0
1230	1
1231	0
1232	1
1233	1
1234	1
1235	1
1236	1
1237	0
1238	4
1239	1
1240	0
1241	0
1242	0
1243	0
1244	1
1245	0
1246	1
1247	1
1248	0
1249	2
1250	2
1251	0
1252	2
1253	1
1254	1
1255	0
1256	1
1257	2
1258	1
1259	0
1260	0
1261	1
1262	2
1263	1
1264	2
1265	0
1266	0
1267	0
1268	2
1269	1
1270	2
1271	0
1272	0
1273	1
1274	1
1275	0
1276	0
1277	1
1278	1
1279	0
1280	0
1281	0
1282	1
1283	1
1284	1
1285	0
1286	0
1287	1
1288	2
1289	0
1290	1
1291	1
1292	1
1293	0
1294	0
1295	0
1296	0
1297	0
1298	0
1299	0
1300	1
1301	0
1302	1
1303	1
1304	0
1305	0
1306	1
1307	2
1308	0
1309	2
1310	1
1311	0
1312	1
1313	1
1314	3
1315	0
1316	0
1317	0
1318	0
1319	0
1320	1
1321	1
1322	0
1323	3
1324	6
1325	1
1326	1
1327	1
1328	0
1329	0
1330	1
1331	0
1332	0
1333	1
1334	1
1335	0
1336	1
1337	1
1338	0
1339	0
1340	1
1341	1
1342	0
1343	1
1344	0
1345	0
1346	1
1347	1
1348	2
1349	0
1350	0
1351	1
1352	1
1353	0
1354	1
1355	1
1356	1
1357	2
1358	1
1359	0
1360	2
1361	0
1362	0
1363	2
1364	0
1365	2
1366	0
1367	0
1368	0
1369	2
1370	2
1371	1
1372	0
1373	0
1374	1
1375	2
1376	2
1377	1
1378	1
1379	1
1380	2
1381	0
1382	0
1383	2
1384	0
1385	0
1386	0
1387	0
1388	0
1389	1
1390	3
1391	0
1392	0
1393	1
1394	2
1395	0
1396	0
1397	2
1398	0
1399	2
1400	0
1401	1
1402	1
1403	1
1404	1
1405	0
1406	1
1407	0
1408	1
1409	2
1410	1
1411	2
1412	0
1413	0
1414	2
1415	0
1416	0
1417	1
1418	1
1419	1
1420	1
1421	1
1422	0
1423	1
1424	0
1425	0
1426	0
1427	2
1428	1
1429	2
1430	0
1431	0
1432	1
1433	2
1434	1
1435	1
1436	2
1437	0
1438	1
1439	1
1440	0
1441	1
1442	1
1443	1
1444	0
1445	0
1446	2
1447	1
1448	0
1449	1
1450	0
1451	1
1452	0
1453	1
1454	1
1455	0
1456	2
1457	2
1458	0
1459	2
1460	1
1461	1
1462	2
1463	1
1464	1
1465	1
1466	4
1467	1
1468	2
1469	1
1470	1
1471	0
1472	1
1473	1
1474	1
1475	1
1476	5
1477	1
1478	1
1479	3
1480	0
1481	2
1482	1
1483	0
1484	1
1485	0
1486	0
1487	1
1488	1
1489	2
1490	0
1491	2
1492	2
1493	1
1494	2
1495	0
1496	2
1497	3
1498	0
1499	0
1500	1
1501	2
1502	1
1503	0
1504	5
1505	1
1506	1
1507	0
1508	1
1509	0
1510	2
1511	1
1512	0
1513	1
1514	1
1515	2
1516	3
1517	0
1518	1
1519	1
1520	0
1521	1
1522	3
1523	2
1524	0
1525	1
1526	0
1527	2
1528	0
1529	1
1530	3
1531	1
1532	2
1533	2
1534	0
1535	0
1536	0
1537	0
1538	1
1539	0
1540	2
1541	0
1542	3
1543	0
1544	1
1545	1
1546	4
1547	1
1548	1
1549	0
1550	1
1551	1
1552	0
1553	1
1554	3
1555	0
1556	0
1557	0
1558	1
1559	1
1560	1
1561	0
1562	0
1563	2
1564	0
1565	1
1566	2
1567	0
1568	2
1569	1
1570	1
1571	0
1572	0
1573	1
1574	2
1575	0
1576	1
1577	1
1578	0
1579	0
1580	0
1581	0
1582	1
1583	2
1584	1
1585	1
1586	0
1587	0
1588	1
1589	2
1590	1
1591	0
1592	0
1593	2
1594	0
1595	0
1596	0
1597	2
1598	2
1599	2
1600	0
1601	2
1602	0
1603	2
1604	2
1605	0
1606	2
1607	3
1608	0
1609	0
1610	1
1611	3
1612	3
1613	2
1614	2
1615	0
1616	0
1617	1
1618	1
1619	0
1620	4
1621	0
1622	2
1623	0
1624	0
1625	0
1626	0
1627	1
1628	5
1629	1
1630	1
1631	1
1632	1
1633	1
1634	1
1635	1
1636	1
1637	0
1638	2
1639	1
1640	2
1641	0
1642	2
1643	2
1644	2
1645	1
1646	2
1647	1
1648	0
1649	1
1650	2
1651	2
1652	0
1653	1
1654	3
1655	1
1656	1
1657	0
1658	0
1659	1
1660	1
1661	2
1662	1
1663	0
1664	0
1665	0
1666	3
1667	1
1668	0
1669	0
1670	2
1671	1
1672	1
1673	4
1674	3
1675	2
1676	1
1677	4
1678	1
1679	1
1680	3
1681	4
1682	1
1683	0
1684	1
1685	1
1686	2
1687	1
1688	1
1689	2
1690	3
1691	0
1692	1
1693	3
1694	1
1695	1
1696	0
1697	1
1698	2
1699	2
1700	2
1701	3
1702	2
1703	0
1704	1
1705	2
1706	0
1707	0
1708	0
1709	1
1710	2
1711	2
1712	0
1713	0
1714	1
1715	4
1716	3
1717	2
1718	2
1719	3
1720	0
1721	3
1722	0
1723	0
1724	3
1725	0
1726	0
1727	0
1728	0
1729	1
1730	1
1731	1
1732	1
1733	1
1734	0
1735	1
1736	1
1737	1
1738	0
1739	2
1740	1
1741	1
1742	2
1743	1
1744	2
1745	1
1746	1
1747	1
1748	0
1749	0
1750	1
1751	1
1752	3
1753	0
1754	1
1755	0
1756	1
1757	1
1758	1
1759	1
1760	0
1761	0
1762	1
1763	0
1764	1
1765	0
1766	1
1767	1
1768	2
1769	5
1770	0
1771	2
1772	2
1773	2
1774	2
1775	1
1776	2
1777	2
1778	1
1779	0
1780	3
1781	1
1782	0
1783	1
1784	2
1785	4
1786	0
1787	3
1788	2
1789	1
1790	2
1791	1
1792	1
1793	2
1794	4
1795	2
1796	1
1797	1
1798	0
1799	0
1800	0
1801	3
1802	1
1803	1
1804	3
1805	1
1806	2
1807	2
1808	1
1809	2
1810	0
1811	2
1812	1
1813	1
1814	2
1815	1
1816	0
1817	1
1818	0
1819	0
1820	2
1821	0
1822	4
1823	4
1824	2
1825	2
1826	3
1827	0
1828	0
1829	0
1830	1
1831	0
1832	1
1833	4
1834	2
1835	2
1836	1
1837	0
1838	3
1839	1
1840	3
1841	0
1842	1
1843	0
1844	4
1845	2
1846	1
1847	0
1848	0
1849	5
1850	2
1851	0
1852	0
1853	1
1854	2
1855	2
1856	0
1857	1
1858	4
1859	1
1860	0
1861	2
1862	3
1863	0
1864	1
1865	2
1866	0
1867	3
1868	3
1869	0
1870	0
1871	0
1872	2
1873	0
1874	1
1875	2
1876	2
1877	0
1878	3
1879	2
1880	1
1881	1
1882	2
1883	1
1884	3
1885	4
1886	1
1887	2
1888	2
1889	2
1890	2
1891	2
1892	1
1893	1
1894	2
1895	1
1896	2
1897	2
1898	2
1899	1
1900	3
1901	2
1902	2
1903	1
1904	1
1905	1
1906	0
1907	1
1908	0
1909	0
1910	2
1911	2
1912	1
1913	2
1914	0
1915	2
1916	0
1917	2
1918	3
1919	1
1920	1
1921	0
1922	2
1923	2
1924	2
1925	0
1926	1
1927	1
1928	1
1929	1
1930	1
1931	0
1932	3
1933	1
1934	1
1935	2
1936	1
1937	1
1938	1
1939	4
1940	0
1941	1
1942	5
1943	0
1944	1
1945	1
1946	2
1947	1
1948	0
1949	2
1950	2
1951	3
1952	2
1953	1
1954	0
1955	0
1956	2
1957	1
1958	2
1959	3
1960	0
1961	2
1962	0
1963	3
1964	1
1965	3
1966	0
1967	0
1968	2
1969	0
1970	3
1971	2
1972	3
1973	1
1974	3
1975	2
1976	1
1977	3
1978	3
1979	0
1980	2
1981	1
1982	4
1983	4
1984	0
1985	2
1986	0
1987	1
1988	0
1989	2
1990	1
1991	0
1992	2
1993	3
1994	1
1995	2
1996	1
1997	1
1998	1
1999	2
2000	0
2001	2
2002	1
2003	1
2004	1
2005	2
2006	2
2007	3
2008	0
2009	0
2010	2
2011	2
2012	5
2013	4
2014	2
2015	2
2016	0
2017	1
2018	1
2019	2
2020	2
2021	0
2022	2
2023	1
2024	2
2025	4
2026	1
2027	0
2028	3
2029	0
2030	2
2031	1
2032	3
