Channel number	Impulses
Channel/#	Impulses/#

0	1
1	1
2	1
3	1
4	3
5	2
6	3
7	0
8	1
9	1
10	0
11	3
12	1
13	0
14	1
15	0
16	2
17	0
18	0
19	1
20	1
21	3
22	2
23	1
24	1
25	0
26	1
27	1
28	2
29	0
30	1
31	1
32	0
33	1
34	1
35	1
36	0
37	0
38	1
39	0
40	0
41	0
42	0
43	0
44	1
45	0
46	0
47	2
48	0
49	0
50	1
51	1
52	0
53	0
54	1
55	0
56	1
57	1
58	0
59	0
60	2
61	0
62	0
63	3
64	0
65	2
66	1
67	1
68	3
69	4
70	9
71	24
72	60
73	71
74	59
75	62
76	52
77	44
78	42
79	41
80	26
81	28
82	37
83	34
84	53
85	65
86	80
87	63
88	41
89	54
90	31
91	24
92	24
93	58
94	146
95	380
96	261
97	434
98	510
99	422
100	492
101	429
102	501
103	441
104	384
105	562
106	491
107	566
108	613
109	582
110	583
111	710
112	447
113	607
114	739
115	709
116	702
117	617
118	841
119	817
120	740
121	855
122	825
123	951
124	949
125	982
126	1058
127	1865
128	419
129	886
130	1069
131	1067
132	1146
133	1060
134	1291
135	1178
136	1122
137	1397
138	1227
139	1415
140	1417
141	1454
142	1544
143	1614
144	1161
145	1654
146	1725
147	1745
148	1652
149	1605
150	1976
151	1726
152	1669
153	2054
154	1898
155	2166
156	2014
157	2137
158	2264
159	3214
160	1350
161	2197
162	2436
163	2405
164	2709
165	2242
166	2915
167	2726
168	2321
169	2884
170	2725
171	2747
172	3034
173	2894
174	3101
175	3210
176	2561
177	3046
178	3313
179	3487
180	3251
181	3035
182	3874
183	3443
184	2999
185	3869
186	3348
187	3861
188	3752
189	3797
190	3959
191	5690
192	2394
193	3619
194	4188
195	3995
196	4485
197	3762
198	4721
199	3673
200	4023
201	4497
202	4107
203	4253
204	4789
205	4452
206	4658
207	4952
208	3663
209	4357
210	4938
211	4730
212	4838
213	4208
214	5329
215	4120
216	4644
217	5015
218	4674
219	4921
220	4887
221	4708
222	4977
223	6525
224	3373
225	4847
226	5099
227	4735
228	5416
229	4306
230	5574
231	4607
232	4476
233	5089
234	4637
235	4521
236	5325
237	4733
238	5056
239	4879
240	3911
241	4503
242	4922
243	4822
244	4950
245	3932
246	5131
247	4105
248	4174
249	4639
250	4327
251	4421
252	4469
253	4056
254	4503
255	6853
256	1492
257	3626
258	4188
259	4064
260	4203
261	3577
262	4168
263	3599
264	3447
265	3942
266	3493
267	3591
268	3897
269	3479
270	3419
271	3562
272	2716
273	3224
274	3307
275	3253
276	3110
277	2748
278	3355
279	2670
280	2683
281	3069
282	2640
283	2749
284	2676
285	2559
286	2668
287	3251
288	1753
289	2340
290	2442
291	2216
292	2550
293	1927
294	2380
295	2105
296	1825
297	2106
298	1835
299	1839
300	2023
301	1719
302	1913
303	1677
304	1499
305	1571
306	1725
307	1592
308	1569
309	1294
310	1732
311	1306
312	1269
313	1398
314	1320
315	1378
316	1309
317	1205
318	1253
319	1601
320	667
321	1032
322	1136
323	1062
324	1208
325	951
326	1185
327	848
328	983
329	1095
330	844
331	887
332	1045
333	872
334	883
335	917
336	715
337	832
338	872
339	925
340	857
341	734
342	920
343	685
344	782
345	868
346	758
347	811
348	775
349	800
350	825
351	988
352	608
353	773
354	828
355	710
356	941
357	627
358	880
359	759
360	671
361	838
362	765
363	772
364	918
365	783
366	823
367	815
368	656
369	753
370	852
371	825
372	822
373	690
374	957
375	764
376	763
377	787
378	812
379	870
380	892
381	849
382	937
383	1344
384	478
385	802
386	930
387	832
388	1007
389	802
390	1020
391	719
392	791
393	990
394	824
395	859
396	1003
397	837
398	961
399	844
400	792
401	800
402	936
403	843
404	868
405	777
406	975
407	712
408	849
409	966
410	827
411	858
412	882
413	838
414	858
415	1080
416	624
417	814
418	892
419	784
420	953
421	691
422	931
423	672
424	672
425	785
426	717
427	647
428	866
429	755
430	739
431	642
432	724
433	681
434	748
435	708
436	690
437	579
438	737
439	567
440	544
441	640
442	557
443	584
444	635
445	580
446	589
447	715
448	360
449	517
450	564
451	442
452	570
453	415
454	512
455	367
456	494
457	461
458	400
459	392
460	480
461	333
462	446
463	369
464	352
465	388
466	372
467	337
468	349
469	303
470	391
471	236
472	324
473	334
474	285
475	275
476	272
477	241
478	252
479	291
480	198
481	212
482	233
483	172
484	227
485	184
486	213
487	164
488	187
489	197
490	161
491	144
492	195
493	143
494	162
495	117
496	139
497	149
498	134
499	95
500	127
501	84
502	114
503	77
504	93
505	106
506	87
507	95
508	106
509	72
510	91
511	131
512	23
513	55
514	54
515	47
516	67
517	58
518	63
519	45
520	51
521	69
522	38
523	36
524	41
525	39
526	39
527	31
528	36
529	24
530	26
531	24
532	31
533	25
534	26
535	19
536	23
537	16
538	19
539	20
540	20
541	26
542	16
543	22
544	12
545	17
546	16
547	13
548	20
549	14
550	12
551	13
552	12
553	5
554	13
555	9
556	6
557	11
558	9
559	10
560	6
561	10
562	5
563	9
564	7
565	8
566	7
567	9
568	6
569	9
570	5
571	5
572	5
573	11
574	2
575	11
576	5
577	7
578	10
579	10
580	15
581	8
582	4
583	7
584	5
585	8
586	7
587	6
588	9
589	10
590	9
591	7
592	5
593	5
594	11
595	13
596	11
597	7
598	7
599	4
600	12
601	8
602	10
603	8
604	11
605	9
606	11
607	9
608	9
609	5
610	7
611	4
612	7
613	7
614	13
615	7
616	7
617	9
618	8
619	9
620	8
621	16
622	6
623	8
624	15
625	14
626	11
627	11
628	8
629	7
630	17
631	12
632	10
633	8
634	6
635	22
636	3
637	8
638	16
639	14
640	5
641	11
642	7
643	15
644	9
645	11
646	9
647	12
648	9
649	9
650	10
651	11
652	3
653	17
654	13
655	10
656	9
657	10
658	7
659	9
660	8
661	7
662	17
663	8
664	6
665	10
666	11
667	11
668	4
669	8
670	12
671	16
672	8
673	11
674	9
675	7
676	9
677	9
678	17
679	12
680	8
681	13
682	8
683	10
684	9
685	9
686	13
687	12
688	7
689	10
690	17
691	6
692	7
693	16
694	13
695	7
696	8
697	15
698	8
699	9
700	11
701	10
702	24
703	12
704	12
705	15
706	16
707	10
708	11
709	10
710	11
711	14
712	8
713	16
714	9
715	9
716	14
717	12
718	10
719	13
720	10
721	14
722	9
723	9
724	14
725	4
726	13
727	8
728	11
729	9
730	13
731	9
732	17
733	12
734	14
735	11
736	7
737	11
738	20
739	8
740	24
741	14
742	25
743	15
744	19
745	14
746	14
747	18
748	26
749	16
750	25
751	19
752	12
753	13
754	16
755	15
756	28
757	18
758	21
759	19
760	26
761	19
762	18
763	25
764	26
765	18
766	18
767	23
768	9
769	23
770	29
771	21
772	13
773	8
774	26
775	19
776	19
777	23
778	29
779	22
780	26
781	15
782	15
783	24
784	24
785	22
786	24
787	19
788	27
789	21
790	38
791	19
792	19
793	24
794	22
795	18
796	27
797	22
798	25
799	23
800	21
801	13
802	27
803	22
804	36
805	18
806	26
807	24
808	28
809	25
810	16
811	23
812	31
813	25
814	25
815	19
816	18
817	26
818	23
819	24
820	16
821	12
822	27
823	25
824	17
825	28
826	20
827	18
828	22
829	17
830	23
831	16
832	18
833	22
834	23
835	18
836	17
837	19
838	22
839	15
840	28
841	18
842	18
843	12
844	24
845	17
846	20
847	17
848	8
849	12
850	21
851	19
852	16
853	12
854	18
855	9
856	15
857	13
858	12
859	13
860	18
861	13
862	11
863	15
864	13
865	20
866	16
867	10
868	12
869	8
870	22
871	9
872	10
873	12
874	8
875	9
876	13
877	12
878	12
879	11
880	7
881	9
882	12
883	11
884	13
885	6
886	13
887	13
888	9
889	13
890	10
891	13
892	12
893	10
894	14
895	17
896	5
897	10
898	5
899	10
900	10
901	8
902	8
903	4
904	6
905	11
906	9
907	5
908	9
909	7
910	7
911	6
912	6
913	10
914	8
915	13
916	12
917	5
918	7
919	9
920	9
921	10
922	8
923	10
924	11
925	11
926	11
927	4
928	4
929	10
930	8
931	4
932	8
933	7
934	11
935	5
936	3
937	12
938	5
939	4
940	8
941	8
942	12
943	9
944	12
945	11
946	8
947	11
948	12
949	6
950	10
951	10
952	11
953	8
954	7
955	12
956	13
957	6
958	17
959	18
960	5
961	14
962	11
963	10
964	11
965	7
966	14
967	6
968	9
969	8
970	6
971	22
972	15
973	6
974	7
975	15
976	10
977	10
978	12
979	13
980	8
981	6
982	15
983	6
984	14
985	14
986	12
987	13
988	16
989	13
990	14
991	15
992	6
993	7
994	20
995	6
996	20
997	7
998	9
999	12
1000	12
1001	16
1002	13
1003	8
1004	15
1005	11
1006	10
1007	8
1008	13
1009	12
1010	14
1011	12
1012	14
1013	9
1014	14
1015	10
1016	11
1017	16
1018	18
1019	15
1020	9
1021	14
1022	6
1023	25
1024	3
1025	11
1026	17
1027	10
1028	10
1029	10
1030	13
1031	12
1032	12
1033	15
1034	9
1035	10
1036	16
1037	13
1038	21
1039	16
1040	9
1041	16
1042	11
1043	18
1044	19
1045	10
1046	9
1047	6
1048	11
1049	12
1050	4
1051	21
1052	12
1053	7
1054	12
1055	15
1056	6
1057	10
1058	14
1059	15
1060	15
1061	7
1062	10
1063	12
1064	10
1065	19
1066	7
1067	12
1068	16
1069	13
1070	10
1071	9
1072	6
1073	11
1074	18
1075	12
1076	12
1077	11
1078	10
1079	10
1080	7
1081	12
1082	10
1083	12
1084	13
1085	6
1086	11
1087	10
1088	4
1089	14
1090	8
1091	14
1092	2
1093	5
1094	12
1095	6
1096	6
1097	15
1098	7
1099	8
1100	10
1101	5
1102	13
1103	11
1104	4
1105	7
1106	9
1107	8
1108	8
1109	6
1110	3
1111	3
1112	7
1113	11
1114	3
1115	8
1116	6
1117	11
1118	7
1119	13
1120	5
1121	6
1122	9
1123	11
1124	14
1125	6
1126	9
1127	4
1128	7
1129	8
1130	11
1131	10
1132	10
1133	9
1134	8
1135	4
1136	9
1137	5
1138	9
1139	10
1140	7
1141	5
1142	10
1143	5
1144	5
1145	8
1146	10
1147	10
1148	5
1149	10
1150	7
1151	13
1152	4
1153	3
1154	6
1155	6
1156	10
1157	6
1158	10
1159	8
1160	6
1161	10
1162	4
1163	4
1164	7
1165	9
1166	10
1167	10
1168	7
1169	7
1170	9
1171	7
1172	9
1173	5
1174	10
1175	11
1176	4
1177	7
1178	3
1179	6
1180	16
1181	5
1182	10
1183	12
1184	6
1185	6
1186	10
1187	11
1188	9
1189	7
1190	11
1191	3
1192	6
1193	12
1194	7
1195	8
1196	8
1197	8
1198	9
1199	9
1200	9
1201	3
1202	9
1203	5
1204	9
1205	7
1206	12
1207	4
1208	5
1209	9
1210	3
1211	9
1212	8
1213	10
1214	10
1215	18
1216	6
1217	10
1218	11
1219	13
1220	13
1221	8
1222	10
1223	7
1224	18
1225	13
1226	11
1227	9
1228	9
1229	9
1230	7
1231	8
1232	9
1233	16
1234	10
1235	5
1236	10
1237	12
1238	16
1239	13
1240	9
1241	16
1242	5
1243	8
1244	13
1245	10
1246	19
1247	14
1248	7
1249	14
1250	14
1251	6
1252	16
1253	18
1254	9
1255	9
1256	8
1257	9
1258	9
1259	11
1260	22
1261	16
1262	13
1263	12
1264	15
1265	8
1266	14
1267	17
1268	5
1269	9
1270	13
1271	9
1272	13
1273	12
1274	10
1275	13
1276	12
1277	5
1278	12
1279	21
1280	6
1281	9
1282	9
1283	12
1284	15
1285	9
1286	22
1287	13
1288	11
1289	13
1290	6
1291	7
1292	10
1293	11
1294	16
1295	11
1296	9
1297	12
1298	12
1299	12
1300	14
1301	11
1302	10
1303	11
1304	9
1305	12
1306	12
1307	11
1308	11
1309	10
1310	8
1311	14
1312	8
1313	10
1314	9
1315	13
1316	10
1317	6
1318	14
1319	11
1320	10
1321	19
1322	12
1323	4
1324	8
1325	8
1326	11
1327	10
1328	8
1329	6
1330	10
1331	13
1332	7
1333	7
1334	10
1335	6
1336	7
1337	12
1338	8
1339	7
1340	12
1341	13
1342	7
1343	15
1344	4
1345	7
1346	11
1347	9
1348	10
1349	7
1350	7
1351	5
1352	8
1353	13
1354	7
1355	18
1356	15
1357	10
1358	8
1359	7
1360	3
1361	14
1362	11
1363	6
1364	10
1365	14
1366	8
1367	10
1368	8
1369	9
1370	11
1371	11
1372	13
1373	7
1374	13
1375	12
1376	3
1377	7
1378	10
1379	14
1380	12
1381	12
1382	15
1383	6
1384	7
1385	13
1386	9
1387	9
1388	14
1389	13
1390	11
1391	7
1392	10
1393	16
1394	7
1395	18
1396	12
1397	12
1398	10
1399	11
1400	13
1401	11
1402	9
1403	10
1404	11
1405	5
1406	13
1407	18
1408	4
1409	13
1410	15
1411	9
1412	14
1413	6
1414	14
1415	11
1416	6
1417	30
1418	5
1419	5
1420	13
1421	16
1422	12
1423	5
1424	12
1425	12
1426	13
1427	13
1428	13
1429	10
1430	24
1431	10
1432	15
1433	20
1434	13
1435	8
1436	18
1437	17
1438	10
1439	21
1440	13
1441	8
1442	16
1443	8
1444	22
1445	7
1446	16
1447	13
1448	11
1449	16
1450	11
1451	14
1452	20
1453	12
1454	19
1455	12
1456	12
1457	15
1458	18
1459	9
1460	9
1461	11
1462	12
1463	11
1464	12
1465	19
1466	15
1467	15
1468	18
1469	11
1470	24
1471	12
1472	12
1473	14
1474	14
1475	18
1476	20
1477	9
1478	21
1479	11
1480	12
1481	13
1482	16
1483	14
1484	16
1485	17
1486	5
1487	12
1488	16
1489	10
1490	17
1491	20
1492	10
1493	9
1494	15
1495	12
1496	12
1497	12
1498	9
1499	11
1500	4
1501	14
1502	11
1503	13
1504	15
1505	9
1506	14
1507	7
1508	16
1509	15
1510	15
1511	10
1512	10
1513	11
1514	9
1515	8
1516	11
1517	6
1518	14
1519	12
1520	6
1521	10
1522	12
1523	18
1524	17
1525	12
1526	12
1527	10
1528	7
1529	6
1530	6
1531	10
1532	12
1533	10
1534	11
1535	19
1536	10
1537	12
1538	10
1539	4
1540	8
1541	8
1542	9
1543	5
1544	9
1545	10
1546	14
1547	6
1548	13
1549	8
1550	11
1551	10
1552	5
1553	6
1554	16
1555	11
1556	5
1557	11
1558	12
1559	8
1560	12
1561	8
1562	8
1563	11
1564	10
1565	3
1566	11
1567	7
1568	5
1569	7
1570	10
1571	4
1572	9
1573	11
1574	7
1575	6
1576	8
1577	10
1578	8
1579	7
1580	10
1581	14
1582	14
1583	10
1584	7
1585	6
1586	13
1587	6
1588	10
1589	5
1590	15
1591	7
1592	8
1593	13
1594	9
1595	8
1596	10
1597	14
1598	10
1599	9
1600	8
1601	8
1602	12
1603	10
1604	9
1605	10
1606	11
1607	7
1608	7
1609	13
1610	6
1611	8
1612	12
1613	9
1614	10
1615	10
1616	4
1617	7
1618	11
1619	11
1620	10
1621	6
1622	14
1623	10
1624	9
1625	12
1626	8
1627	8
1628	12
1629	13
1630	8
1631	11
1632	9
1633	10
1634	7
1635	8
1636	10
1637	6
1638	12
1639	10
1640	6
1641	11
1642	7
1643	7
1644	12
1645	7
1646	11
1647	14
1648	5
1649	9
1650	15
1651	16
1652	17
1653	12
1654	14
1655	12
1656	8
1657	9
1658	11
1659	9
1660	8
1661	12
1662	11
1663	15
1664	6
1665	15
1666	11
1667	13
1668	15
1669	9
1670	11
1671	9
1672	9
1673	9
1674	13
1675	7
1676	11
1677	8
1678	10
1679	13
1680	6
1681	15
1682	15
1683	16
1684	10
1685	15
1686	11
1687	8
1688	10
1689	8
1690	9
1691	7
1692	13
1693	13
1694	7
1695	16
1696	7
1697	14
1698	17
1699	7
1700	12
1701	6
1702	14
1703	9
1704	10
1705	9
1706	7
1707	13
1708	17
1709	20
1710	14
1711	8
1712	8
1713	5
1714	3
1715	13
1716	13
1717	10
1718	11
1719	17
1720	9
1721	17
1722	11
1723	11
1724	14
1725	6
1726	15
1727	8
1728	19
1729	12
1730	11
1731	10
1732	15
1733	11
1734	18
1735	6
1736	16
1737	16
1738	6
1739	7
1740	12
1741	8
1742	15
1743	11
1744	9
1745	16
1746	17
1747	20
1748	12
1749	6
1750	19
1751	10
1752	17
1753	10
1754	8
1755	14
1756	10
1757	16
1758	18
1759	13
1760	9
1761	4
1762	15
1763	14
1764	19
1765	10
1766	13
1767	13
1768	16
1769	9
1770	18
1771	13
1772	22
1773	15
1774	15
1775	10
1776	17
1777	15
1778	19
1779	13
1780	14
1781	13
1782	15
1783	16
1784	15
1785	12
1786	18
1787	12
1788	10
1789	17
1790	16
1791	34
1792	13
1793	20
1794	13
1795	14
1796	24
1797	16
1798	21
1799	17
1800	9
1801	14
1802	13
1803	13
1804	25
1805	12
1806	15
1807	10
1808	19
1809	11
1810	25
1811	19
1812	10
1813	7
1814	22
1815	16
1816	13
1817	19
1818	9
1819	18
1820	17
1821	12
1822	15
1823	10
1824	12
1825	10
1826	16
1827	11
1828	20
1829	14
1830	20
1831	15
1832	15
1833	11
1834	13
1835	16
1836	14
1837	17
1838	16
1839	12
1840	12
1841	18
1842	17
1843	15
1844	18
1845	14
1846	18
1847	10
1848	18
1849	15
1850	7
1851	17
1852	21
1853	23
1854	18
1855	17
1856	11
1857	11
1858	12
1859	16
1860	14
1861	10
1862	22
1863	8
1864	16
1865	23
1866	16
1867	18
1868	15
1869	19
1870	12
1871	11
1872	11
1873	9
1874	18
1875	10
1876	9
1877	12
1878	14
1879	13
1880	16
1881	11
1882	10
1883	10
1884	14
1885	8
1886	14
1887	16
1888	7
1889	7
1890	10
1891	14
1892	13
1893	9
1894	14
1895	8
1896	13
1897	12
1898	6
1899	6
1900	15
1901	13
1902	9
1903	7
1904	10
1905	12
1906	7
1907	13
1908	16
1909	10
1910	17
1911	6
1912	10
1913	12
1914	8
1915	6
1916	16
1917	9
1918	10
1919	11
1920	8
1921	12
1922	7
1923	7
1924	16
1925	14
1926	11
1927	8
1928	9
1929	8
1930	5
1931	7
1932	9
1933	15
1934	7
1935	7
1936	13
1937	7
1938	6
1939	9
1940	9
1941	11
1942	13
1943	5
1944	11
1945	11
1946	6
1947	7
1948	6
1949	16
1950	13
1951	7
1952	6
1953	7
1954	10
1955	8
1956	14
1957	6
1958	10
1959	4
1960	6
1961	10
1962	12
1963	6
1964	10
1965	11
1966	10
1967	4
1968	17
1969	15
1970	13
1971	13
1972	5
1973	9
1974	12
1975	10
1976	9
1977	5
1978	11
1979	8
1980	11
1981	11
1982	7
1983	6
1984	6
1985	11
1986	9
1987	3
1988	11
1989	16
1990	10
1991	7
