Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	1
73	2
74	1
75	2
76	0
77	1
78	0
79	0
80	0
81	0
82	1
83	2
84	0
85	0
86	2
87	0
88	0
89	0
90	1
91	1
92	1
93	2
94	2
95	9
96	6
97	7
98	11
99	9
100	8
101	8
102	11
103	6
104	4
105	6
106	6
107	8
108	5
109	4
110	4
111	10
112	3
113	16
114	7
115	10
116	6
117	5
118	13
119	7
120	3
121	6
122	4
123	13
124	4
125	9
126	6
127	16
128	1
129	2
130	3
131	7
132	6
133	7
134	6
135	1
136	7
137	3
138	6
139	5
140	6
141	5
142	7
143	12
144	5
145	8
146	6
147	6
148	7
149	7
150	10
151	6
152	8
153	7
154	6
155	14
156	6
157	4
158	7
159	9
160	3
161	7
162	3
163	9
164	3
165	9
166	6
167	7
168	6
169	12
170	4
171	9
172	5
173	12
174	5
175	5
176	11
177	13
178	9
179	6
180	10
181	5
182	9
183	6
184	10
185	5
186	9
187	13
188	7
189	7
190	8
191	9
192	3
193	7
194	3
195	10
196	8
197	10
198	17
199	8
200	13
201	6
202	16
203	10
204	10
205	9
206	17
207	11
208	6
209	9
210	6
211	11
212	13
213	9
214	11
215	14
216	7
217	6
218	14
219	12
220	8
221	6
222	11
223	14
224	7
225	9
226	17
227	9
228	7
229	10
230	7
231	5
232	4
233	11
234	6
235	12
236	7
237	5
238	8
239	9
240	9
241	6
242	8
243	8
244	12
245	8
246	12
247	9
248	9
249	5
250	11
251	16
252	8
253	9
254	11
255	16
256	0
257	13
258	7
259	11
260	12
261	12
262	11
263	6
264	9
265	16
266	11
267	13
268	13
269	9
270	9
271	13
272	13
273	6
274	14
275	10
276	15
277	5
278	9
279	12
280	10
281	13
282	12
283	10
284	10
285	9
286	9
287	10
288	8
289	10
290	9
291	7
292	18
293	14
294	13
295	11
296	3
297	8
298	15
299	10
300	10
301	6
302	14
303	9
304	9
305	11
306	7
307	10
308	6
309	10
310	10
311	12
312	15
313	11
314	7
315	13
316	6
317	14
318	10
319	15
320	1
321	14
322	7
323	11
324	10
325	10
326	12
327	8
328	14
329	18
330	9
331	16
332	15
333	10
334	17
335	19
336	4
337	10
338	15
339	11
340	10
341	10
342	14
343	9
344	10
345	15
346	14
347	9
348	13
349	15
350	12
351	19
352	14
353	6
354	16
355	16
356	12
357	10
358	14
359	11
360	13
361	12
362	14
363	18
364	18
365	13
366	10
367	13
368	16
369	14
370	13
371	11
372	17
373	13
374	19
375	8
376	4
377	7
378	10
379	18
380	16
381	10
382	9
383	18
384	3
385	15
386	19
387	10
388	19
389	15
390	14
391	12
392	20
393	9
394	10
395	15
396	15
397	12
398	13
399	15
400	11
401	13
402	23
403	17
404	19
405	9
406	13
407	11
408	18
409	13
410	13
411	15
412	20
413	13
414	16
415	27
416	9
417	13
418	17
419	15
420	9
421	20
422	23
423	10
424	18
425	27
426	11
427	14
428	20
429	19
430	18
431	13
432	17
433	19
434	17
435	21
436	22
437	12
438	10
439	19
440	13
441	15
442	14
443	31
444	19
445	11
446	23
447	23
448	16
449	22
450	22
451	22
452	26
453	16
454	12
455	12
456	12
457	17
458	19
459	23
460	21
461	26
462	17
463	15
464	18
465	23
466	16
467	18
468	13
469	14
470	27
471	17
472	22
473	26
474	18
475	32
476	25
477	18
478	20
479	21
480	23
481	27
482	28
483	23
484	34
485	20
486	14
487	19
488	16
489	33
490	25
491	22
492	23
493	22
494	21
495	17
496	18
497	30
498	23
499	27
500	20
501	13
502	26
503	24
504	25
505	33
506	20
507	17
508	21
509	27
510	20
511	51
512	9
513	21
514	26
515	34
516	30
517	27
518	23
519	20
520	29
521	29
522	27
523	30
524	37
525	26
526	30
527	24
528	26
529	27
530	21
531	34
532	32
533	23
534	41
535	38
536	26
537	43
538	23
539	26
540	22
541	35
542	41
543	57
544	18
545	37
546	33
547	26
548	38
549	40
550	35
551	36
552	36
553	46
554	39
555	41
556	49
557	49
558	50
559	46
560	33
561	43
562	40
563	42
564	46
565	42
566	49
567	49
568	38
569	58
570	60
571	73
572	56
573	51
574	65
575	94
576	43
577	59
578	63
579	70
580	67
581	67
582	73
583	67
584	71
585	70
586	71
587	85
588	84
589	79
590	73
591	106
592	67
593	95
594	100
595	90
596	85
597	90
598	109
599	88
600	100
601	117
602	110
603	122
604	126
605	125
606	129
607	157
608	108
609	128
610	144
611	123
612	153
613	101
614	169
615	140
616	121
617	167
618	127
619	144
620	161
621	160
622	165
623	162
624	137
625	165
626	178
627	181
628	166
629	175
630	228
631	182
632	160
633	219
634	188
635	196
636	193
637	184
638	236
639	353
640	108
641	180
642	207
643	224
644	206
645	176
646	221
647	197
648	198
649	227
650	181
651	226
652	253
653	232
654	220
655	223
656	175
657	230
658	219
659	244
660	215
661	179
662	263
663	176
664	216
665	262
666	220
667	225
668	211
669	212
670	235
671	303
672	171
673	237
674	197
675	218
676	259
677	189
678	255
679	210
680	222
681	266
682	187
683	171
684	255
685	207
686	205
687	169
688	190
689	196
690	216
691	227
692	196
693	182
694	214
695	186
696	167
697	215
698	191
699	210
700	178
701	169
702	197
703	211
704	129
705	155
706	182
707	168
708	190
709	120
710	155
711	129
712	132
713	161
714	119
715	144
716	154
717	124
718	148
719	128
720	106
721	133
722	126
723	146
724	141
725	83
726	133
727	90
728	140
729	124
730	106
731	109
732	121
733	92
734	108
735	125
736	76
737	88
738	103
739	85
740	97
741	72
742	88
743	73
744	77
745	107
746	90
747	78
748	102
749	78
750	68
751	82
752	59
753	87
754	63
755	80
756	99
757	54
758	78
759	76
760	54
761	62
762	69
763	85
764	93
765	64
766	79
767	87
768	38
769	65
770	71
771	81
772	61
773	55
774	73
775	49
776	59
777	56
778	52
779	67
780	69
781	63
782	59
783	57
784	60
785	65
786	68
787	65
788	63
789	47
790	76
791	53
792	62
793	71
794	58
795	68
796	65
797	60
798	65
799	81
800	54
801	65
802	64
803	70
804	75
805	58
806	80
807	67
808	60
809	74
810	49
811	72
812	93
813	66
814	64
815	66
816	66
817	64
818	96
819	70
820	84
821	72
822	88
823	64
824	71
825	82
826	77
827	77
828	66
829	69
830	88
831	119
832	54
833	84
834	88
835	96
836	88
837	76
838	120
839	80
840	77
841	97
842	87
843	100
844	123
845	97
846	103
847	103
848	81
849	80
850	87
851	118
852	81
853	83
854	112
855	76
856	107
857	117
858	99
859	107
860	102
861	98
862	92
863	120
864	95
865	104
866	106
867	96
868	124
869	96
870	124
871	81
872	84
873	118
874	94
875	102
876	127
877	95
878	109
879	89
880	82
881	103
882	123
883	103
884	96
885	86
886	119
887	81
888	106
889	113
890	101
891	110
892	114
893	111
894	109
895	162
896	56
897	92
898	116
899	111
900	126
901	93
902	110
903	63
904	85
905	103
906	85
907	80
908	102
909	96
910	86
911	75
912	79
913	95
914	105
915	84
916	83
917	72
918	115
919	74
920	77
921	84
922	81
923	74
924	83
925	79
926	80
927	106
928	65
929	70
930	79
931	69
932	84
933	64
934	85
935	75
936	80
937	79
938	61
939	64
940	79
941	67
942	78
943	60
944	78
945	67
946	81
947	69
948	67
949	50
950	97
951	67
952	53
953	64
954	59
955	80
956	70
957	53
958	62
959	87
960	49
961	54
962	57
963	53
964	78
965	40
966	74
967	48
968	80
969	55
970	69
971	55
972	78
973	44
974	60
975	55
976	48
977	69
978	71
979	48
980	59
981	43
982	76
983	32
984	53
985	64
986	45
987	63
988	57
989	60
990	62
991	59
992	51
993	44
994	53
995	60
996	75
997	37
998	86
999	47
1000	50
1001	61
1002	62
1003	42
1004	71
1005	58
1006	58
1007	49
1008	48
1009	57
1010	57
1011	57
1012	57
1013	43
1014	67
1015	42
1016	63
1017	62
1018	55
1019	51
1020	53
1021	56
1022	65
1023	100
1024	15
1025	45
1026	63
1027	69
1028	60
1029	55
1030	70
1031	61
1032	58
1033	73
1034	49
1035	79
1036	52
1037	70
1038	65
1039	62
1040	37
1041	49
1042	54
1043	70
1044	61
1045	61
1046	59
1047	46
1048	58
1049	73
1050	55
1051	78
1052	57
1053	61
1054	57
1055	79
1056	31
1057	36
1058	53
1059	72
1060	62
1061	43
1062	64
1063	49
1064	38
1065	77
1066	53
1067	81
1068	50
1069	53
1070	66
1071	68
1072	42
1073	53
1074	39
1075	77
1076	63
1077	46
1078	72
1079	56
1080	43
1081	67
1082	51
1083	82
1084	57
1085	73
1086	68
1087	76
1088	24
1089	54
1090	67
1091	55
1092	66
1093	45
1094	68
1095	57
1096	56
1097	76
1098	61
1099	60
1100	77
1101	73
1102	65
1103	75
1104	49
1105	46
1106	62
1107	53
1108	50
1109	59
1110	86
1111	57
1112	51
1113	71
1114	55
1115	55
1116	69
1117	60
1118	53
1119	82
1120	36
1121	67
1122	69
1123	72
1124	64
1125	45
1126	65
1127	67
1128	47
1129	85
1130	49
1131	61
1132	56
1133	63
1134	57
1135	56
1136	37
1137	70
1138	50
1139	67
1140	62
1141	54
1142	64
1143	64
1144	42
1145	63
1146	59
1147	58
1148	43
1149	60
1150	56
1151	87
1152	23
1153	62
1154	60
1155	53
1156	54
1157	49
1158	74
1159	51
1160	50
1161	75
1162	54
1163	60
1164	66
1165	67
1166	52
1167	71
1168	46
1169	57
1170	51
1171	73
1172	52
1173	48
1174	67
1175	62
1176	62
1177	61
1178	48
1179	73
1180	56
1181	55
1182	66
1183	96
1184	30
1185	58
1186	72
1187	54
1188	78
1189	49
1190	78
1191	69
1192	47
1193	63
1194	71
1195	64
1196	67
1197	67
1198	67
1199	63
1200	50
1201	59
1202	49
1203	66
1204	64
1205	52
1206	72
1207	54
1208	44
1209	65
1210	37
1211	89
1212	53
1213	53
1214	59
1215	70
1216	50
1217	82
1218	51
1219	53
1220	78
1221	70
1222	87
1223	60
1224	48
1225	67
1226	41
1227	76
1228	77
1229	60
1230	74
1231	70
1232	55
1233	61
1234	77
1235	57
1236	63
1237	56
1238	55
1239	61
1240	55
1241	60
1242	55
1243	56
1244	52
1245	71
1246	67
1247	89
1248	45
1249	56
1250	62
1251	57
1252	77
1253	64
1254	71
1255	44
1256	51
1257	61
1258	62
1259	72
1260	74
1261	75
1262	65
1263	61
1264	48
1265	76
1266	65
1267	60
1268	52
1269	52
1270	95
1271	60
1272	55
1273	64
1274	57
1275	55
1276	68
1277	61
1278	61
1279	112
1280	28
1281	59
1282	55
1283	66
1284	69
1285	50
1286	78
1287	57
1288	50
1289	76
1290	40
1291	66
1292	71
1293	81
1294	72
1295	64
1296	52
1297	63
1298	63
1299	73
1300	60
1301	70
1302	74
1303	69
1304	64
1305	80
1306	50
1307	78
1308	53
1309	57
1310	66
1311	69
1312	40
1313	67
1314	73
1315	81
1316	73
1317	54
1318	84
1319	66
1320	45
1321	79
1322	64
1323	68
1324	89
1325	64
1326	65
1327	58
1328	54
1329	56
1330	65
1331	84
1332	66
1333	58
1334	76
1335	77
1336	58
1337	81
1338	65
1339	87
1340	73
1341	63
1342	59
1343	88
1344	31
1345	53
1346	76
1347	61
1348	61
1349	47
1350	79
1351	56
1352	62
1353	80
1354	69
1355	62
1356	52
1357	95
1358	61
1359	73
1360	55
1361	43
1362	62
1363	75
1364	66
1365	39
1366	83
1367	43
1368	49
1369	66
1370	49
1371	59
1372	74
1373	68
1374	59
1375	67
1376	54
1377	47
1378	60
1379	59
1380	71
1381	56
1382	74
1383	55
1384	43
1385	74
1386	55
1387	59
1388	91
1389	61
1390	68
1391	53
1392	55
1393	49
1394	80
1395	78
1396	49
1397	46
1398	74
1399	42
1400	55
1401	69
1402	59
1403	72
1404	62
1405	62
1406	79
1407	110
1408	49
1409	52
1410	60
1411	59
1412	68
1413	52
1414	83
1415	56
1416	67
1417	73
1418	58
1419	55
1420	69
1421	57
1422	55
1423	62
1424	49
1425	56
1426	61
1427	75
1428	74
1429	53
1430	78
1431	46
1432	62
1433	63
1434	56
1435	80
1436	50
1437	52
1438	63
1439	82
1440	42
1441	57
1442	71
1443	52
1444	65
1445	44
1446	67
1447	63
1448	59
1449	74
1450	49
1451	62
1452	71
1453	65
1454	50
1455	61
1456	76
1457	69
1458	71
1459	66
1460	72
1461	46
1462	62
1463	60
1464	43
1465	81
1466	61
1467	77
1468	72
1469	68
1470	71
1471	85
1472	41
1473	59
1474	60
1475	67
1476	69
1477	47
1478	68
1479	49
1480	79
1481	71
1482	59
1483	61
1484	73
1485	78
1486	80
1487	52
1488	49
1489	48
1490	64
1491	73
1492	72
1493	45
1494	75
1495	42
1496	64
1497	66
1498	71
1499	82
1500	80
1501	69
1502	61
1503	83
1504	45
1505	68
1506	60
1507	48
1508	55
1509	41
1510	70
1511	66
1512	48
1513	60
1514	68
1515	60
1516	74
1517	76
1518	75
1519	75
1520	59
1521	55
1522	64
1523	67
1524	75
1525	59
1526	66
1527	71
1528	65
1529	66
1530	80
1531	76
1532	75
1533	61
1534	80
1535	94
1536	39
1537	61
1538	50
1539	70
1540	74
1541	74
1542	77
1543	72
1544	45
1545	84
1546	51
1547	58
1548	64
1549	70
1550	73
1551	72
1552	40
1553	65
1554	77
1555	58
1556	67
1557	47
1558	74
1559	42
1560	59
1561	57
1562	39
1563	62
1564	57
1565	56
1566	67
1567	75
1568	52
1569	65
1570	55
1571	64
1572	74
1573	38
1574	72
1575	58
1576	53
1577	69
1578	54
1579	56
1580	68
1581	76
1582	57
1583	61
1584	56
1585	70
1586	64
1587	77
1588	49
1589	49
1590	75
1591	61
1592	44
1593	73
1594	48
1595	65
1596	68
1597	64
1598	57
1599	82
1600	42
1601	61
1602	67
1603	63
1604	72
1605	48
1606	72
1607	50
1608	61
1609	69
1610	48
1611	56
1612	71
1613	74
1614	54
1615	75
1616	59
1617	53
1618	53
1619	81
1620	73
1621	55
1622	75
1623	48
1624	59
1625	79
1626	45
1627	73
1628	54
1629	48
1630	70
1631	83
1632	55
1633	58
1634	66
1635	60
1636	64
1637	55
1638	81
1639	61
1640	50
1641	74
1642	57
1643	60
1644	72
1645	62
1646	59
1647	54
1648	54
1649	58
1650	66
1651	69
1652	56
1653	50
1654	69
1655	51
1656	53
1657	52
1658	61
1659	66
1660	64
1661	71
1662	74
1663	93
1664	36
1665	61
1666	51
1667	73
1668	62
1669	51
1670	82
1671	41
1672	66
1673	66
1674	56
1675	65
1676	72
1677	58
1678	57
1679	54
1680	45
1681	52
1682	69
1683	83
1684	63
1685	52
1686	70
1687	43
1688	64
1689	58
1690	41
1691	63
1692	63
1693	60
1694	60
1695	74
1696	34
1697	60
1698	56
1699	65
1700	68
1701	52
1702	76
1703	44
1704	55
1705	78
1706	46
1707	63
1708	88
1709	69
1710	49
1711	43
1712	55
1713	60
1714	65
1715	65
1716	62
1717	41
1718	70
1719	51
1720	47
1721	66
1722	54
1723	80
1724	57
1725	61
1726	76
1727	67
1728	58
1729	65
1730	56
1731	45
1732	65
1733	46
1734	66
1735	48
1736	57
1737	67
1738	55
1739	46
1740	66
1741	61
1742	50
1743	52
1744	41
1745	51
1746	57
1747	62
1748	70
1749	51
1750	70
1751	42
1752	49
1753	75
1754	46
1755	52
1756	57
1757	63
1758	58
1759	71
1760	57
1761	41
1762	57
1763	67
1764	81
1765	60
1766	72
1767	68
1768	51
1769	79
1770	46
1771	46
1772	76
1773	55
1774	67
1775	46
1776	49
1777	58
1778	63
1779	53
1780	57
1781	49
1782	73
1783	49
1784	48
1785	54
1786	43
1787	50
1788	57
1789	53
1790	66
1791	82
1792	30
1793	57
1794	48
1795	37
1796	76
1797	44
1798	74
1799	31
1800	46
1801	70
1802	48
1803	61
1804	62
1805	61
1806	55
1807	47
1808	53
1809	59
1810	53
1811	55
1812	61
1813	42
1814	70
1815	33
1816	52
1817	58
1818	43
1819	59
1820	67
1821	61
1822	45
1823	58
1824	52
1825	47
1826	61
1827	70
1828	72
1829	52
1830	72
1831	37
1832	51
1833	70
1834	42
1835	67
1836	69
1837	49
1838	50
1839	43
1840	45
1841	51
1842	55
1843	67
1844	58
1845	37
1846	61
1847	46
1848	43
1849	63
1850	52
1851	42
1852	40
1853	53
1854	56
1855	58
1856	45
1857	66
1858	52
1859	66
1860	75
1861	37
1862	68
1863	41
1864	69
1865	60
1866	48
1867	46
1868	64
1869	59
1870	59
1871	60
1872	53
1873	49
1874	46
1875	57
1876	58
1877	46
1878	59
1879	37
1880	66
1881	68
1882	42
1883	47
1884	53
1885	44
1886	62
1887	51
1888	48
1889	60
1890	50
1891	56
1892	68
1893	38
1894	54
1895	63
1896	34
1897	59
1898	39
1899	41
1900	75
1901	53
1902	43
1903	44
1904	44
1905	58
1906	46
1907	67
1908	61
1909	37
1910	62
1911	47
1912	53
1913	61
1914	39
1915	62
1916	65
1917	63
1918	72
1919	65
1920	46
1921	56
1922	51
1923	45
1924	66
1925	46
1926	70
1927	37
1928	50
1929	49
1930	37
1931	62
1932	73
1933	49
1934	40
1935	51
1936	61
1937	46
1938	49
1939	58
1940	69
1941	41
1942	56
1943	36
1944	56
1945	72
1946	41
1947	61
1948	55
1949	62
1950	57
1951	48
1952	46
1953	56
1954	49
1955	44
1956	70
1957	41
1958	73
1959	41
1960	60
1961	64
1962	43
1963	46
1964	59
1965	48
1966	53
1967	32
1968	60
1969	47
1970	57
1971	48
1972	59
1973	31
1974	73
1975	49
1976	47
1977	54
1978	55
1979	53
1980	51
1981	47
1982	46
1983	57
1984	44
1985	56
1986	45
1987	40
1988	61
1989	32
1990	53
1991	37
1992	54
1993	50
1994	48
1995	45
1996	63
1997	52
1998	47
1999	50
2000	31
2001	53
2002	33
2003	53
2004	55
2005	30
2006	76
2007	31
2008	49
2009	50
2010	55
2011	64
2012	52
2013	49
2014	56
2015	47
2016	48
2017	56
2018	48
2019	44
2020	74
2021	42
2022	77
2023	27
2024	47
2025	56
2026	42
2027	47
2028	55
2029	50
2030	50
2031	36
2032	41
