Energy(eV)	Element_n	Element	Line	Relative_intensity
54.3	3	Li	"Kα1,"	150
108.5	4	Be	"Kα1,"	150
183.3	5	B	"Kα1,"	151
277	6	C	"Kα1,"	147
348.3	21	Sc	Ll	21
392.4	7	N	"Kα1,"	150
395.3	22	Ti	Ll	46
395.4	21	Sc	"Lα1,"	111
399.6	21	Sc	Lβ	77
446.5	23	V	Ll	28
452.2	22	Ti	"Lα1,"	111
458.4	22	Ti	Lβ	79
500.3	24	Cr	Ll	17
511.3	23	V	"Lα1,"	111
519.2	23	V	Lβ	80
524.9	8	O	"Kα1,"	151
556.3	25	Mn	Ll	15
572.8	24	Cr	"Lα1,"	111
582.8	24	Cr	Lβ	79
615.2	26	Fe	Ll	10
637.4	25	Mn	"Lα1,"	111
648.8	25	Mn	Lβ	77
676.8	9	F	"Kα1,"	148
677.8	27	Co	Ll	10
705	26	Fe	"Lα1,"	111
718.5	26	Fe	Lβ	66
742.7	28	Ni	Ll	9
776.2	27	Co	"Lα1,"	111
791.4	27	Co	Lβ	76
811.1	29	Cu	Ll	8
833	57	La	Mα	100
848.6	10	Ne	"Kα1,"	150
851.5	28	Ni	"Lα1,"	111
868.8	28	Ni	Lβ	68
883	58	Ce	Mα	100
884	30	Zn	Ll	7
929.2	59	Pr	Mα	100
929.7	29	Cu	"Lα1,"	111
949.8	29	Cu	Lβ	65
957.2	31	Ga	Ll	7
978	60	Nd	Mα	100
1011.7	30	Zn	"Lα1,"	111
1034.7	30	Zn	Lβ	65
1036.2	32	Ge	Ll	6
1041	11	Na	"Kα1,"	150
1081	62	Sm	Mα	100
1097.9	31	Ga	"Lα1,"	111
1120	33	As	Ll	6
1124.8	31	Ga	Lβ	66
1131	63	Eu	Mα	100
1185	64	Gd	Mα	100
1188	32	Ge	"Lα1,"	111
1204.4	34	Se	Ll	6
1218.5	32	Ge	Lβ	60
1240	65	Tb	Mα	100
1253.6	12	Mg	"Kα1,"	150
1282	33	As	"Lα1,"	111
1293	66	Dy	Mα	100
1293.5	35	Br	Ll	5
1317	33	As	Lβ	60
1348	67	Ho	Mα	100
1379.1	34	Se	"Lα1,"	111
1386	36	Kr	Ll	5
1406	68	Er	Mα	100
1419.2	34	Se	Lβ	59
1462	69	Tm	Mα	100
