Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	1
50	1
51	0
52	1
53	1
54	3
55	4
56	2
57	1
58	0
59	5
60	6
61	3
62	5
63	8
64	3
65	7
66	2
67	3
68	1
69	1
70	3
71	0
72	3
73	3
74	1
75	2
76	1
77	2
78	8
79	5
80	1
81	0
82	2
83	2
84	0
85	1
86	2
87	5
88	1
89	6
90	2
91	5
92	1
93	1
94	2
95	3
96	3
97	1
98	1
99	2
100	0
101	1
102	2
103	3
104	1
105	1
106	2
107	2
108	3
109	0
110	2
111	1
112	2
113	1
114	3
115	4
116	1
117	4
118	2
119	2
120	2
121	4
122	3
123	4
124	4
125	4
126	0
127	2
128	0
129	2
130	1
131	4
132	5
133	4
134	0
135	1
136	3
137	4
138	2
139	1
140	2
141	1
142	0
143	3
144	1
145	1
146	2
147	0
148	2
149	3
150	2
151	2
152	2
153	2
154	3
155	6
156	2
157	0
158	1
159	6
160	0
161	2
162	4
163	3
164	2
165	2
166	3
167	1
168	3
169	6
170	4
171	2
172	1
173	0
174	2
175	3
176	0
177	2
178	3
179	4
180	2
181	0
182	3
183	3
184	1
185	1
186	1
187	2
188	4
189	5
190	3
191	4
192	1
193	2
194	6
195	1
196	5
197	4
198	6
199	4
200	4
201	4
202	4
203	3
204	5
205	5
206	1
207	2
208	1
209	2
210	1
211	3
212	2
213	1
214	6
215	3
216	3
217	1
218	2
219	6
220	2
221	1
222	2
223	7
224	3
225	4
226	3
227	2
228	3
229	3
230	5
231	5
232	0
233	4
234	4
235	2
236	5
237	1
238	6
239	6
240	2
241	5
242	5
243	5
244	4
245	5
246	7
247	6
248	4
249	6
250	14
251	10
252	5
253	6
254	8
255	11
256	5
257	9
258	9
259	5
260	11
261	9
262	6
263	8
264	5
265	8
266	4
267	6
268	7
269	12
270	7
271	7
272	7
273	12
274	11
275	17
276	5
277	11
278	6
279	4
280	3
281	10
282	6
283	7
284	11
285	5
286	4
287	13
288	5
289	6
290	8
291	6
292	8
293	3
294	7
295	9
296	8
297	7
298	4
299	9
300	2
301	6
302	6
303	1
304	1
305	4
306	2
307	6
308	4
309	3
310	4
311	8
312	0
313	5
314	2
315	4
316	2
317	2
318	8
319	4
320	1
321	5
322	3
323	4
324	3
325	3
326	5
327	5
328	3
329	5
330	1
331	4
332	3
333	8
334	6
335	7
336	3
337	2
338	4
339	2
340	3
341	1
342	3
343	7
344	9
345	4
346	2
347	5
348	6
349	4
350	1
351	5
352	3
353	5
354	3
355	3
356	3
357	3
358	5
359	4
360	4
361	4
362	2
363	5
364	3
365	4
366	0
367	4
368	2
369	3
370	3
371	2
372	5
373	2
374	5
375	4
376	5
377	5
378	2
379	7
380	1
381	5
382	5
383	7
384	0
385	5
386	2
387	1
388	4
389	3
390	8
391	3
392	5
393	7
394	4
395	3
396	6
397	7
398	3
399	3
400	3
401	2
402	5
403	7
404	6
405	5
406	6
407	5
408	5
409	9
410	4
411	6
412	5
413	4
414	6
415	10
416	4
417	4
418	11
419	2
420	2
421	2
422	7
423	4
424	5
425	11
426	2
427	7
428	8
429	5
430	3
431	6
432	6
433	7
434	2
435	4
436	4
437	4
438	4
439	3
440	6
441	3
442	4
443	7
444	2
445	6
446	2
447	4
448	1
449	6
450	3
451	3
452	4
453	7
454	5
455	7
456	3
457	4
458	3
459	5
460	10
461	6
462	3
463	4
464	3
465	5
466	3
467	6
468	2
469	7
470	4
471	2
472	2
473	1
474	3
475	4
476	0
477	7
478	2
479	3
480	3
481	5
482	4
483	8
484	2
485	3
486	8
487	2
488	2
489	5
490	8
491	3
492	7
493	3
494	7
495	5
496	4
497	5
498	6
499	5
500	5
501	10
502	7
503	5
504	2
505	8
506	2
507	5
508	6
509	3
510	6
511	5
512	2
513	4
514	2
515	4
516	9
517	6
518	0
519	5
520	3
521	4
522	4
523	4
524	5
525	8
526	1
527	6
528	6
529	7
530	7
531	6
532	2
533	5
534	9
535	4
536	7
537	0
538	8
539	5
540	3
541	6
542	4
543	9
544	2
545	7
546	8
547	10
548	6
549	9
550	10
551	13
552	11
553	10
554	7
555	10
556	8
557	11
558	11
559	16
560	9
561	13
562	14
563	24
564	12
565	18
566	22
567	25
568	13
569	22
570	18
571	33
572	24
573	45
574	42
575	55
576	33
577	60
578	54
579	52
580	73
581	58
582	61
583	87
584	84
585	117
586	90
587	109
588	148
589	169
590	168
591	213
592	127
593	209
594	233
595	277
596	233
597	253
598	346
599	308
600	282
601	404
602	310
603	486
604	370
605	463
606	445
607	701
608	362
609	533
610	531
611	527
612	626
613	564
614	681
615	667
616	482
617	750
618	562
619	631
620	659
621	678
622	652
623	815
624	447
625	691
626	631
627	752
628	601
629	549
630	713
631	635
632	469
633	704
634	489
635	598
636	494
637	497
638	492
639	680
640	180
641	399
642	375
643	401
644	405
645	302
646	392
647	266
648	248
649	287
650	196
651	254
652	236
653	193
654	200
655	170
656	118
657	170
658	130
659	138
660	120
661	107
662	122
663	83
664	70
665	111
666	63
667	89
668	74
669	61
670	54
671	108
672	30
673	57
674	61
675	83
676	74
677	56
678	77
679	86
680	45
681	77
682	84
683	90
684	107
685	91
686	83
687	91
688	66
689	123
690	102
691	122
692	80
693	100
694	132
695	119
696	74
697	137
698	88
699	114
700	99
701	136
702	85
703	142
704	72
705	102
706	113
707	108
708	104
709	93
710	112
711	90
712	78
713	109
714	79
715	94
716	73
717	71
718	79
719	81
720	53
721	74
722	53
723	74
724	55
725	44
726	60
727	50
728	51
729	46
730	33
731	37
732	24
733	26
734	31
735	25
736	13
737	19
738	14
739	21
740	17
741	8
742	5
743	9
744	11
745	12
746	5
747	9
748	2
749	3
750	5
751	5
752	6
753	7
754	4
755	2
756	3
757	0
758	2
759	2
760	1
761	1
762	0
763	0
764	0
765	3
766	0
767	0
768	0
769	0
770	2
771	0
772	0
773	1
774	0
775	0
776	0
777	2
778	1
779	1
780	1
781	0
782	1
783	0
784	1
785	0
786	0
787	2
788	0
789	0
790	2
791	1
792	2
793	1
794	0
795	1
796	1
797	2
798	0
799	0
800	1
801	1
802	2
803	0
804	1
805	1
806	1
807	3
808	0
809	3
810	1
811	0
812	0
813	0
814	0
815	0
816	1
817	0
818	1
819	1
820	3
821	3
822	3
823	1
824	0
825	0
826	1
827	0
828	1
829	2
830	1
831	1
832	3
833	0
834	2
835	0
836	0
837	2
838	1
839	3
840	1
841	3
842	2
843	0
844	0
845	2
846	1
847	1
848	2
849	1
850	0
851	0
852	0
853	1
854	0
855	0
856	2
857	0
858	1
859	2
860	1
861	2
862	3
863	1
864	1
865	5
866	4
867	1
868	2
869	4
870	1
871	3
872	2
873	5
874	2
875	5
876	6
877	6
878	1
879	2
880	0
881	4
882	2
883	2
884	2
885	4
886	0
887	3
888	4
889	6
890	4
891	2
892	3
893	3
894	4
895	3
896	4
897	5
898	3
899	6
900	4
901	5
902	3
903	2
904	2
905	4
906	1
907	1
908	2
909	4
910	5
911	1
912	1
913	1
914	2
915	1
916	2
917	0
918	2
919	0
920	0
921	3
922	0
923	1
924	2
925	3
926	1
927	3
928	2
929	0
930	0
931	1
932	0
933	1
934	2
935	2
936	2
937	1
938	0
939	0
940	0
941	1
942	1
943	1
944	1
945	1
946	0
947	1
948	1
949	1
950	1
951	0
952	0
953	1
954	0
955	0
956	1
957	0
958	3
959	0
960	1
961	1
962	1
963	0
964	1
965	1
966	3
967	2
968	0
969	1
970	1
971	2
972	0
973	1
974	0
975	0
976	0
977	1
978	0
979	0
980	2
981	1
982	1
983	2
984	1
985	0
986	1
987	2
988	1
989	1
990	1
991	4
992	1
993	2
994	1
995	1
996	3
997	1
998	1
999	0
1000	0
1001	4
1002	1
1003	0
1004	3
1005	0
1006	2
1007	3
1008	2
1009	1
1010	4
1011	3
1012	1
1013	0
1014	1
1015	2
1016	1
1017	1
1018	1
1019	1
1020	0
1021	0
1022	1
1023	1
1024	1
1025	2
1026	2
1027	0
1028	1
1029	0
1030	0
1031	1
1032	1
1033	1
1034	0
1035	2
1036	0
1037	2
1038	1
1039	1
1040	0
1041	0
1042	0
1043	1
1044	1
1045	0
1046	0
1047	0
1048	1
1049	0
1050	0
1051	2
1052	1
1053	1
1054	1
1055	2
1056	0
1057	0
1058	1
1059	1
1060	0
1061	0
1062	0
1063	2
1064	1
1065	2
1066	1
1067	1
1068	1
1069	1
1070	1
1071	0
1072	0
1073	3
1074	0
1075	1
1076	1
1077	1
1078	2
1079	0
1080	0
1081	4
1082	0
1083	1
1084	0
1085	1
1086	1
1087	1
1088	2
1089	1
1090	0
1091	2
1092	0
1093	2
1094	0
1095	0
1096	1
1097	0
1098	0
1099	0
1100	0
1101	4
1102	1
1103	1
1104	1
1105	0
1106	1
1107	2
1108	0
1109	1
1110	1
1111	0
1112	0
1113	0
1114	2
1115	1
1116	0
1117	4
1118	2
1119	4
1120	0
1121	2
1122	0
1123	1
1124	0
1125	1
1126	0
1127	3
1128	1
1129	0
1130	0
1131	1
1132	1
1133	0
1134	0
1135	0
1136	0
1137	1
1138	2
1139	2
1140	1
1141	0
1142	0
1143	2
1144	1
1145	2
1146	0
1147	1
1148	0
1149	1
1150	0
1151	1
1152	2
1153	2
1154	1
1155	0
1156	0
1157	1
1158	0
1159	0
1160	0
1161	0
1162	0
1163	0
1164	0
1165	0
1166	1
1167	1
1168	1
1169	0
1170	0
1171	0
1172	2
1173	1
1174	1
1175	0
1176	2
1177	0
1178	1
1179	0
1180	0
1181	0
1182	0
1183	1
1184	0
1185	2
1186	1
1187	1
1188	2
1189	2
1190	0
1191	2
1192	0
1193	0
1194	1
1195	0
1196	2
1197	1
1198	1
1199	1
1200	2
1201	0
1202	1
1203	5
1204	0
1205	3
1206	3
1207	4
1208	0
1209	0
1210	1
1211	1
1212	3
1213	1
1214	1
1215	2
1216	0
1217	0
1218	2
1219	2
1220	2
1221	0
1222	5
1223	0
1224	0
1225	1
1226	1
1227	1
1228	2
1229	0
1230	3
1231	2
1232	0
1233	2
1234	2
1235	0
1236	0
1237	1
1238	2
1239	0
1240	1
1241	0
1242	1
1243	2
1244	2
1245	0
1246	1
1247	1
1248	0
1249	0
1250	0
1251	2
1252	0
1253	0
1254	2
1255	0
1256	0
1257	1
1258	1
1259	0
1260	1
1261	1
1262	1
1263	2
1264	1
1265	1
1266	0
1267	1
1268	1
1269	0
1270	0
1271	0
1272	0
1273	0
1274	0
1275	0
1276	0
1277	0
1278	1
1279	1
1280	0
1281	0
1282	0
1283	2
1284	1
1285	1
1286	1
1287	0
1288	1
1289	2
1290	0
1291	3
1292	1
1293	1
1294	1
1295	2
1296	1
1297	0
1298	0
1299	1
1300	1
1301	0
1302	1
1303	0
1304	0
1305	0
1306	0
1307	1
1308	2
1309	0
1310	0
1311	0
1312	0
1313	0
1314	0
1315	1
1316	1
1317	0
1318	1
1319	1
1320	2
1321	1
1322	1
1323	2
1324	0
1325	3
1326	1
1327	1
1328	2
1329	0
1330	0
1331	3
1332	1
1333	1
1334	0
1335	3
1336	1
1337	2
1338	1
1339	1
1340	0
1341	1
1342	0
1343	0
1344	0
1345	0
1346	1
1347	1
1348	0
1349	0
1350	0
1351	4
1352	0
1353	1
1354	0
1355	1
1356	1
1357	0
1358	1
1359	2
1360	0
1361	1
1362	2
1363	0
1364	0
1365	0
1366	0
1367	2
1368	2
1369	2
1370	2
1371	2
1372	3
1373	2
1374	2
1375	4
1376	0
1377	1
1378	0
1379	0
1380	1
1381	0
1382	0
1383	2
1384	0
1385	3
1386	0
1387	2
1388	1
1389	2
1390	1
1391	0
1392	1
1393	3
1394	1
1395	0
1396	0
1397	2
1398	1
1399	1
1400	0
1401	1
1402	1
1403	1
1404	1
1405	0
1406	1
1407	4
1408	1
1409	3
1410	1
1411	1
1412	0
1413	2
1414	1
1415	1
1416	1
1417	0
1418	2
1419	0
1420	2
1421	0
1422	0
1423	1
1424	2
1425	1
1426	0
1427	2
1428	1
1429	2
1430	0
1431	3
1432	1
1433	2
1434	3
1435	0
1436	1
1437	0
1438	0
1439	1
1440	0
1441	0
1442	1
1443	0
1444	0
1445	1
1446	0
1447	1
1448	0
1449	1
1450	0
1451	0
1452	0
1453	1
1454	1
1455	0
1456	0
1457	0
1458	0
1459	1
1460	3
1461	1
1462	1
1463	0
1464	0
1465	0
1466	2
1467	3
1468	1
1469	1
1470	0
1471	1
1472	1
1473	2
1474	1
1475	2
1476	0
1477	1
1478	2
1479	2
1480	1
1481	2
1482	1
1483	0
1484	1
1485	3
1486	1
1487	1
1488	0
1489	1
1490	3
1491	0
1492	0
1493	0
1494	2
1495	0
1496	1
1497	1
1498	1
1499	0
1500	1
1501	0
1502	1
1503	0
1504	0
1505	0
1506	2
1507	0
1508	0
1509	0
1510	2
1511	0
1512	0
1513	1
1514	0
1515	0
1516	0
1517	1
1518	0
1519	0
1520	0
1521	2
1522	0
1523	1
1524	1
1525	3
1526	0
1527	1
1528	2
1529	1
1530	1
1531	2
1532	0
1533	1
1534	1
1535	1
1536	1
1537	1
1538	1
1539	3
1540	0
1541	0
1542	1
1543	0
1544	1
1545	0
1546	2
1547	2
1548	4
1549	1
1550	1
1551	1
1552	2
1553	3
1554	0
1555	1
1556	0
1557	1
1558	0
1559	0
1560	0
1561	3
1562	2
1563	1
1564	2
1565	1
1566	2
1567	1
1568	1
1569	1
1570	0
1571	1
1572	0
1573	0
1574	2
1575	1
1576	1
1577	0
1578	1
1579	1
1580	2
1581	1
1582	2
1583	0
1584	0
1585	1
1586	1
1587	1
1588	0
1589	0
1590	0
1591	1
1592	1
1593	1
1594	0
1595	0
1596	0
1597	1
1598	0
1599	0
1600	1
1601	0
1602	1
1603	1
1604	2
1605	0
1606	0
1607	0
1608	1
1609	2
1610	0
1611	0
1612	0
1613	2
1614	1
1615	1
1616	0
1617	0
1618	1
1619	1
1620	0
1621	2
1622	2
1623	1
1624	0
1625	0
1626	0
1627	0
1628	1
1629	2
1630	0
1631	1
1632	0
1633	1
1634	1
1635	1
1636	0
1637	1
1638	1
1639	1
1640	0
1641	0
1642	1
1643	3
1644	0
1645	0
1646	2
1647	1
1648	0
1649	3
1650	0
1651	2
1652	0
1653	0
1654	1
1655	2
1656	1
1657	1
1658	1
1659	1
1660	3
1661	1
1662	0
1663	0
1664	2
1665	0
1666	2
1667	0
1668	1
1669	1
1670	1
1671	0
1672	0
1673	2
1674	0
1675	2
1676	1
1677	1
1678	2
1679	1
1680	0
1681	0
1682	3
1683	0
1684	0
1685	0
1686	1
1687	0
1688	3
1689	1
1690	1
1691	2
1692	1
1693	0
1694	1
1695	1
1696	0
1697	3
1698	3
1699	1
1700	3
1701	3
1702	2
1703	2
1704	1
1705	3
1706	1
1707	0
1708	3
1709	2
1710	0
1711	0
1712	2
1713	2
1714	2
1715	2
1716	0
1717	2
1718	0
1719	3
1720	2
1721	0
1722	0
1723	3
1724	4
1725	2
1726	1
1727	0
1728	0
1729	1
1730	2
1731	2
1732	1
1733	0
1734	1
1735	1
1736	1
1737	0
1738	0
1739	0
1740	1
1741	1
1742	2
1743	1
1744	1
1745	0
1746	1
1747	4
1748	1
1749	2
1750	0
1751	0
1752	1
1753	0
1754	0
1755	1
1756	1
1757	1
1758	1
1759	1
1760	0
1761	2
1762	1
1763	1
1764	2
1765	0
1766	1
1767	2
1768	1
1769	2
1770	0
1771	1
1772	2
1773	2
1774	0
1775	0
1776	0
1777	1
1778	2
1779	2
1780	2
1781	0
1782	1
1783	1
1784	1
1785	1
1786	2
1787	0
1788	1
1789	2
1790	0
1791	0
1792	0
1793	0
1794	0
1795	1
1796	2
1797	1
1798	1
1799	1
1800	0
1801	1
1802	1
1803	2
1804	0
1805	0
1806	0
1807	1
1808	2
1809	0
1810	1
1811	1
1812	1
1813	2
1814	4
1815	0
1816	4
1817	1
1818	0
1819	6
1820	0
1821	0
1822	4
1823	4
1824	2
1825	2
1826	1
1827	4
1828	2
1829	3
1830	3
1831	3
1832	0
1833	3
1834	0
1835	4
1836	4
1837	1
1838	3
1839	4
1840	3
1841	1
1842	4
1843	5
1844	2
1845	2
1846	2
1847	3
1848	1
1849	7
1850	2
1851	4
1852	4
1853	2
1854	1
1855	0
1856	2
1857	0
1858	1
1859	1
1860	2
1861	1
1862	5
1863	0
1864	2
1865	3
1866	3
1867	0
1868	6
1869	4
1870	3
1871	3
1872	4
1873	4
1874	2
1875	5
1876	4
1877	2
1878	5
1879	2
1880	2
1881	5
1882	5
1883	4
1884	3
1885	1
1886	4
1887	3
1888	3
1889	3
1890	1
1891	2
1892	2
1893	4
1894	1
1895	2
1896	1
1897	0
1898	2
1899	2
1900	3
1901	2
1902	3
1903	3
1904	0
1905	1
1906	0
1907	1
1908	4
1909	3
1910	4
1911	5
1912	3
1913	2
1914	1
1915	2
1916	3
1917	1
1918	3
1919	4
1920	3
1921	1
1922	4
1923	5
1924	1
1925	2
1926	2
1927	4
1928	2
1929	5
1930	10
1931	3
1932	3
1933	1
1934	5
1935	6
1936	6
1937	5
1938	3
1939	4
1940	4
1941	0
1942	8
1943	3
1944	4
1945	6
1946	5
1947	6
1948	2
1949	4
1950	6
1951	7
1952	4
1953	6
1954	4
1955	7
1956	8
1957	5
1958	8
1959	2
1960	3
1961	6
1962	0
1963	4
1964	7
1965	5
1966	6
1967	3
1968	5
1969	8
1970	3
1971	5
1972	2
1973	2
1974	4
1975	1
1976	5
1977	4
1978	1
1979	4
1980	5
1981	6
1982	1
1983	3
1984	4
1985	2
1986	0
1987	4
1988	1
1989	6
1990	1
1991	0
1992	3
1993	2
1994	1
1995	2
1996	1
1997	1
1998	0
1999	1
2000	0
2001	1
2002	2
2003	1
2004	1
2005	1
2006	0
2007	0
2008	1
2009	1
2010	2
2011	0
2012	1
2013	1
2014	0
2015	0
2016	0
2017	0
2018	1
2019	0
2020	1
2021	1
2022	3
2023	1
2024	2
2025	1
2026	0
2027	1
2028	1
2029	3
2030	0
2031	0
2032	1
