Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	1
48	1
49	1
50	1
51	1
52	5
53	4
54	6
55	15
56	11
57	22
58	8
59	20
60	15
61	18
62	9
63	28
64	5
65	10
66	7
67	11
68	12
69	5
70	13
71	16
72	10
73	17
74	8
75	16
76	9
77	8
78	14
79	16
80	6
81	14
82	13
83	8
84	8
85	15
86	11
87	17
88	12
89	11
90	12
91	13
92	8
93	16
94	8
95	10
96	7
97	6
98	7
99	16
100	14
101	9
102	8
103	15
104	9
105	8
106	11
107	10
108	13
109	16
110	16
111	18
112	6
113	11
114	3
115	15
116	12
117	9
118	11
119	19
120	8
121	12
122	7
123	15
124	10
125	13
126	7
127	17
128	8
129	8
130	7
131	9
132	13
133	13
134	9
135	10
136	8
137	15
138	10
139	16
140	10
141	14
142	9
143	10
144	6
145	12
146	15
147	14
148	9
149	13
150	9
151	8
152	11
153	9
154	9
155	14
156	5
157	12
158	11
159	20
160	2
161	12
162	5
163	15
164	11
165	6
166	10
167	11
168	5
169	14
170	13
171	12
172	6
173	11
174	14
175	7
176	5
177	5
178	8
179	9
180	9
181	9
182	11
183	11
184	9
185	11
186	4
187	7
188	12
189	7
190	5
191	14
192	5
193	8
194	6
195	14
196	8
197	2
198	11
199	7
200	10
201	9
202	7
203	6
204	13
205	3
206	3
207	10
208	6
209	8
210	6
211	16
212	7
213	5
214	12
215	3
216	10
217	6
218	9
219	3
220	8
221	7
222	7
223	10
224	2
225	5
226	11
227	10
228	8
229	6
230	11
231	4
232	6
233	11
234	5
235	5
236	8
237	16
238	5
239	6
240	8
241	6
242	5
243	8
244	6
245	5
246	5
247	6
248	4
249	6
250	6
251	7
252	4
253	8
254	6
255	11
256	2
257	6
258	9
259	6
260	9
261	6
262	8
263	7
264	8
265	3
266	4
267	6
268	4
269	5
270	3
271	11
272	8
273	7
274	6
275	11
276	10
277	2
278	10
279	4
280	4
281	6
282	4
283	8
284	8
285	9
286	5
287	12
288	5
289	6
290	6
291	7
292	5
293	5
294	12
295	6
296	9
297	4
298	5
299	8
300	9
301	0
302	7
303	10
304	7
305	12
306	11
307	4
308	4
309	3
310	8
311	5
312	2
313	8
314	6
315	6
316	4
317	8
318	4
319	11
320	2
321	7
322	6
323	7
324	7
325	6
326	10
327	3
328	2
329	2
330	8
331	5
332	7
333	5
334	7
335	7
336	10
337	6
338	3
339	8
340	6
341	10
342	5
343	7
344	8
345	13
346	6
347	10
348	3
349	7
350	3
351	9
352	1
353	2
354	10
355	5
356	5
357	6
358	7
359	7
360	5
361	10
362	6
363	4
364	6
365	5
366	7
367	6
368	3
369	3
370	6
371	7
372	4
373	3
374	6
375	4
376	4
377	2
378	3
379	4
380	7
381	9
382	2
383	7
384	1
385	5
386	8
387	7
388	4
389	5
390	8
391	1
392	2
393	3
394	5
395	8
396	7
397	2
398	5
399	9
400	4
401	5
402	8
403	5
404	2
405	7
406	8
407	7
408	4
409	10
410	2
411	6
412	6
413	6
414	2
415	7
416	3
417	5
418	2
419	4
420	8
421	6
422	7
423	3
424	4
425	3
426	5
427	7
428	3
429	13
430	6
431	3
432	3
433	2
434	2
435	7
436	6
437	5
438	11
439	2
440	4
441	3
442	3
443	3
444	5
445	6
446	2
447	8
448	3
449	4
450	3
451	5
452	6
453	7
454	2
455	6
456	2
457	3
458	2
459	3
460	4
461	2
462	5
463	9
464	2
465	7
466	5
467	7
468	5
469	5
470	4
471	6
472	2
473	4
474	4
475	5
476	5
477	1
478	4
479	5
480	4
481	3
482	5
483	7
484	3
485	7
486	2
487	4
488	4
489	6
490	5
491	4
492	9
493	3
494	6
495	5
496	1
497	3
498	5
499	9
500	3
501	7
502	5
503	2
504	8
505	8
506	11
507	4
508	3
509	4
510	9
511	8
512	3
513	4
514	3
515	3
516	9
517	4
518	5
519	9
520	3
521	5
522	5
523	8
524	6
525	5
526	6
527	8
528	1
529	5
530	5
531	5
532	5
533	6
534	7
535	8
536	3
537	7
538	8
539	10
540	4
541	4
542	5
543	5
544	3
545	5
546	8
547	6
548	9
549	3
550	5
551	6
552	6
553	6
554	2
555	7
556	1
557	2
558	1
559	3
560	1
561	4
562	6
563	6
564	4
565	5
566	7
567	5
568	3
569	5
570	1
571	2
572	3
573	2
574	8
575	5
576	4
577	3
578	8
579	6
580	5
581	6
582	4
583	7
584	4
585	5
586	2
587	6
588	5
589	12
590	3
591	8
592	4
593	6
594	8
595	5
596	6
597	8
598	8
599	8
600	5
601	8
602	9
603	3
604	6
605	7
606	6
607	8
608	6
609	3
610	11
611	6
612	7
613	10
614	2
615	13
616	3
617	3
618	8
619	7
620	4
621	6
622	5
623	9
624	5
625	6
626	10
627	8
628	8
629	8
630	6
631	3
632	3
633	7
634	5
635	5
636	8
637	6
638	5
639	15
640	3
641	5
642	11
643	7
644	9
645	3
646	7
647	5
648	6
649	2
650	3
651	2
652	4
653	5
654	8
655	5
656	5
657	9
658	11
659	11
660	3
661	9
662	7
663	5
664	4
665	5
666	3
667	8
668	8
669	8
670	3
671	12
672	4
673	8
674	10
675	9
676	11
677	10
678	4
679	4
680	4
681	11
682	7
683	11
684	8
685	3
686	4
687	8
688	6
689	7
690	6
691	9
692	11
693	5
694	10
695	10
696	7
697	8
698	2
699	6
700	4
701	7
702	7
703	9
704	5
705	9
706	5
707	7
708	10
709	6
710	7
711	10
712	6
713	14
714	9
715	8
716	14
717	4
718	7
719	8
720	6
721	14
722	12
723	11
724	5
725	9
726	8
727	12
728	8
729	9
730	7
731	12
732	12
733	13
734	10
735	17
736	8
737	15
738	6
739	15
740	2
741	15
742	13
743	7
744	9
745	15
746	10
747	9
748	14
749	11
750	12
751	8
752	9
753	10
754	10
755	12
756	16
757	10
758	9
759	14
760	8
761	18
762	8
763	8
764	11
765	11
766	11
767	25
768	6
769	11
770	13
771	10
772	13
773	6
774	12
775	5
776	14
777	9
778	6
779	9
780	11
781	12
782	12
783	16
784	12
785	19
786	8
787	15
788	10
789	6
790	18
791	10
792	6
793	13
794	8
795	18
796	12
797	16
798	11
799	23
800	11
801	12
802	13
803	17
804	19
805	6
806	13
807	13
808	8
809	22
810	13
811	23
812	23
813	12
814	19
815	17
816	10
817	18
818	14
819	16
820	18
821	19
822	15
823	16
824	19
825	20
826	12
827	15
828	22
829	12
830	17
831	22
832	13
833	15
834	16
835	19
836	21
837	18
838	21
839	18
840	16
841	16
842	14
843	18
844	16
845	14
846	14
847	24
848	8
849	10
850	21
851	16
852	17
853	9
854	18
855	12
856	15
857	22
858	16
859	17
860	14
861	13
862	11
863	16
864	11
865	17
866	14
867	13
868	19
869	16
870	15
871	19
872	11
873	23
874	18
875	16
876	23
877	21
878	20
879	10
880	9
881	20
882	11
883	37
884	19
885	17
886	19
887	23
888	17
889	29
890	14
891	13
892	14
893	30
894	15
895	30
896	8
897	17
898	12
899	20
900	14
901	12
902	27
903	24
904	23
905	26
906	21
907	19
908	23
909	19
910	19
911	25
912	8
913	15
914	25
915	28
916	19
917	13
918	19
919	7
920	18
921	22
922	11
923	23
924	18
925	16
926	20
927	30
928	13
929	15
930	17
931	18
932	27
933	23
934	25
935	12
936	20
937	19
938	22
939	22
940	25
941	22
942	18
943	16
944	21
945	24
946	18
947	22
948	20
949	11
950	23
951	20
952	21
953	35
954	14
955	18
956	15
957	19
958	31
959	16
960	16
961	26
962	16
963	20
964	24
965	27
966	22
967	22
968	21
969	18
970	21
971	19
972	29
973	18
974	23
975	26
976	11
977	10
978	17
979	27
980	25
981	15
982	25
983	8
984	22
985	26
986	28
987	26
988	20
989	20
990	32
991	27
992	17
993	30
994	17
995	20
996	29
997	24
998	31
999	23
1000	21
1001	29
1002	20
1003	20
1004	22
1005	15
1006	27
1007	23
1008	17
1009	28
1010	28
1011	20
1012	35
1013	26
1014	21
1015	16
1016	23
1017	24
1018	23
1019	30
1020	18
1021	22
1022	23
1023	33
1024	9
1025	17
1026	20
1027	34
1028	22
1029	24
1030	21
1031	23
1032	18
1033	29
1034	27
1035	22
1036	23
1037	30
1038	23
1039	27
1040	9
1041	22
1042	30
1043	31
1044	12
1045	21
1046	20
1047	27
1048	14
1049	33
1050	12
1051	36
1052	22
1053	31
1054	24
1055	27
1056	21
1057	25
1058	29
1059	33
1060	18
1061	23
1062	30
1063	35
1064	19
1065	28
1066	19
1067	28
1068	31
1069	26
1070	18
1071	25
1072	15
1073	25
1074	30
1075	41
1076	24
1077	19
1078	33
1079	29
1080	17
1081	24
1082	19
1083	25
1084	26
1085	23
1086	22
1087	27
1088	13
1089	23
1090	22
1091	16
1092	25
1093	21
1094	31
1095	30
1096	27
1097	33
1098	14
1099	28
1100	26
1101	19
1102	17
1103	30
1104	13
1105	29
1106	14
1107	37
1108	17
1109	24
1110	32
1111	17
1112	23
1113	30
1114	22
1115	31
1116	35
1117	34
1118	24
1119	29
1120	21
1121	21
1122	29
1123	35
1124	36
1125	19
1126	26
1127	32
1128	28
1129	36
1130	18
1131	28
1132	30
1133	22
1134	22
1135	26
1136	13
1137	27
1138	26
1139	34
1140	19
1141	24
1142	31
1143	31
1144	16
1145	33
1146	26
1147	35
1148	13
1149	27
1150	29
1151	40
1152	15
1153	26
1154	30
1155	27
1156	34
1157	11
1158	36
1159	22
1160	16
1161	28
1162	27
1163	36
1164	26
1165	27
1166	24
1167	30
1168	19
1169	29
1170	34
1171	43
1172	30
1173	22
1174	35
1175	32
1176	29
1177	27
1178	19
1179	31
1180	23
1181	33
1182	20
1183	26
1184	16
1185	31
1186	25
1187	24
1188	25
1189	29
1190	35
1191	25
1192	11
1193	30
1194	23
1195	28
1196	22
1197	29
1198	26
1199	27
1200	25
1201	23
1202	15
1203	41
1204	23
1205	21
1206	23
1207	35
1208	23
1209	41
1210	20
1211	34
1212	26
1213	30
1214	25
1215	47
1216	17
1217	26
1218	28
1219	25
1220	25
1221	22
1222	23
1223	34
1224	26
1225	39
1226	21
1227	21
1228	31
1229	28
1230	21
1231	38
1232	29
1233	41
1234	32
1235	24
1236	18
1237	29
1238	30
1239	33
1240	28
1241	34
1242	27
1243	31
1244	28
1245	37
1246	35
1247	40
1248	16
1249	26
1250	26
1251	23
1252	22
1253	19
1254	27
1255	29
1256	17
1257	41
1258	17
1259	32
1260	33
1261	30
1262	31
1263	35
1264	23
1265	32
1266	34
1267	30
1268	26
1269	18
1270	28
1271	25
1272	22
1273	26
1274	25
1275	26
1276	25
1277	22
1278	27
1279	37
1280	10
1281	21
1282	21
1283	30
1284	24
1285	27
1286	28
1287	22
1288	25
1289	34
1290	14
1291	30
1292	34
1293	28
1294	33
1295	26
1296	30
1297	19
1298	30
1299	38
1300	31
1301	17
1302	32
1303	29
1304	23
1305	31
1306	19
1307	31
1308	25
1309	28
1310	28
1311	41
1312	16
1313	24
1314	13
1315	32
1316	41
1317	19
1318	30
1319	22
1320	16
1321	25
1322	18
1323	29
1324	30
1325	34
1326	28
1327	37
1328	20
1329	24
1330	29
1331	36
1332	30
1333	21
1334	35
1335	27
1336	17
1337	21
1338	22
1339	24
1340	21
1341	28
1342	33
1343	26
1344	7
1345	32
1346	25
1347	26
1348	26
1349	18
1350	26
1351	24
1352	20
1353	26
1354	20
1355	26
1356	23
1357	27
1358	25
1359	29
1360	16
1361	17
1362	28
1363	32
1364	21
1365	22
1366	16
1367	21
1368	24
1369	25
1370	18
1371	36
1372	26
1373	35
1374	29
1375	33
1376	13
1377	20
1378	33
1379	25
1380	28
1381	17
1382	31
1383	31
1384	28
1385	29
1386	18
1387	28
1388	30
1389	25
1390	13
1391	23
1392	14
1393	38
1394	25
1395	19
1396	20
1397	27
1398	32
1399	28
1400	22
1401	27
1402	29
1403	32
1404	26
1405	26
1406	23
1407	29
1408	18
1409	24
1410	35
1411	24
1412	37
1413	16
1414	26
1415	26
1416	21
1417	40
1418	18
1419	23
1420	25
1421	29
1422	21
1423	17
1424	23
1425	19
1426	28
1427	26
1428	33
1429	31
1430	27
1431	23
1432	21
1433	29
1434	20
1435	25
1436	28
1437	20
1438	31
1439	41
1440	20
1441	25
1442	26
1443	25
1444	29
1445	21
1446	27
1447	31
1448	29
1449	34
1450	20
1451	29
1452	31
1453	22
1454	27
1455	19
1456	18
1457	18
1458	33
1459	29
1460	33
1461	21
1462	29
1463	30
1464	23
1465	25
1466	22
1467	26
1468	26
1469	31
1470	29
1471	23
1472	23
1473	25
1474	30
1475	18
1476	30
1477	28
1478	27
1479	17
1480	19
1481	23
1482	30
1483	29
1484	30
1485	25
1486	22
1487	31
1488	15
1489	25
1490	23
1491	32
1492	27
1493	19
1494	21
1495	22
1496	25
1497	31
1498	13
1499	33
1500	22
1501	17
1502	17
1503	32
1504	13
1505	25
1506	20
1507	24
1508	27
1509	10
1510	26
1511	25
1512	20
1513	25
1514	22
1515	21
1516	16
1517	23
1518	27
1519	17
1520	13
1521	17
1522	31
1523	28
1524	27
1525	12
1526	23
1527	27
1528	22
1529	19
1530	20
1531	31
1532	15
1533	18
1534	24
1535	19
1536	11
1537	21
1538	29
1539	18
1540	18
1541	11
1542	32
1543	17
1544	22
1545	32
1546	23
1547	25
1548	24
1549	14
1550	28
1551	24
1552	22
1553	27
1554	24
1555	21
1556	19
1557	19
1558	29
1559	18
1560	21
1561	19
1562	17
1563	25
1564	18
1565	19
1566	27
1567	22
1568	20
1569	19
1570	25
1571	27
1572	28
1573	17
1574	24
1575	19
1576	17
1577	19
1578	13
1579	20
1580	19
1581	22
1582	17
1583	14
1584	22
1585	26
1586	17
1587	24
1588	21
1589	15
1590	26
1591	20
1592	16
1593	22
1594	16
1595	23
1596	15
1597	19
1598	20
1599	28
1600	21
1601	17
1602	15
1603	15
1604	29
1605	14
1606	36
1607	14
1608	19
1609	14
1610	17
1611	15
1612	30
1613	17
1614	21
1615	20
1616	10
1617	23
1618	20
1619	26
1620	24
1621	16
1622	19
1623	27
1624	19
1625	23
1626	15
1627	24
1628	27
1629	20
1630	16
1631	18
1632	13
1633	17
1634	15
1635	21
1636	29
1637	17
1638	21
1639	22
1640	15
1641	29
1642	14
1643	19
1644	25
1645	18
1646	23
1647	21
1648	14
1649	32
1650	24
1651	23
1652	16
1653	11
1654	15
1655	11
1656	11
1657	25
1658	17
1659	18
1660	26
1661	19
1662	17
1663	28
1664	10
1665	17
1666	23
1667	14
1668	27
1669	14
1670	26
1671	22
1672	14
1673	23
1674	12
1675	13
1676	20
1677	23
1678	14
1679	22
1680	16
1681	16
1682	17
1683	27
1684	17
1685	11
1686	20
1687	12
1688	12
1689	15
1690	17
1691	21
1692	18
1693	18
1694	20
1695	25
1696	11
1697	19
1698	20
1699	19
1700	14
1701	14
1702	28
1703	17
1704	13
1705	28
1706	17
1707	18
1708	18
1709	23
1710	18
1711	22
1712	17
1713	15
1714	19
1715	19
1716	29
1717	12
1718	27
1719	14
1720	10
1721	23
1722	13
1723	22
1724	17
1725	19
1726	27
1727	19
1728	21
1729	16
1730	20
1731	16
1732	19
1733	10
1734	23
1735	12
1736	16
1737	18
1738	16
1739	14
1740	19
1741	20
1742	15
1743	24
1744	19
1745	18
1746	16
1747	16
1748	15
1749	9
1750	21
1751	9
1752	23
1753	20
1754	10
1755	16
1756	13
1757	12
1758	21
1759	22
1760	10
1761	22
1762	20
1763	17
1764	9
1765	16
1766	27
1767	12
1768	13
1769	26
1770	13
1771	16
1772	21
1773	18
1774	16
1775	8
1776	12
1777	21
1778	19
1779	12
1780	19
1781	20
1782	20
1783	20
1784	7
1785	18
1786	17
1787	20
1788	16
1789	10
1790	26
1791	26
1792	8
1793	24
1794	12
1795	7
1796	15
1797	17
1798	21
1799	12
1800	11
1801	22
1802	12
1803	29
1804	16
1805	21
1806	19
1807	12
1808	10
1809	28
1810	28
1811	21
1812	19
1813	13
1814	22
1815	26
1816	16
1817	16
1818	11
1819	17
1820	16
1821	20
1822	14
1823	16
1824	15
1825	13
1826	18
1827	13
1828	18
1829	20
1830	25
1831	14
1832	14
1833	12
1834	13
1835	24
1836	23
1837	18
1838	16
1839	17
1840	14
1841	15
1842	20
1843	19
1844	18
1845	13
1846	31
1847	13
1848	19
1849	25
1850	11
1851	17
1852	13
1853	22
1854	13
1855	22
1856	13
1857	16
1858	15
1859	21
1860	21
1861	13
1862	24
1863	9
1864	17
1865	25
1866	14
1867	14
1868	21
1869	14
1870	19
1871	18
1872	17
1873	15
1874	20
1875	22
1876	25
1877	15
1878	19
1879	16
1880	17
1881	17
1882	17
1883	28
1884	22
1885	22
1886	5
1887	21
1888	18
1889	18
1890	14
1891	16
1892	17
1893	17
1894	22
1895	13
1896	23
1897	28
1898	17
1899	12
1900	33
1901	18
1902	29
1903	19
1904	20
1905	19
1906	26
1907	33
1908	36
1909	31
1910	46
1911	17
1912	25
1913	43
1914	25
1915	42
1916	49
1917	37
1918	34
1919	46
1920	38
1921	48
1922	64
1923	48
1924	69
1925	32
1926	67
1927	44
1928	66
1929	72
1930	54
1931	64
1932	110
1933	86
1934	86
1935	71
1936	100
1937	99
1938	100
1939	97
1940	93
1941	96
1942	121
1943	71
1944	120
1945	168
1946	96
1947	145
1948	133
1949	124
1950	109
1951	131
1952	122
1953	107
1954	141
1955	122
1956	164
1957	100
1958	149
1959	135
1960	98
1961	141
1962	118
1963	131
1964	168
1965	98
1966	113
1967	66
1968	135
1969	113
1970	119
1971	121
1972	115
1973	89
1974	108
1975	76
1976	79
1977	113
1978	78
1979	82
1980	66
1981	71
1982	69
1983	69
1984	70
1985	59
1986	63
1987	54
1988	67
1989	30
1990	66
1991	23
1992	54
1993	50
1994	30
1995	29
1996	49
1997	32
1998	34
1999	11
2000	30
2001	25
2002	32
2003	33
2004	18
2005	11
2006	29
2007	17
2008	21
2009	20
2010	12
2011	17
2012	19
2013	16
2014	16
2015	11
2016	10
2017	8
2018	15
2019	17
2020	14
2021	4
2022	12
2023	10
2024	9
2025	14
2026	9
2027	7
2028	20
2029	12
2030	10
2031	10
2032	7
