Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	1
50	0
51	2
52	5
53	2
54	5
55	3
56	4
57	15
58	6
59	13
60	9
61	7
62	12
63	7
64	3
65	4
66	7
67	10
68	5
69	9
70	6
71	4
72	7
73	7
74	6
75	6
76	5
77	11
78	5
79	11
80	5
81	8
82	5
83	9
84	6
85	7
86	10
87	7
88	5
89	9
90	7
91	11
92	8
93	6
94	6
95	11
96	6
97	8
98	9
99	3
100	1
101	3
102	6
103	4
104	2
105	10
106	4
107	2
108	15
109	13
110	2
111	9
112	1
113	8
114	4
115	14
116	4
117	4
118	8
119	5
120	5
121	8
122	5
123	10
124	5
125	3
126	5
127	12
128	3
129	8
130	7
131	5
132	6
133	4
134	5
135	2
136	9
137	5
138	7
139	2
140	5
141	4
142	6
143	5
144	2
145	8
146	7
147	6
148	4
149	4
150	9
151	4
152	7
153	5
154	6
155	4
156	5
157	5
158	6
159	7
160	2
161	6
162	6
163	11
164	5
165	4
166	3
167	2
168	4
169	8
170	4
171	1
172	7
173	4
174	8
175	11
176	4
177	4
178	2
179	7
180	8
181	2
182	7
183	1
184	0
185	6
186	4
187	6
188	4
189	2
190	9
191	6
192	3
193	2
194	8
195	2
196	8
197	3
198	9
199	2
200	7
201	11
202	3
203	9
204	6
205	5
206	3
207	8
208	3
209	7
210	5
211	5
212	6
213	3
214	5
215	4
216	3
217	2
218	4
219	7
220	3
221	10
222	4
223	9
224	2
225	6
226	7
227	4
228	4
229	5
230	3
231	1
232	4
233	5
234	3
235	4
236	10
237	7
238	8
239	8
240	4
241	5
242	2
243	2
244	3
245	5
246	11
247	3
248	4
249	5
250	5
251	5
252	2
253	6
254	8
255	11
256	0
257	7
258	6
259	7
260	4
261	7
262	6
263	6
264	2
265	9
266	4
267	5
268	5
269	5
270	4
271	5
272	6
273	5
274	7
275	4
276	3
277	5
278	4
279	6
280	1
281	2
282	5
283	4
284	7
285	6
286	8
287	4
288	2
289	5
290	3
291	2
292	6
293	6
294	11
295	5
296	4
297	8
298	6
299	4
300	2
301	4
302	1
303	7
304	2
305	4
306	6
307	6
308	3
309	8
310	5
311	8
312	2
313	7
314	6
315	2
316	2
317	3
318	5
319	3
320	2
321	2
322	2
323	3
324	2
325	9
326	6
327	4
328	2
329	4
330	1
331	4
332	3
333	5
334	10
335	9
336	1
337	6
338	3
339	4
340	5
341	2
342	4
343	3
344	9
345	6
346	5
347	2
348	2
349	7
350	3
351	1
352	4
353	8
354	3
355	3
356	3
357	4
358	3
359	7
360	2
361	5
362	4
363	5
364	3
365	3
366	1
367	1
368	6
369	2
370	5
371	5
372	3
373	3
374	3
375	1
376	1
377	3
378	4
379	6
380	5
381	4
382	4
383	9
384	3
385	4
386	4
387	5
388	4
389	5
390	5
391	3
392	3
393	6
394	4
395	3
396	3
397	4
398	1
399	6
400	4
401	7
402	6
403	4
404	4
405	6
406	3
407	1
408	5
409	7
410	2
411	3
412	5
413	3
414	3
415	6
416	2
417	2
418	1
419	1
420	2
421	3
422	5
423	5
424	3
425	4
426	3
427	4
428	5
429	8
430	10
431	4
432	5
433	7
434	4
435	5
436	7
437	1
438	7
439	4
440	4
441	4
442	5
443	7
444	4
445	5
446	4
447	5
448	4
449	0
450	1
451	2
452	5
453	4
454	1
455	1
456	1
457	3
458	1
459	2
460	5
461	3
462	6
463	7
464	4
465	4
466	5
467	6
468	5
469	2
470	3
471	5
472	1
473	3
474	2
475	4
476	2
477	6
478	0
479	9
480	0
481	3
482	4
483	2
484	4
485	5
486	0
487	5
488	7
489	4
490	4
491	3
492	3
493	7
494	6
495	3
496	2
497	8
498	4
499	5
500	8
501	3
502	5
503	2
504	4
505	1
506	3
507	3
508	3
509	9
510	4
511	10
512	1
513	11
514	3
515	5
516	5
517	5
518	3
519	4
520	4
521	9
522	2
523	6
524	4
525	4
526	3
527	6
528	4
529	3
530	4
531	4
532	6
533	3
534	4
535	3
536	4
537	4
538	0
539	13
540	4
541	6
542	1
543	6
544	2
545	3
546	3
547	4
548	4
549	1
550	3
551	5
552	5
553	5
554	7
555	5
556	3
557	4
558	7
559	4
560	4
561	4
562	1
563	1
564	3
565	5
566	1
567	5
568	3
569	3
570	6
571	5
572	5
573	3
574	4
575	5
576	1
577	3
578	2
579	3
580	8
581	3
582	5
583	2
584	3
585	6
586	4
587	5
588	6
589	3
590	1
591	8
592	2
593	10
594	4
595	11
596	8
597	1
598	3
599	4
600	6
601	7
602	10
603	6
604	6
605	2
606	1
607	9
608	4
609	4
610	9
611	4
612	6
613	5
614	4
615	7
616	2
617	6
618	3
619	3
620	12
621	2
622	5
623	9
624	3
625	4
626	8
627	3
628	4
629	2
630	4
631	6
632	8
633	9
634	5
635	5
636	8
637	9
638	4
639	8
640	1
641	5
642	4
643	7
644	3
645	7
646	6
647	7
648	4
649	4
650	4
651	7
652	5
653	4
654	3
655	4
656	4
657	6
658	2
659	7
660	1
661	3
662	1
663	6
664	5
665	1
666	1
667	8
668	2
669	5
670	2
671	6
672	3
673	1
674	1
675	3
676	6
677	3
678	7
679	7
680	4
681	7
682	3
683	4
684	8
685	6
686	2
687	3
688	3
689	5
690	5
691	12
692	4
693	3
694	5
695	6
696	3
697	5
698	8
699	9
700	5
701	5
702	7
703	12
704	3
705	5
706	5
707	3
708	2
709	7
710	5
711	5
712	7
713	5
714	5
715	3
716	3
717	3
718	7
719	3
720	4
721	4
722	4
723	2
724	7
725	2
726	5
727	2
728	5
729	5
730	5
731	6
732	5
733	1
734	5
735	1
736	0
737	3
738	6
739	3
740	4
741	5
742	5
743	5
744	8
745	3
746	6
747	3
748	8
749	7
750	8
751	7
752	3
753	5
754	9
755	6
756	11
757	5
758	6
759	5
760	5
761	5
762	5
763	5
764	8
765	9
766	3
767	10
768	5
769	4
770	6
771	5
772	6
773	8
774	8
775	5
776	6
777	8
778	3
779	11
780	3
781	7
782	5
783	12
784	11
785	4
786	2
787	9
788	11
789	5
790	10
791	8
792	8
793	9
794	3
795	7
796	4
797	4
798	5
799	10
800	6
801	7
802	5
803	4
804	11
805	8
806	9
807	7
808	10
809	9
810	7
811	6
812	11
813	7
814	11
815	9
816	5
817	7
818	8
819	11
820	3
821	9
822	12
823	6
824	5
825	5
826	4
827	10
828	15
829	8
830	11
831	8
832	3
833	5
834	8
835	13
836	5
837	8
838	5
839	8
840	8
841	7
842	3
843	6
844	9
845	3
846	7
847	6
848	3
849	7
850	4
851	5
852	6
853	6
854	1
855	9
856	4
857	2
858	5
859	5
860	10
861	6
862	7
863	15
864	1
865	8
866	8
867	6
868	8
869	7
870	8
871	9
872	6
873	6
874	10
875	10
876	17
877	6
878	14
879	9
880	14
881	3
882	9
883	15
884	7
885	5
886	14
887	9
888	8
889	15
890	10
891	13
892	9
893	12
894	9
895	13
896	9
897	9
898	10
899	13
900	10
901	11
902	9
903	10
904	8
905	7
906	9
907	14
908	8
909	6
910	14
911	9
912	9
913	12
914	7
915	12
916	11
917	11
918	17
919	6
920	4
921	11
922	12
923	13
924	14
925	11
926	16
927	15
928	9
929	12
930	14
931	19
932	22
933	10
934	12
935	20
936	13
937	19
938	18
939	20
940	17
941	14
942	28
943	19
944	17
945	19
946	25
947	28
948	18
949	26
950	22
951	20
952	17
953	26
954	26
955	35
956	23
957	23
958	32
959	33
960	12
961	27
962	32
963	30
964	22
965	14
966	23
967	23
968	20
969	24
970	22
971	32
972	17
973	22
974	22
975	18
976	12
977	17
978	20
979	15
980	20
981	16
982	27
983	14
984	19
985	17
986	8
987	18
988	12
989	12
990	21
991	11
992	7
993	16
994	20
995	14
996	15
997	4
998	17
999	10
1000	10
1001	16
1002	5
1003	8
1004	9
1005	7
1006	7
1007	8
1008	8
1009	8
1010	12
1011	12
1012	6
1013	10
1014	12
1015	4
1016	11
1017	9
1018	10
1019	11
1020	8
1021	8
1022	12
1023	13
1024	3
1025	9
1026	5
1027	13
1028	11
1029	21
1030	11
1031	8
1032	6
1033	15
1034	6
1035	12
1036	9
1037	9
1038	10
1039	13
1040	8
1041	15
1042	8
1043	19
1044	14
1045	13
1046	17
1047	10
1048	12
1049	6
1050	10
1051	12
1052	15
1053	18
1054	11
1055	27
1056	7
1057	18
1058	10
1059	26
1060	21
1061	18
1062	20
1063	29
1064	18
1065	30
1066	29
1067	33
1068	36
1069	40
1070	44
1071	54
1072	31
1073	47
1074	52
1075	72
1076	60
1077	60
1078	88
1079	88
1080	53
1081	110
1082	86
1083	129
1084	95
1085	128
1086	134
1087	216
1088	81
1089	161
1090	181
1091	195
1092	190
1093	159
1094	233
1095	224
1096	184
1097	275
1098	205
1099	295
1100	273
1101	287
1102	296
1103	414
1104	178
1105	351
1106	328
1107	405
1108	315
1109	324
1110	438
1111	393
1112	329
1113	468
1114	341
1115	505
1116	362
1117	413
1118	446
1119	597
1120	277
1121	432
1122	422
1123	436
1124	465
1125	358
1126	465
1127	454
1128	289
1129	449
1130	316
1131	384
1132	341
1133	386
1134	336
1135	396
1136	218
1137	309
1138	297
1139	343
1140	245
1141	226
1142	289
1143	240
1144	177
1145	247
1146	181
1147	200
1148	164
1149	187
1150	143
1151	183
1152	62
1153	135
1154	94
1155	110
1156	112
1157	78
1158	71
1159	54
1160	47
1161	52
1162	46
1163	52
1164	44
1165	41
1166	37
1167	42
1168	23
1169	28
1170	34
1171	47
1172	24
1173	24
1174	27
1175	12
1176	10
1177	25
1178	16
1179	25
1180	10
1181	9
1182	15
1183	22
1184	6
1185	11
1186	14
1187	15
1188	13
1189	10
1190	17
1191	16
1192	8
1193	9
1194	16
1195	13
1196	10
1197	6
1198	10
1199	10
1200	13
1201	6
1202	11
1203	14
1204	12
1205	9
1206	21
1207	15
1208	11
1209	16
1210	11
1211	20
1212	10
1213	15
1214	8
1215	15
1216	14
1217	14
1218	14
1219	16
1220	13
1221	8
1222	9
1223	9
1224	15
1225	17
1226	10
1227	21
1228	19
1229	12
1230	17
1231	15
1232	9
1233	11
1234	10
1235	17
1236	13
1237	19
1238	11
1239	6
1240	8
1241	14
1242	11
1243	11
1244	5
1245	12
1246	16
1247	11
1248	10
1249	10
1250	13
1251	5
1252	12
1253	3
1254	9
1255	9
1256	6
1257	7
1258	7
1259	8
1260	3
1261	8
1262	12
1263	14
1264	8
1265	13
1266	10
1267	9
1268	6
1269	4
1270	15
1271	14
1272	5
1273	15
1274	11
1275	12
1276	12
1277	11
1278	7
1279	18
1280	5
1281	9
1282	9
1283	13
1284	18
1285	13
1286	12
1287	20
1288	11
1289	15
1290	8
1291	17
1292	11
1293	17
1294	15
1295	20
1296	14
1297	18
1298	27
1299	31
1300	21
1301	24
1302	34
1303	24
1304	26
1305	27
1306	32
1307	38
1308	26
1309	35
1310	28
1311	34
1312	19
1313	41
1314	33
1315	41
1316	56
1317	36
1318	55
1319	27
1320	45
1321	70
1322	47
1323	63
1324	70
1325	81
1326	72
1327	85
1328	52
1329	86
1330	84
1331	105
1332	105
1333	92
1334	116
1335	131
1336	101
1337	164
1338	104
1339	174
1340	136
1341	151
1342	163
1343	236
1344	106
1345	189
1346	187
1347	196
1348	237
1349	194
1350	275
1351	189
1352	226
1353	331
1354	234
1355	283
1356	318
1357	322
1358	306
1359	337
1360	214
1361	313
1362	315
1363	350
1364	344
1365	287
1366	405
1367	302
1368	333
1369	375
1370	312
1371	391
1372	322
1373	345
1374	317
1375	388
1376	249
1377	344
1378	310
1379	282
1380	351
1381	251
1382	344
1383	295
1384	199
1385	321
1386	200
1387	280
1388	273
1389	236
1390	254
1391	230
1392	156
1393	175
1394	186
1395	189
1396	176
1397	159
1398	188
1399	123
1400	109
1401	152
1402	120
1403	128
1404	117
1405	120
1406	93
1407	115
1408	83
1409	86
1410	88
1411	71
1412	77
1413	60
1414	52
1415	53
1416	40
1417	61
1418	33
1419	60
1420	44
1421	41
1422	36
1423	36
1424	24
1425	33
1426	20
1427	32
1428	25
1429	17
1430	28
1431	22
1432	20
1433	26
1434	12
1435	17
1436	20
1437	14
1438	11
1439	13
1440	7
1441	14
1442	9
1443	10
1444	6
1445	9
1446	8
1447	11
1448	5
1449	11
1450	7
1451	1
1452	13
1453	8
1454	6
1455	4
1456	7
1457	5
1458	3
1459	7
1460	5
1461	8
1462	5
1463	4
1464	6
1465	2
1466	6
1467	4
1468	6
1469	2
1470	6
1471	7
1472	2
1473	4
1474	3
1475	2
1476	2
1477	2
1478	3
1479	4
1480	2
1481	3
1482	1
1483	2
1484	5
1485	4
1486	0
1487	2
1488	3
1489	5
1490	5
1491	3
1492	0
1493	2
1494	3
1495	1
1496	3
1497	3
1498	1
1499	2
1500	0
1501	2
1502	3
1503	1
1504	3
1505	3
1506	1
1507	3
1508	2
1509	1
1510	2
1511	1
1512	4
1513	2
1514	2
1515	1
1516	2
1517	3
1518	2
1519	2
1520	0
1521	4
1522	1
1523	2
1524	3
1525	2
1526	0
1527	2
1528	1
1529	0
1530	1
1531	1
1532	4
1533	0
1534	2
1535	3
1536	1
1537	1
1538	4
1539	4
1540	4
1541	1
1542	2
1543	1
1544	5
1545	6
1546	2
1547	3
1548	5
1549	5
1550	3
1551	6
1552	3
1553	5
1554	2
1555	4
1556	7
1557	2
1558	5
1559	3
1560	9
1561	3
1562	3
1563	4
1564	3
1565	1
1566	6
1567	3
1568	4
1569	4
1570	1
1571	6
1572	6
1573	4
1574	8
1575	8
1576	1
1577	9
1578	5
1579	6
1580	8
1581	7
1582	3
1583	5
1584	10
1585	6
1586	6
1587	11
1588	6
1589	6
1590	14
1591	15
1592	5
1593	10
1594	6
1595	8
1596	10
1597	18
1598	15
1599	9
1600	15
1601	13
1602	16
1603	20
1604	15
1605	12
1606	27
1607	15
1608	18
1609	23
1610	20
1611	18
1612	21
1613	26
1614	33
1615	34
1616	25
1617	34
1618	25
1619	46
1620	25
1621	29
1622	41
1623	22
1624	27
1625	44
1626	35
1627	32
1628	21
1629	31
1630	37
1631	28
1632	26
1633	38
1634	34
1635	35
1636	43
1637	22
1638	45
1639	33
1640	19
1641	36
1642	20
1643	30
1644	42
1645	27
1646	24
1647	28
1648	34
1649	20
1650	23
1651	34
1652	24
1653	22
1654	24
1655	20
1656	8
1657	20
1658	22
1659	21
1660	15
1661	18
1662	16
1663	23
1664	15
1665	18
1666	9
1667	16
1668	24
1669	17
1670	20
1671	10
1672	12
1673	22
1674	13
1675	14
1676	17
1677	14
1678	10
1679	17
1680	9
1681	19
1682	11
1683	11
1684	9
1685	8
1686	12
1687	12
1688	7
1689	8
1690	7
1691	12
1692	11
1693	12
1694	12
1695	16
1696	8
1697	12
1698	8
1699	6
1700	11
1701	9
1702	9
1703	4
1704	3
1705	7
1706	7
1707	3
1708	6
1709	4
1710	6
1711	5
1712	4
1713	6
1714	2
1715	3
1716	4
1717	7
1718	6
1719	1
1720	0
1721	3
1722	3
1723	4
1724	1
1725	5
1726	8
1727	2
1728	1
1729	2
1730	3
1731	4
1732	0
1733	5
1734	2
1735	0
1736	5
1737	2
1738	2
1739	1
1740	7
1741	2
1742	4
1743	4
1744	0
1745	3
1746	2
1747	1
1748	2
1749	1
1750	4
1751	1
1752	6
1753	9
1754	2
1755	2
1756	0
1757	2
1758	3
1759	2
1760	2
1761	3
1762	1
1763	1
1764	3
1765	1
1766	2
1767	3
1768	0
1769	2
1770	0
1771	1
1772	5
1773	3
1774	3
1775	2
1776	1
1777	3
1778	0
1779	3
1780	2
1781	0
1782	2
1783	1
1784	2
1785	4
1786	2
1787	1
1788	2
1789	0
1790	4
1791	1
1792	2
1793	2
1794	0
1795	1
1796	1
1797	1
1798	0
1799	4
1800	2
1801	0
1802	1
1803	2
1804	2
1805	0
1806	4
1807	0
1808	0
1809	2
1810	3
1811	3
1812	2
1813	0
1814	4
1815	0
1816	2
1817	4
1818	0
1819	4
1820	5
1821	2
1822	1
1823	2
1824	1
1825	3
1826	2
1827	0
1828	2
1829	1
1830	1
1831	1
1832	0
1833	3
1834	2
1835	1
1836	2
1837	1
1838	2
1839	2
1840	2
1841	1
1842	0
1843	3
1844	6
1845	1
1846	3
1847	3
1848	0
1849	4
1850	3
1851	1
1852	3
1853	2
1854	0
1855	3
1856	4
1857	0
1858	4
1859	1
1860	3
1861	0
1862	3
1863	2
1864	3
1865	4
1866	5
1867	2
1868	6
1869	4
1870	3
1871	1
1872	1
1873	3
1874	3
1875	2
1876	4
1877	2
1878	1
1879	3
1880	2
1881	4
1882	4
1883	6
1884	5
1885	3
1886	5
1887	5
1888	3
1889	5
1890	5
1891	3
1892	6
1893	2
1894	4
1895	4
1896	0
1897	4
1898	0
1899	6
1900	4
1901	3
1902	5
1903	3
1904	4
1905	3
1906	6
1907	4
1908	1
1909	2
1910	2
1911	4
1912	3
1913	2
1914	3
1915	3
1916	5
1917	3
1918	3
1919	4
1920	2
1921	3
1922	6
1923	6
1924	10
1925	4
1926	7
1927	7
1928	4
1929	7
1930	3
1931	7
1932	8
1933	6
1934	7
1935	5
1936	5
1937	10
1938	4
1939	6
1940	5
1941	6
1942	10
1943	5
1944	10
1945	6
1946	6
1947	10
1948	5
1949	3
1950	4
1951	3
1952	9
1953	8
1954	11
1955	10
1956	5
1957	2
1958	9
1959	10
1960	6
1961	10
1962	7
1963	7
1964	6
1965	4
1966	9
1967	7
1968	9
1969	3
1970	3
1971	4
1972	4
1973	2
1974	6
1975	3
1976	3
1977	7
1978	4
1979	1
1980	3
1981	6
1982	2
1983	4
1984	2
1985	2
1986	1
1987	2
1988	5
1989	1
1990	4
1991	2
1992	3
1993	2
1994	2
1995	1
1996	3
1997	2
1998	6
1999	2
2000	3
2001	2
2002	0
2003	2
2004	1
2005	3
2006	1
2007	2
2008	2
2009	2
2010	1
2011	1
2012	1
2013	1
2014	1
2015	1
2016	0
2017	1
2018	1
2019	0
2020	3
2021	1
2022	2
2023	3
2024	0
2025	0
2026	1
2027	1
2028	1
2029	0
2030	1
2031	0
2032	0
