X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

5.0	77
5.1	86
5.2	106
5.3	115
5.4	138
5.5	158
5.6	173
5.7	199
5.8	211
5.9	224
6.0	234
6.1	269
6.2	268
6.3	277
6.4	289
6.5	275
6.6	295
6.7	297
6.8	309
6.9	349
7.0	331
7.1	316
7.2	333
7.3	311
7.4	329
7.5	350
7.6	357
7.7	359
7.8	347
7.9	358
8.0	358
8.1	346
8.2	341
8.3	386
8.4	393
8.5	391
8.6	377
8.7	363
8.8	391
8.9	457
9.0	647
9.1	1013
9.2	1205
9.3	893
9.4	531
9.5	471
9.6	442
9.7	435
9.8	443
9.9	461
10.0	499
10.1	803
10.2	2267
10.3	3779
10.4	3401
10.5	1306
10.6	621
10.7	508
10.8	480
10.9	461
11.0	460
11.1	465
11.2	453
11.3	460
11.4	457
11.5	442
11.6	471
11.7	460
11.8	438
11.9	453
12.0	439
12.1	437
12.2	454
12.3	443
12.4	434
12.5	447
12.6	432
12.7	439
12.8	461
12.9	419
13.0	422
13.1	427
13.2	438
13.3	412
13.4	407
13.5	376
13.6	369
13.7	391
13.8	371
13.9	378
14.0	376
14.1	375
14.2	363
14.3	361
14.4	363
14.5	366
14.6	358
14.7	349
14.8	345
14.9	357
15.0	321
15.1	332
15.2	338
15.3	339
15.4	332
15.5	322
15.6	342
15.7	321
15.8	318
15.9	325
16.0	310
16.1	325
16.2	306
16.3	301
16.4	300
16.5	316
16.6	306
16.7	301
16.8	297
16.9	293
17.0	279
17.1	297
17.2	266
17.3	266
17.4	296
17.5	287
17.6	254
17.7	253
17.8	262
17.9	271
18.0	277
18.1	259
18.2	264
18.3	292
18.4	365
18.5	329
18.6	253
18.7	252
18.8	229
18.9	234
19.0	222
19.1	234
19.2	237
19.3	226
19.4	220
19.5	226
19.6	222
19.7	236
19.8	209
19.9	218
20.0	223
20.1	189
20.2	210
20.3	196
20.4	186
20.5	230
20.6	392
20.7	737
20.8	812
20.9	520
21.0	265
21.1	193
21.2	170
21.3	175
21.4	173
21.5	164
21.6	172
21.7	156
21.8	160
21.9	162
22.0	142
22.1	142
22.2	139
22.3	129
22.4	132
22.5	130
22.6	134
22.7	124
22.8	126
22.9	129
23.0	126
23.1	118
23.2	121
23.3	109
23.4	104
23.5	110
23.6	115
23.7	109
23.8	102
23.9	101
24.0	109
24.1	104
24.2	100
24.3	97
24.4	96
24.5	94
24.6	98
24.7	93
24.8	93
24.9	92
25.0	87
25.1	84
25.2	88
25.3	82
25.4	79
25.5	82
25.6	77
25.7	81
25.8	72
25.9	65
26.0	73
26.1	67
26.2	73
26.3	65
26.4	70
26.5	73
26.6	68
26.7	68
26.8	68
26.9	68
27.0	60
27.1	69
27.2	62
27.3	65
27.4	58
27.5	53
27.6	63
27.7	63
27.8	61
27.9	58
28.0	55
28.1	64
28.2	70
28.3	52
28.4	56
28.5	53
28.6	58
28.7	59
28.8	54
28.9	53
29.0	51
29.1	52
29.2	48
29.3	58
29.4	52
29.5	40
29.6	45
29.7	54
29.8	50
29.9	39
30.0	45
30.1	42
30.2	44
30.3	43
30.4	46
30.5	40
30.6	40
30.7	44
30.8	42
30.9	37
31.0	44
31.1	38
31.2	47
31.3	37
31.4	44
31.5	47
31.6	39
31.7	44
31.8	48
31.9	97
32.0	115
32.1	97
32.2	91
32.3	69
32.4	45
32.5	46
32.6	42
32.7	39
32.8	37
32.9	44
33.0	38
33.1	41
33.2	43
33.3	33
33.4	40
33.5	34
33.6	34
33.7	35
33.8	34
33.9	34
34.0	31
34.1	33
34.2	34
34.3	37
34.4	26
34.5	33
34.6	32
34.7	33
34.8	25
34.9	29
35.0	34
35.1	39
35.2	33
35.3	35
35.4	30
35.5	30
35.6	33
35.7	27
35.8	32
35.9	29
36.0	28
36.1	30
36.2	23
36.3	28
36.4	29
36.5	30
36.6	28
36.7	26
36.8	30
36.9	23
37.0	25
37.1	27
37.2	26
37.3	24
37.4	27
37.5	25
37.6	29
37.7	30
37.8	30
37.9	27
38.0	26
38.1	30
38.2	26
38.3	32
38.4	23
38.5	22
38.6	27
38.7	24
38.8	22
38.9	24
39.0	25
39.1	32
39.2	25
39.3	23
39.4	25
39.5	27
39.6	22
39.7	32
39.8	22
39.9	25
40.0	27
40.1	24
40.2	22
40.3	31
40.4	25
40.5	24
40.6	24
40.7	24
40.8	27
40.9	28
41.0	24
41.1	21
41.2	22
41.3	29
41.4	23
41.5	20
41.6	18
41.7	22
41.8	22
41.9	26
42.0	25
42.1	22
42.2	26
42.3	22
42.4	21
42.5	25
42.6	23
42.7	18
42.8	17
42.9	19
43.0	21
43.1	19
43.2	23
43.3	24
43.4	23
43.5	21
43.6	25
43.7	23
43.8	20
43.9	21
44.0	19
44.1	17
44.2	21
44.3	20
44.4	16
44.5	16
44.6	20
44.7	23
44.8	40
44.9	36
45.0	30
