# X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
# Gate time 4 s
# θ_c/°	Imp/# / s

5.0	69
5.1	81
5.2	100
5.3	101
5.4	135
5.5	151
5.6	161
5.7	213
5.8	216
5.9	233
6.0	257
6.1	277
6.2	284
6.3	304
6.4	316
6.5	300
6.6	323
6.7	332
6.8	339
6.9	352
7.0	356
7.1	351
7.2	357
7.3	354
7.4	373
7.5	350
7.6	360
7.7	377
7.8	359
7.9	352
8.0	371
8.1	372
8.2	364
8.3	375
8.4	383
8.5	376
8.6	389
8.7	384
8.8	389
8.9	412
9.0	568
9.1	884
9.2	1104
9.3	1033
9.4	566
9.5	439
9.6	443
9.7	431
9.8	434
9.9	446
10.0	450
10.1	670
10.2	1553
10.3	3345
10.4	3499
10.5	1781
10.6	644
10.7	488
10.8	447
10.9	445
11.0	425
11.1	435
11.2	427
11.3	423
11.4	430
11.5	432
11.6	419
11.7	435
11.8	431
11.9	452
12.0	407
12.1	426
12.2	413
12.3	432
12.4	413
12.5	438
12.6	442
12.7	442
12.8	432
12.9	417
13.0	427
13.1	424
13.2	418
13.3	413
13.4	405
13.5	391
13.6	363
13.7	376
13.8	373
13.9	364
14.0	363
14.1	375
14.2	358
14.3	354
14.4	357
14.5	350
14.6	352
14.7	356
14.8	351
14.9	341
15.0	331
15.1	329
15.2	335
15.3	342
15.4	323
15.5	320
15.6	318
15.7	332
15.8	336
15.9	286
16.0	330
16.1	332
16.2	312
16.3	307
16.4	306
16.5	307
16.6	309
16.7	292
16.8	290
16.9	285
17.0	288
17.1	291
17.2	274
17.3	281
17.4	281
17.5	261
17.6	267
17.7	261
17.8	253
17.9	260
18.0	264
18.1	284
18.2	264
18.3	282
18.4	342
18.5	345
18.6	276
18.7	241
18.8	227
18.9	244
19.0	237
19.1	219
19.2	237
19.3	230
19.4	231
19.5	221
19.6	223
19.7	226
19.8	206
19.9	221
20.0	207
20.1	201
20.2	213
20.3	208
20.4	206
20.5	212
20.6	300
20.7	663
20.8	809
20.9	622
21.0	373
21.1	210
21.2	187
21.3	179
21.4	171
21.5	168
21.6	161
21.7	164
21.8	165
21.9	156
22.0	147
22.1	145
22.2	140
22.3	150
22.4	137
22.5	144
22.6	134
22.7	129
22.8	129
22.9	126
23.0	132
23.1	123
23.2	121
23.3	113
23.4	119
23.5	107
23.6	104
23.7	110
23.8	106
23.9	98
24.0	105
24.1	98
24.2	99
24.3	100
24.4	91
24.5	103
24.6	96
24.7	93
24.8	88
24.9	89
25.0	87
25.1	87
25.2	88
25.3	78
25.4	80
25.5	78
25.6	70
25.7	75
25.8	75
25.9	83
26.0	71
26.1	74
26.2	75
26.3	76
26.4	73
26.5	65
26.6	77
26.7	64
26.8	69
26.9	69
27.0	70
27.1	64
27.2	70
27.3	63
27.4	56
27.5	57
27.6	61
27.7	60
27.8	61
27.9	53
28.0	57
28.1	57
28.2	70
28.3	71
28.4	58
28.5	46
28.6	46
28.7	49
28.8	52
28.9	49
29.0	51
29.1	42
29.2	49
29.3	51
29.4	44
29.5	50
29.6	45
29.7	45
29.8	38
29.9	48
30.0	46
30.1	45
30.2	43
30.3	46
30.4	48
30.5	39
30.6	49
30.7	42
30.8	39
30.9	42
31.0	44
31.1	40
31.2	45
31.3	43
31.4	37
31.5	37
31.6	42
31.7	38
31.8	40
31.9	86
32.0	116
32.1	105
32.2	81
32.3	79
32.4	47
32.5	42
32.6	41
32.7	32
32.8	38
32.9	38
33.0	34
33.1	33
33.2	31
33.3	34
33.4	35
33.5	36
33.6	34
33.7	34
33.8	39
33.9	33
34.0	31
34.1	36
