Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	1
45	1
46	4
47	5
48	3
49	8
50	19
51	30
52	29
53	39
54	42
55	59
56	46
57	77
58	71
59	85
60	66
61	88
62	69
63	114
64	33
65	65
66	59
67	60
68	55
69	68
70	66
71	75
72	43
73	74
74	65
75	86
76	60
77	68
78	76
79	88
80	48
81	80
82	81
83	73
84	59
85	71
86	73
87	76
88	58
89	67
90	48
91	92
92	68
93	70
94	54
95	95
96	41
97	68
98	65
99	70
100	51
101	56
102	65
103	76
104	50
105	60
106	60
107	75
108	62
109	72
110	58
111	83
112	57
113	63
114	50
115	59
116	67
117	54
118	61
119	80
120	41
121	74
122	55
123	61
124	57
125	51
126	54
127	104
128	29
129	41
130	61
131	46
132	61
133	51
134	62
135	59
136	34
137	63
138	48
139	68
140	55
141	50
142	65
143	71
144	34
145	54
146	45
147	54
148	51
149	53
150	58
151	56
152	41
153	64
154	53
155	48
156	39
157	43
158	47
159	81
160	22
161	45
162	46
163	51
164	37
165	52
166	48
167	64
168	35
169	49
170	44
171	49
172	47
173	49
174	58
175	51
176	31
177	41
178	38
179	42
180	28
181	45
182	59
183	53
184	28
185	38
186	41
187	50
188	43
189	44
190	44
191	52
192	23
193	34
194	51
195	49
196	49
197	46
198	52
199	42
200	27
201	48
202	36
203	45
204	29
205	46
206	38
207	59
208	37
209	47
210	47
211	38
212	40
213	31
214	56
215	54
216	32
217	48
218	33
219	41
220	45
221	39
222	39
223	70
224	33
225	37
226	59
227	56
228	43
229	35
230	45
231	45
232	38
233	29
234	38
235	37
236	39
237	41
238	24
239	52
240	21
241	28
242	37
243	52
244	35
245	37
246	40
247	39
248	31
249	36
250	33
251	45
252	33
253	40
254	34
255	61
256	17
257	34
258	32
259	40
260	31
261	33
262	37
263	48
264	26
265	41
266	40
267	38
268	42
269	46
270	42
271	48
272	26
273	33
274	35
275	41
276	31
277	38
278	46
279	35
280	36
281	42
282	25
283	38
284	35
285	44
286	36
287	54
288	15
289	37
290	23
291	42
292	33
293	40
294	33
295	49
296	25
297	33
298	23
299	27
300	25
301	30
302	41
303	31
304	29
305	34
306	32
307	36
308	25
309	32
310	32
311	39
312	28
313	40
314	27
315	30
316	17
317	26
318	31
319	47
320	19
321	35
322	22
323	22
324	31
325	26
326	31
327	35
328	21
329	27
330	28
331	27
332	38
333	32
334	35
335	48
336	16
337	31
338	32
339	12
340	39
341	18
342	46
343	31
344	20
345	32
346	27
347	32
348	29
349	28
350	26
351	49
352	18
353	27
354	40
355	23
356	31
357	34
358	36
359	27
360	29
361	30
362	31
363	24
364	29
365	23
366	31
367	36
368	21
369	29
370	29
371	35
372	31
373	23
374	36
375	27
376	14
377	21
378	26
379	32
380	27
381	35
382	32
383	38
384	16
385	31
386	29
387	36
388	21
389	25
390	26
391	31
392	23
393	34
394	24
395	41
396	31
397	35
398	20
399	38
400	15
401	25
402	26
403	21
404	23
405	26
406	29
407	28
408	27
409	36
410	33
411	30
412	26
413	23
414	32
415	42
416	11
417	27
418	30
419	27
420	20
421	26
422	38
423	28
424	15
425	41
426	23
427	31
428	24
429	27
430	31
431	28
432	21
433	22
434	31
435	26
436	27
437	20
438	36
439	32
440	22
441	34
442	19
443	22
444	35
445	27
446	26
447	36
448	17
449	26
450	20
451	19
452	28
453	30
454	31
455	22
456	28
457	24
458	28
459	24
460	23
461	23
462	30
463	20
464	18
465	28
466	38
467	31
468	28
469	17
470	47
471	20
472	31
473	32
474	25
475	35
476	32
477	20
478	31
479	34
480	18
481	25
482	19
483	28
484	22
485	16
486	40
487	42
488	21
489	39
490	19
491	29
492	25
493	30
494	27
495	30
496	19
497	25
498	18
499	22
500	32
501	20
502	25
503	20
504	17
505	41
506	25
507	27
508	27
509	29
510	23
511	60
512	9
513	21
514	21
515	29
516	20
517	24
518	19
519	27
520	22
521	32
522	20
523	33
524	27
525	29
526	22
527	22
528	21
529	21
530	18
531	37
532	22
533	22
534	27
535	30
536	22
537	38
538	26
539	42
540	20
541	24
542	30
543	31
544	22
545	27
546	24
547	33
548	24
549	18
550	30
551	17
552	17
553	28
554	22
555	24
556	29
557	28
558	17
559	39
560	18
561	23
562	27
563	24
564	20
565	28
566	27
567	25
568	17
569	36
570	25
571	44
572	13
573	35
574	27
575	38
576	10
577	24
578	27
579	27
580	32
581	28
582	19
583	26
584	27
585	27
586	17
587	38
588	22
589	35
590	28
591	37
592	19
593	24
594	21
595	32
596	25
597	20
598	27
599	21
600	19
601	23
602	21
603	28
604	28
605	27
606	27
607	35
608	9
609	31
610	30
611	19
612	21
613	25
614	32
615	29
616	23
617	35
618	41
619	21
620	24
621	25
622	20
623	29
624	28
625	31
626	28
627	36
628	31
629	19
630	41
631	21
632	22
633	25
634	32
635	34
636	20
637	29
638	26
639	49
640	6
641	28
642	26
643	21
644	23
645	24
646	31
647	27
648	17
649	19
650	19
651	38
652	27
653	31
654	19
655	27
656	24
657	27
658	36
659	29
660	27
661	19
662	34
663	25
664	21
665	39
666	33
667	40
668	19
669	29
670	24
671	40
672	14
673	40
674	27
675	20
676	38
677	33
678	36
679	41
680	15
681	36
682	31
683	26
684	39
685	47
686	25
687	33
688	25
689	31
690	34
691	37
692	28
693	27
694	35
695	34
696	23
697	35
698	29
699	36
700	28
701	30
702	35
703	37
704	15
705	31
706	30
707	31
708	36
709	31
710	32
711	40
712	29
713	38
714	24
715	42
716	40
717	30
718	39
719	35
720	29
721	30
722	47
723	37
724	32
725	33
726	40
727	41
728	26
729	40
730	32
731	37
732	41
733	36
734	31
735	49
736	20
737	35
738	36
739	37
740	48
741	34
742	33
743	33
744	41
745	40
746	16
747	38
748	52
749	43
750	42
751	49
752	28
753	38
754	47
755	44
756	42
757	31
758	46
759	44
760	34
761	52
762	33
763	43
764	52
765	41
766	45
767	69
768	19
769	42
770	46
771	33
772	56
773	47
774	60
775	45
776	34
777	64
778	35
779	42
780	39
781	42
782	55
783	66
784	39
785	51
786	37
787	61
788	56
789	63
790	66
791	61
792	43
793	69
794	49
795	67
796	61
797	53
798	61
799	87
800	46
801	56
802	66
803	81
804	65
805	64
806	73
807	60
808	65
809	79
810	70
811	56
812	82
813	64
814	69
815	90
816	56
817	78
818	65
819	85
820	78
821	52
822	79
823	85
824	65
825	89
826	85
827	86
828	73
829	72
830	79
831	84
832	50
833	82
834	93
835	105
836	80
837	80
838	101
839	75
840	86
841	88
842	73
843	81
844	92
845	102
846	91
847	120
848	78
849	108
850	105
851	110
852	106
853	93
854	115
855	95
856	99
857	119
858	86
859	127
860	105
861	90
862	123
863	133
864	82
865	115
866	101
867	107
868	130
869	111
870	140
871	113
872	102
873	128
874	121
875	123
876	145
877	123
878	140
879	145
880	100
881	137
882	137
883	156
884	109
885	123
886	137
887	137
888	104
889	162
890	132
891	150
892	113
893	129
894	147
895	199
896	53
897	149
898	135
899	135
900	146
901	115
902	140
903	115
904	107
905	142
906	129
907	101
908	135
909	119
910	114
911	130
912	105
913	118
914	110
915	140
916	109
917	93
918	125
919	83
920	103
921	126
922	82
923	118
924	108
925	110
926	85
927	145
928	89
929	95
930	108
931	84
932	127
933	97
934	108
935	90
936	76
937	84
938	86
939	72
940	110
941	99
942	73
943	81
944	73
945	78
946	94
947	95
948	92
949	63
950	93
951	79
952	57
953	89
954	74
955	79
956	93
957	70
958	78
959	93
960	56
961	77
962	82
963	86
964	86
965	82
966	86
967	74
968	77
969	84
970	92
971	80
972	84
973	80
974	80
975	102
976	64
977	84
978	93
979	80
980	77
981	57
982	90
983	54
984	91
985	99
986	71
987	92
988	94
989	82
990	91
991	122
992	91
993	71
994	91
995	81
996	107
997	95
998	110
999	83
1000	88
1001	98
1002	85
1003	83
1004	98
1005	80
1006	81
1007	92
1008	68
1009	80
1010	105
1011	93
1012	92
1013	88
1014	90
1015	86
1016	72
1017	99
1018	83
1019	113
1020	98
1021	86
1022	91
1023	161
1024	30
1025	84
1026	87
1027	98
1028	104
1029	95
1030	95
1031	107
1032	64
1033	107
1034	81
1035	92
1036	89
1037	92
1038	79
1039	109
1040	58
1041	87
1042	86
1043	85
1044	84
1045	76
1046	100
1047	85
1048	74
1049	109
1050	92
1051	113
1052	76
1053	93
1054	88
1055	126
1056	54
1057	92
1058	66
1059	95
1060	85
1061	83
1062	88
1063	98
1064	68
1065	91
1066	80
1067	126
1068	88
1069	82
1070	88
1071	117
1072	84
1073	109
1074	90
1075	104
1076	81
1077	93
1078	108
1079	117
1080	77
1081	109
1082	80
1083	120
1084	106
1085	84
1086	103
1087	143
1088	61
1089	109
1090	111
1091	116
1092	119
1093	99
1094	104
1095	103
1096	92
1097	120
1098	91
1099	134
1100	101
1101	127
1102	112
1103	138
1104	55
1105	112
1106	122
1107	135
1108	99
1109	126
1110	110
1111	107
1112	82
1113	122
1114	102
1115	159
1116	106
1117	120
1118	115
1119	160
1120	78
1121	113
1122	125
1123	138
1124	119
1125	79
1126	142
1127	105
1128	69
1129	142
1130	109
1131	112
1132	125
1133	110
1134	119
1135	128
1136	64
1137	108
1138	124
1139	151
1140	113
1141	111
1142	117
1143	123
1144	91
1145	126
1146	105
1147	129
1148	100
1149	114
1150	100
1151	169
1152	46
1153	97
1154	89
1155	107
1156	105
1157	97
1158	114
1159	84
1160	70
1161	114
1162	84
1163	117
1164	110
1165	103
1166	98
1167	120
1168	66
1169	102
1170	98
1171	118
1172	102
1173	90
1174	127
1175	86
1176	87
1177	127
1178	86
1179	126
1180	89
1181	108
1182	99
1183	132
1184	50
1185	97
1186	102
1187	102
1188	110
1189	94
1190	108
1191	114
1192	55
1193	124
1194	80
1195	102
1196	111
1197	99
1198	102
1199	118
1200	82
1201	90
1202	94
1203	121
1204	103
1205	88
1206	116
1207	96
1208	63
1209	125
1210	73
1211	116
1212	114
1213	122
1214	92
1215	145
1216	66
1217	110
1218	109
1219	119
1220	113
1221	93
1222	97
1223	107
1224	87
1225	136
1226	71
1227	111
1228	116
1229	120
1230	86
1231	116
1232	62
1233	117
1234	103
1235	109
1236	109
1237	84
1238	127
1239	104
1240	86
1241	135
1242	101
1243	145
1244	109
1245	99
1246	111
1247	168
1248	58
1249	114
1250	85
1251	119
1252	108
1253	101
1254	123
1255	104
1256	77
1257	126
1258	79
1259	121
1260	130
1261	113
1262	123
1263	119
1264	91
1265	114
1266	107
1267	117
1268	88
1269	90
1270	116
1271	118
1272	83
1273	136
1274	93
1275	129
1276	98
1277	103
1278	99
1279	175
1280	34
1281	83
1282	87
1283	105
1284	119
1285	90
1286	114
1287	115
1288	84
1289	111
1290	90
1291	107
1292	104
1293	111
1294	111
1295	106
1296	69
1297	102
1298	110
1299	122
1300	89
1301	88
1302	118
1303	110
1304	84
1305	105
1306	93
1307	113
1308	103
1309	109
1310	100
1311	137
1312	72
1313	96
1314	100
1315	113
1316	111
1317	88
1318	97
1319	128
1320	80
1321	119
1322	95
1323	109
1324	115
1325	119
1326	99
1327	118
1328	92
1329	113
1330	98
1331	128
1332	85
1333	115
1334	106
1335	111
1336	84
1337	118
1338	94
1339	140
1340	102
1341	117
1342	90
1343	131
1344	49
1345	106
1346	93
1347	115
1348	120
1349	91
1350	122
1351	107
1352	104
1353	128
1354	84
1355	100
1356	99
1357	104
1358	114
1359	114
1360	64
1361	101
1362	94
1363	118
1364	88
1365	91
1366	125
1367	102
1368	89
1369	123
1370	87
1371	122
1372	112
1373	100
1374	80
1375	140
1376	68
1377	108
1378	115
1379	102
1380	114
1381	95
1382	94
1383	117
1384	81
1385	118
1386	97
1387	105
1388	143
1389	105
1390	115
1391	136
1392	98
1393	113
1394	97
1395	119
1396	127
1397	92
1398	113
1399	98
1400	91
1401	122
1402	92
1403	119
1404	111
1405	118
1406	98
1407	138
1408	67
1409	101
1410	111
1411	129
1412	121
1413	97
1414	123
1415	96
1416	111
1417	132
1418	93
1419	107
1420	96
1421	108
1422	117
1423	107
1424	97
1425	127
1426	100
1427	120
1428	117
1429	72
1430	126
1431	97
1432	93
1433	127
1434	101
1435	131
1436	93
1437	96
1438	101
1439	148
1440	77
1441	117
1442	92
1443	94
1444	133
1445	77
1446	135
1447	114
1448	81
1449	111
1450	81
1451	92
1452	132
1453	141
1454	113
1455	98
1456	91
1457	105
1458	124
1459	128
1460	103
1461	87
1462	125
1463	97
1464	78
1465	124
1466	101
1467	129
1468	123
1469	118
1470	106
1471	126
1472	61
1473	99
1474	105
1475	101
1476	107
1477	88
1478	142
1479	93
1480	94
1481	132
1482	99
1483	109
1484	126
1485	118
1486	100
1487	121
1488	76
1489	123
1490	110
1491	123
1492	114
1493	84
1494	139
1495	109
1496	101
1497	126
1498	94
1499	111
1500	105
1501	115
1502	90
1503	127
1504	87
1505	101
1506	98
1507	94
1508	136
1509	85
1510	132
1511	95
1512	84
1513	108
1514	101
1515	106
1516	127
1517	84
1518	113
1519	119
1520	92
1521	108
1522	104
1523	145
1524	113
1525	94
1526	130
1527	117
1528	76
1529	127
1530	99
1531	122
1532	109
1533	103
1534	122
1535	151
1536	49
1537	101
1538	123
1539	126
1540	121
1541	93
1542	110
1543	108
1544	103
1545	140
1546	97
1547	103
1548	116
1549	103
1550	98
1551	113
1552	94
1553	111
1554	83
1555	130
1556	92
1557	95
1558	126
1559	90
1560	86
1561	131
1562	83
1563	118
1564	111
1565	103
1566	103
1567	145
1568	84
1569	122
1570	108
1571	93
1572	83
1573	115
1574	122
1575	132
1576	76
1577	113
1578	86
1579	109
1580	110
1581	102
1582	100
1583	89
1584	84
1585	107
1586	99
1587	110
1588	104
1589	99
1590	105
1591	96
1592	67
1593	127
1594	83
1595	124
1596	98
1597	107
1598	106
1599	125
1600	72
1601	91
1602	103
1603	110
1604	107
1605	105
1606	125
1607	95
1608	102
1609	144
1610	79
1611	107
1612	123
1613	89
1614	95
1615	139
1616	79
1617	91
1618	118
1619	115
1620	101
1621	88
1622	139
1623	101
1624	103
1625	120
1626	77
1627	117
1628	114
1629	109
1630	101
1631	148
1632	90
1633	104
1634	99
1635	103
1636	119
1637	90
1638	121
1639	100
1640	77
1641	139
1642	95
1643	102
1644	124
1645	96
1646	105
1647	120
1648	66
1649	108
1650	96
1651	153
1652	127
1653	86
1654	122
1655	122
1656	69
1657	123
1658	89
1659	101
1660	111
1661	118
1662	111
1663	140
1664	78
1665	93
1666	112
1667	118
1668	119
1669	67
1670	114
1671	83
1672	84
1673	104
1674	83
1675	104
1676	114
1677	94
1678	110
1679	115
1680	110
1681	124
1682	109
1683	126
1684	97
1685	68
1686	126
1687	83
1688	90
1689	125
1690	73
1691	135
1692	114
1693	109
1694	107
1695	135
1696	76
1697	103
1698	109
1699	100
1700	102
1701	87
1702	118
1703	102
1704	70
1705	134
1706	93
1707	107
1708	123
1709	94
1710	108
1711	105
1712	113
1713	109
1714	117
1715	124
1716	94
1717	88
1718	109
1719	113
1720	101
1721	134
1722	85
1723	115
1724	111
1725	111
1726	111
1727	97
1728	97
1729	116
1730	111
1731	96
1732	128
1733	79
1734	140
1735	80
1736	99
1737	126
1738	83
1739	102
1740	137
1741	101
1742	103
1743	98
1744	73
1745	100
1746	108
1747	114
1748	110
1749	74
1750	130
1751	106
1752	88
1753	126
1754	78
1755	98
1756	85
1757	97
1758	98
1759	136
1760	92
1761	94
1762	109
1763	110
1764	103
1765	76
1766	89
1767	98
1768	78
1769	110
1770	80
1771	90
1772	101
1773	86
1774	119
1775	90
1776	69
1777	109
1778	105
1779	118
1780	99
1781	92
1782	112
1783	83
1784	91
1785	115
1786	94
1787	111
1788	98
1789	108
1790	94
1791	119
1792	61
1793	95
1794	81
1795	82
1796	124
1797	92
1798	130
1799	80
1800	73
1801	137
1802	96
1803	87
1804	104
1805	109
1806	111
1807	104
1808	88
1809	99
1810	85
1811	125
1812	99
1813	94
1814	122
1815	86
1816	102
1817	118
1818	94
1819	129
1820	97
1821	116
1822	101
1823	116
1824	71
1825	92
1826	109
1827	117
1828	121
1829	84
1830	123
1831	92
1832	79
1833	133
1834	56
1835	94
1836	118
1837	98
1838	124
1839	82
1840	83
1841	102
1842	101
1843	119
1844	89
1845	79
1846	130
1847	101
1848	79
1849	128
1850	92
1851	125
1852	97
1853	107
1854	108
1855	116
1856	104
1857	100
1858	126
1859	119
1860	114
1861	110
1862	139
1863	102
1864	104
1865	140
1866	102
1867	120
1868	148
1869	139
1870	165
1871	129
1872	109
1873	141
1874	153
1875	177
1876	147
1877	128
1878	180
1879	137
1880	158
1881	176
1882	163
1883	237
1884	172
1885	194
1886	192
1887	202
1888	202
1889	217
1890	245
1891	187
1892	269
1893	214
1894	299
1895	255
1896	236
1897	303
1898	228
1899	254
1900	330
1901	322
1902	315
1903	319
1904	302
1905	350
1906	388
1907	369
1908	406
1909	355
1910	480
1911	356
1912	349
1913	485
1914	377
1915	493
1916	471
1917	462
1918	543
1919	596
1920	456
1921	499
1922	559
1923	510
1924	672
1925	494
1926	733
1927	455
1928	572
1929	714
1930	536
1931	590
1932	803
1933	621
1934	625
1935	551
1936	704
1937	678
1938	640
1939	707
1940	710
1941	565
1942	828
1943	483
1944	711
1945	870
1946	566
1947	740
1948	689
1949	670
1950	673
1951	764
1952	618
1953	628
1954	669
1955	597
1956	727
1957	522
1958	715
1959	545
1960	549
1961	714
1962	518
1963	480
1964	722
1965	533
1966	525
1967	405
1968	600
1969	486
1970	483
1971	483
1972	507
1973	340
1974	570
1975	362
1976	380
1977	486
1978	352
1979	458
1980	434
1981	402
1982	375
1983	309
1984	327
1985	288
1986	325
1987	291
1988	350
1989	239
1990	354
1991	223
1992	286
1993	330
1994	207
1995	220
1996	287
1997	219
1998	229
1999	189
2000	192
2001	193
2002	187
2003	198
2004	216
2005	167
2006	234
2007	124
2008	186
2009	173
2010	129
2011	163
2012	146
2013	121
2014	135
2015	141
2016	126
2017	150
2018	131
2019	105
2020	124
2021	71
2022	159
2023	100
2024	112
2025	117
2026	98
2027	97
2028	123
2029	102
2030	107
2031	73
2032	90
